Protein.ID	protein.length	aa.synthesis.average.cost
AT1G60190.1	686	19.65
AT3G61750.2	321	22.03
AT3G61750.1	398	21.86
AT3G30370.1	179	21.09
AT1G31430.1	570	20.42
AT1G31430.2	570	20.42
AT3G49890.2	248	20.06
AT3G49890.1	220	19.45
AT5G45130.2	208	19.86
AT5G45130.1	200	19.11
AT5G38490.1	364	20
AT1G07485.1	100	20.09
AT5G55900.2	309	19.58
AT5G55900.1	413	19.39
AT2G37510.1	142	19.55
AT2G37510.2	167	20.16
AT5G25754.1	514	21.82
AT5G01810.2	421	20.72
AT5G01810.3	376	21.02
AT5G01810.1	421	20.72
AT2G42440.1	244	19.8
AT3G57490.1	276	20.11
AT3G63210.1	263	20.14
AT1G76530.1	415	20.89
AT1G76530.3	336	21.62
AT1G76530.2	415	20.89
AT3G23660.2	791	19.88
AT3G23660.1	765	19.74
AT1G10750.1	467	21.01
AT1G10750.2	354	20.45
AT1G12000.1	566	19.41
AT1G55490.2	600	18.13
AT1G55490.4	600	18.13
AT1G55490.3	600	18.13
AT1G55490.1	600	18.13
AT1G55490.5	600	18.13
AT4G10030.1	380	19.96
AT4G34020.2	437	19.08
AT4G34020.4	318	19.61
AT4G34020.3	318	19.61
AT4G34020.1	472	18.94
AT1G68840.1	352	19.76
AT1G68840.2	352	19.76
AT2G16270.1	759	18.73
AT5G59040.1	151	21.42
AT2G24390.2	150	20.67
AT2G24390.1	152	20.92
AT2G24390.3	148	20.94
AT5G62520.2	241	19.41
AT5G62520.1	309	20.02
AT1G04590.1	381	19.93
AT1G04590.2	384	19.98
AT2G47810.1	160	19.78
AT5G23930.1	457	20.98
AT1G47230.2	370	20.47
AT1G47230.1	369	20.46
AT3G04855.1	44	21.3
AT3G06770.3	377	20.14
AT3G06770.5	447	20.07
AT3G06770.2	446	20.09
AT3G06770.4	359	20.33
AT3G06770.1	377	20.14
AT3G24250.1	137	16.95
AT5G67310.1	507	20.48
AT2G35720.1	538	19.33
AT2G07722.1	139	21.79
AT2G19990.1	176	21.06
AT5G61660.1	134	19.19
AT2G39920.1	283	20.46
AT2G39920.3	283	20.46
AT2G39920.4	283	20.46
AT2G39920.2	282	20.49
AT1G55700.1	679	21.17
AT5G17750.1	392	21.26
AT3G56680.1	353	19.78
AT1G09310.1	179	19.96
AT3G50200.1	231	19.57
AT1G53900.1	580	20.44
AT1G53900.3	595	20.46
AT1G53900.2	604	20.47
AT2G44240.1	402	20.95
AT1G68200.6	307	18.55
AT1G68200.3	201	17.38
AT1G68200.2	307	18.55
AT1G68200.4	201	17.38
AT1G68200.5	308	18.52
AT1G68200.1	308	18.52
AT5G49000.1	328	21.53
AT5G49000.2	372	21.24
AT1G68290.1	290	20.99
AT1G47970.1	198	13.96
AT5G13860.1	368	19.48
AT2G46860.1	216	20.53
AT5G06645.1	144	18.01
AT5G10050.1	279	19.94
AT4G24973.1	134	22.74
AT2G35680.1	337	20.12
AT4G24070.1	66	18.48
AT1G10230.1	158	20.13
AT2G06425.1	117	18.79
AT5G14640.2	410	20.53
AT5G14640.1	410	20.53
AT3G52030.1	454	20.39
AT3G52030.2	433	20.31
AT3G54940.2	367	19.98
AT3G54940.3	280	19.49
AT3G05080.1	35	21.71
AT4G21585.6	327	21.78
AT4G21585.5	262	21.72
AT4G21585.3	325	21.32
AT4G21585.1	299	21.4
AT4G21585.4	299	21.4
AT4G21585.2	262	21.72
AT1G52260.1	537	20.27
AT5G60720.1	691	19.77
AT4G04210.1	303	17.8
AT5G07990.1	513	20.21
AT2G45310.1	437	20.59
AT1G06670.2	1548	19.03
AT1G06670.1	1576	18.95
AT4G23660.3	429	21.4
AT4G23660.4	407	21.05
AT4G23660.1	407	21.05
AT4G23660.5	407	21.05
AT4G23660.2	407	21.05
AT4G07408.1	62	24.21
AT5G66630.1	702	20.76
AT5G19280.2	591	19.68
AT5G19280.1	581	19.73
AT5G19650.1	221	20.17
AT1G05205.1	91	20.53
AT5G59180.1	176	21.05
AT1G69370.1	316	20.66
AT3G57960.1	223	19.92
AT4G13580.1	244	19.1
AT5G46395.1	73	21.03
AT1G53380.5	453	21.24
AT1G53380.3	453	21.24
AT1G53380.1	453	21.24
AT1G53380.4	453	21.24
AT1G53380.2	453	21.24
AT3G27380.1	279	20.23
AT3G27380.2	279	20.23
AT5G28910.1	408	22.3
AT5G28910.2	535	21.45
AT1G68935.1	63	21.21
AT2G43610.1	281	20.23
AT5G40000.1	470	21.07
AT4G31080.2	443	19.08
AT4G31080.1	409	18.93
AT1G09245.1	139	24.01
AT4G10603.1	87	21.31
AT4G32140.1	394	21.16
AT1G76728.1	33	23.85
AT4G11080.1	446	20.27
AT2G27750.1	181	21.05
AT5G06450.1	206	20.56
AT3G12150.1	363	20.9
AT4G34450.1	886	19.48
AT4G25020.1	375	19.17
AT3G44910.1	770	21.13
AT5G47870.1	199	19.37
AT4G30790.1	1148	19.1
AT4G39900.1	245	19.42
AT3G33520.1	421	19.91
AT4G40070.1	323	19.91
AT1G69020.1	757	20.72
AT1G69020.2	789	20.71
AT1G13310.1	374	20.51
AT5G49160.2	1446	19.94
AT5G49160.1	1534	20.01
AT4G02500.1	461	21.38
AT2G20980.1	396	18.92
AT5G25150.2	665	19.96
AT5G25150.1	669	19.86
AT1G79230.2	282	20.83
AT1G79230.3	322	20.06
AT1G79230.1	379	20.11
AT5G51490.1	536	20.28
AT4G00460.4	473	19.63
AT4G00460.2	473	19.63
AT4G00460.1	337	19.78
AT4G00460.3	340	20.54
AT5G38240.1	642	20.64
AT5G38240.3	578	20.46
AT5G38240.2	624	20.53
AT5G65770.3	1010	18.53
AT5G65770.1	1010	18.53
AT5G65770.2	1042	18.84
AT3G07740.3	527	20.19
AT3G07740.1	548	19.79
AT3G07740.4	555	19.8
AT3G07740.2	477	20
AT1G56270.1	162	21.64
AT1G60450.1	332	21.39
AT2G28420.1	184	19.99
AT4G10457.1	92	20.87
AT5G64240.1	305	20.11
AT5G64240.2	362	19.62
AT2G04520.1	145	19.45
AT5G55020.1	523	19.2
AT1G28080.1	291	19.2
AT1G28080.2	302	19.41
AT2G35830.2	189	20.43
AT2G35830.1	184	20.23
AT2G01480.1	567	21.08
AT2G01480.2	529	21.2
AT1G76860.1	98	19.59
AT5G03570.3	538	21.26
AT5G03570.1	512	21.05
AT5G03570.4	467	21.25
AT5G03570.2	512	21.05
AT2G24590.1	196	18.56
AT3G12360.2	578	18.78
AT3G12360.1	590	18.74
AT1G05170.1	361	20.81
AT1G05170.2	407	20.86
AT1G31010.1	360	20.32
AT2G19650.1	682	22.03
AT4G23570.2	350	19.76
AT4G23570.3	351	19.73
AT4G23570.1	350	19.76
AT3G24230.1	452	20.23
AT3G07960.1	715	20.86
AT3G07960.3	620	20.81
AT3G07960.4	606	20.9
AT3G07960.2	606	20.9
AT5G04480.2	1035	20.68
AT5G04480.1	1050	20.72
AT1G05785.6	173	23.46
AT1G05785.7	173	23.46
AT1G05785.2	135	24.02
AT1G05785.4	133	24.19
AT1G05785.5	135	24.02
AT1G05785.1	135	24.02
AT1G05785.3	129	24.12
AT1G54260.1	197	19.85
AT2G26370.1	173	20.17
AT4G29280.1	77	20.94
AT1G76490.1	642	19.24
AT2G22145.1	89	23.43
AT3G03290.1	274	20.17
AT5G46130.1	376	21.54
AT2G42990.1	350	21.11
AT5G47230.1	300	20.02
AT1G15750.4	1131	19.69
AT1G15750.2	1131	19.69
AT1G15750.1	1131	19.69
AT1G15750.3	1131	19.69
AT3G12300.1	190	21.39
AT1G28530.2	613	19.71
AT1G28530.1	614	19.69
AT2G37480.2	193	18.09
AT2G37480.1	194	18.06
AT2G21910.1	510	21.7
AT5G11550.1	314	17.87
AT1G08160.1	221	20.35
AT5G15860.2	299	20.83
AT5G15860.1	427	20.28
AT2G06541.2	564	21.31
AT2G06541.1	592	21.32
AT3G53580.1	362	19.35
AT2G24260.1	350	17.33
AT2G24260.2	247	16.74
AT3G54290.1	350	20.3
AT1G26255.3	340	21.13
AT1G26255.1	131	21.28
AT1G26255.2	304	21.15
AT1G26255.4	337	21.06
AT1G26255.5	287	21.12
AT5G40360.1	359	20.92
AT5G62300.2	124	19.83
AT5G62300.1	124	19.83
AT1G12672.2	104	19.6
AT1G12672.1	52	18.77
AT4G18450.1	303	19.64
AT5G45540.1	803	21.77
AT2G17160.1	95	19.11
AT5G03700.1	482	20.44
AT2G17305.1	271	21.26
AT3G58350.1	301	20.13
AT3G58350.2	301	20.13
AT4G00305.1	126	21.2
AT1G73830.2	260	19.15
AT1G73830.1	261	19.18
AT1G34812.1	191	21.08
AT3G11964.1	1896	19.82
AT3G11964.2	1920	19.81
AT4G21140.1	243	19.47
AT5G62370.1	982	20.82
AT5G55690.2	277	20.81
AT5G55690.1	277	20.81
AT2G42110.1	137	19.77
AT5G35900.1	206	19.77
AT5G47400.1	862	21.22
AT4G25930.1	367	21.65
AT1G62510.1	149	19.1
AT5G41210.1	245	20.6
AT5G66510.1	258	18.98
AT5G66510.2	269	19
AT1G75390.1	173	18.14
AT1G75390.2	123	18.08
AT4G16380.4	193	18.38
AT4G16380.2	233	18.43
AT4G16380.1	254	19.24
AT4G16380.3	261	19.17
AT5G23960.2	545	21.79
AT5G23960.1	547	21.77
AT4G12320.1	518	21.01
AT5G65350.1	139	19.26
AT1G50580.1	448	21.32
AT4G33355.2	117	19.21
AT4G33355.1	119	19.13
AT3G22660.1	293	18.75
AT1G66830.1	685	20.05
AT3G10710.1	561	20.21
AT1G44900.2	934	19.47
AT1G44900.1	936	19.45
AT5G38270.1	406	23.09
AT4G19680.1	257	21.16
AT4G19680.2	350	21.01
AT4G33740.3	472	16.85
AT4G33740.5	472	16.85
AT4G33740.2	472	16.85
AT4G33740.1	472	16.85
AT4G33740.4	472	16.85
AT1G27340.1	467	21.23
AT5G67190.1	184	19.09
AT4G06634.2	349	19.91
AT4G06634.3	380	20.23
AT4G06634.1	387	20.27
AT2G21210.1	98	20.48
AT2G21210.2	165	21.5
AT1G80680.1	1046	20.46
AT1G77520.1	381	20.73
AT1G51402.1	60	21.43
AT2G36130.1	164	20.05
AT4G25760.1	129	19.26
AT5G01410.1	309	18.74
AT5G01410.2	309	18.74
AT2G19210.1	881	20.31
AT3G60920.1	1941	19.4
AT3G60920.2	1992	19.5
AT4G14960.2	450	19.74
AT4G14960.1	427	19.95
AT1G24148.2	93	19.14
AT1G24148.1	115	19.4
AT1G20100.2	216	19.52
AT1G20100.1	285	19.28
AT3G02930.3	806	18.17
AT3G02930.2	804	18.13
AT3G02930.1	806	18.17
AT3G57250.1	142	19.82
AT4G35560.1	1049	19.81
AT4G35560.2	1050	19.8
AT1G68877.1	62	21.68
AT1G25260.1	235	20.48
AT5G20550.1	349	20.52
AT1G11800.1	441	20.3
AT3G20500.1	437	21.34
AT1G72050.4	324	20.08
AT1G72050.2	412	19.72
AT1G72050.3	427	19.61
AT1G72050.1	324	19.9
AT3G61990.1	290	19.59
AT3G15090.1	366	19.42
AT2G38465.1	84	18.29
AT3G21473.1	231	21.86
AT3G16220.1	257	20.92
AT3G16220.2	199	20.28
AT4G36170.1	162	20.98
AT2G11405.1	115	23.95
AT5G63230.1	111	20.16
AT2G21380.1	1058	18.31
AT2G21380.2	1058	18.31
AT3G54390.2	312	19.14
AT3G54390.1	296	18.79
AT5G44585.1	78	18.14
AT1G31390.1	268	20.89
AT1G08845.3	189	20.67
AT1G08845.1	189	20.67
AT1G08845.2	234	20.45
AT3G21360.1	330	20.56
AT3G47180.1	210	18.77
AT4G26690.1	759	19.67
AT4G28811.1	544	18.75
AT1G70510.2	314	20.08
AT1G70510.1	310	19.99
AT5G42410.1	111	20.27
AT5G42320.1	379	21.16
AT5G42320.2	430	21.25
AT3G13620.1	478	22.15
AT1G80060.3	243	19.92
AT1G80060.5	243	19.92
AT1G80060.4	243	19.92
AT1G80060.1	243	19.92
AT1G80060.2	185	20.15
AT3G18350.2	692	20.62
AT3G18350.1	692	20.62
AT3G18350.3	692	20.62
AT1G77840.1	437	19.12
AT3G18640.2	676	18.44
AT3G18640.1	676	18.44
AT3G18640.3	676	18.44
AT2G45950.4	342	19.3
AT2G45950.1	342	19.3
AT2G45950.2	352	19.72
AT2G45950.5	352	19.72
AT2G45950.3	342	19.3
AT3G27329.1	122	23.98
AT5G19070.1	280	20.62
AT5G19070.2	232	21.6
AT1G72730.1	414	19.73
AT2G41380.1	269	20.67
AT3G22000.1	273	21.19
AT5G67220.1	423	20.08
AT5G05410.1	335	19.07
AT5G05410.2	302	19.13
AT4G13820.1	719	20.35
AT5G66710.1	405	20.69
AT5G26070.1	102	21.5
AT5G27870.1	732	18.99
AT1G25510.1	483	19.09
AT2G42060.1	268	19.63
AT1G15780.3	1357	17.11
AT1G15780.2	1366	17.02
AT1G15780.1	1335	17
AT3G28790.1	608	16.98
AT4G03566.1	150	21.52
AT3G28020.1	246	19.91
AT4G32342.2	199	21.52
AT4G32342.1	161	20.43
AT1G23720.2	919	21.46
AT1G23720.4	870	21.46
AT1G23720.3	894	21.46
AT1G23720.1	895	21.46
AT5G02620.2	547	19.49
AT5G02620.3	524	19.35
AT5G02620.1	524	19.35
AT5G02620.5	547	19.49
AT5G02620.4	524	19.35
AT2G31780.1	443	20.94
AT4G28520.2	394	18.32
AT4G28520.4	396	18.35
AT4G28520.1	524	18.54
AT4G28520.5	378	18.46
AT4G28520.3	453	18.63
AT4G10680.1	182	19.09
AT1G30970.3	391	19.56
AT1G30970.2	315	18.81
AT1G30970.1	367	19.22
AT5G66890.1	415	20.33
AT1G80090.1	357	19.11
AT1G80090.2	296	19.13
AT1G80580.1	256	19.88
AT1G44800.1	370	21.34
AT5G57570.1	136	18.24
AT1G26380.1	535	20.81
AT2G42700.3	780	18.84
AT2G42700.1	838	18.89
AT2G42700.2	867	19.07
AT3G49700.1	470	20.49
AT4G14225.1	125	20.18
AT3G54160.1	434	21.25
AT1G61170.1	251	17.85
AT3G05200.1	398	19.08
AT5G50350.1	584	17.73
AT1G49150.1	148	20.41
AT3G06410.1	462	18.51
AT4G22180.1	402	22.37
AT5G11080.3	330	19.05
AT5G11080.1	352	19.26
AT5G11080.2	373	19.66
AT3G44400.3	1007	21
AT3G44400.5	1007	21
AT3G44400.4	1007	21
AT3G44400.1	1007	21
AT3G44400.2	1007	21
AT4G14690.1	193	19.27
AT1G20510.2	473	19.45
AT1G20510.1	546	19.64
AT1G20510.3	468	19.6
AT3G25905.1	91	21.55
AT2G20790.4	565	19.34
AT2G20790.2	475	19.13
AT2G20790.1	613	19.34
AT2G20790.3	427	19.11
AT2G18328.1	77	20.01
AT1G62830.1	844	19.06
AT5G12220.1	611	19.53
AT5G12220.2	600	19.48
AT3G24660.1	674	19.3
AT5G06680.1	838	20.38
AT2G04100.1	483	20.84
AT2G04100.2	471	21.02
AT1G21720.1	204	20.32
AT3G55470.1	156	20.13
AT3G55470.2	155	20.18
AT3G16000.1	726	18.01
AT1G04830.1	448	20.56
AT1G04830.3	405	20.53
AT1G04830.2	459	20.52
AT2G17980.1	627	19.33
AT1G26830.1	732	20.98
AT1G27730.1	227	19.06
AT1G80950.2	390	20.48
AT1G80950.1	398	20.37
ATMG00180.1	452	21.94
AT5G52510.1	640	18.22
AT1G05730.1	149	19.36
AT1G05730.2	117	19.67
AT3G47080.1	515	19.8
AT2G02510.1	72	20.6
AT1G30900.1	631	20.23
AT2G39710.1	442	19.75
AT5G48910.1	646	20.96
AT1G65484.2	79	18.92
AT1G65484.1	80	18.94
AT5G13280.1	569	19.56
AT3G32400.1	488	19.36
AT3G32400.2	495	19.29
AT1G15690.2	642	20.43
AT1G15690.1	770	20.22
AT4G11211.1	21	21.67
AT2G06105.1	390	19.79
AT3G24495.2	873	19.29
AT3G24495.1	1109	19.45
AT5G08270.1	386	20.18
AT4G11450.1	694	19.26
AT4G32280.3	199	20.19
AT4G32280.1	251	20.68
AT4G32280.2	209	20.05
AT4G27250.1	354	20.53
AT4G27250.2	344	20.56
AT1G75410.3	404	19.12
AT1G75410.2	524	19.1
AT1G75410.1	524	19.1
AT5G47100.2	173	20.99
AT5G47100.1	213	20.93
AT3G63120.1	221	21.1
AT3G63120.2	221	21.1
AT2G07714.1	196	21.71
AT5G67000.1	184	19.55
AT2G28410.1	115	19.52
AT4G09670.1	362	19.82
AT1G77710.1	93	19.66
AT1G75600.1	136	19.75
AT5G63170.1	338	20.23
AT1G70650.2	595	20.08
AT1G70650.1	466	20.05
AT2G43600.2	294	21.99
AT2G43600.1	273	22.06
AT1G22340.1	487	21.06
AT5G42700.1	231	20.45
AT5G42700.2	186	20.52
AT4G20650.1	284	18.81
AT2G02680.2	583	21.75
AT2G02680.1	649	21.39
AT1G14100.1	516	21.48
AT2G15530.7	704	18.31
AT2G15530.4	780	18.84
AT2G15530.1	704	18.31
AT2G15530.2	704	18.31
AT2G15530.6	682	18.37
AT2G15530.3	704	18.31
AT2G15530.5	704	18.31
AT2G31370.5	377	17.88
AT2G31370.6	398	17.56
AT2G31370.3	398	17.56
AT2G31370.7	398	17.56
AT2G31370.1	398	17.56
AT2G31370.4	398	17.56
AT2G31370.2	398	17.56
AT1G14620.2	220	20.99
AT1G14620.1	233	21.79
AT5G50770.1	342	21.37
AT2G35740.1	580	20.76
AT3G18470.1	133	20.8
AT1G21695.1	217	18.26
AT3G13080.1	1514	20.68
AT3G13080.2	1489	20.71
AT3G13080.5	1510	20.76
AT3G13080.4	1120	21.02
AT3G13080.3	1120	21.02
AT3G60975.1	90	19.61
AT3G28080.6	269	22.31
AT3G28080.8	269	22.31
AT3G28080.4	215	21.95
AT3G28080.2	350	21.97
AT3G28080.3	304	21.55
AT3G28080.1	358	21.88
AT3G28080.7	269	22.31
AT3G28080.5	269	22.31
AT3G28080.9	232	22.49
AT2G23210.1	287	21.22
AT3G22840.1	195	18.95
AT1G77340.1	402	20.84
AT1G03590.1	462	19.04
AT4G26900.1	592	19.09
AT1G68910.3	582	18.55
AT1G68910.2	582	18.55
AT1G68910.1	627	18.79
AT4G32175.1	241	19.47
AT1G16500.1	259	18.41
AT3G54820.1	286	21.24
AT5G45530.1	798	22.02
AT1G50430.2	431	23.77
AT1G50430.1	432	23.86
AT3G43250.1	249	20.73
AT3G10185.1	122	20.28
AT5G06420.2	378	19.44
AT5G06420.1	378	19.44
AT1G19770.1	393	21.69
AT3G60950.1	627	20.87
AT4G25920.1	390	20.93
AT2G46830.1	608	18.08
AT2G46830.2	526	17.66
AT2G46830.3	526	17.66
AT3G57470.6	780	21.13
AT3G57470.1	851	20.94
AT3G57470.3	881	21.24
AT3G57470.5	776	21.18
AT3G57470.4	891	21.22
AT3G57470.2	966	21.01
AT1G06290.1	675	20.24
AT3G19980.1	303	21.14
AT5G52115.1	127	22.58
AT4G00160.1	453	21.16
AT1G33940.1	497	19.23
AT1G33940.2	497	19.23
AT2G22780.1	354	18.86
AT3G05165.1	467	21.49
AT3G05165.5	467	21.37
AT3G05165.4	467	21.37
AT3G05165.6	508	22.09
AT3G05165.2	467	21.49
AT3G05165.3	467	21.49
AT3G50070.1	361	20.78
AT5G58460.1	857	21.17
AT4G25170.2	359	18.79
AT4G25170.1	344	18.73
AT4G31805.1	344	18.92
AT3G19210.1	910	19.19
AT3G19210.2	908	19.17
AT3G19210.3	782	19.3
AT5G65520.1	206	19.17
AT5G52500.1	363	20.69
AT4G02000.1	314	20.59
AT2G39690.4	499	20.28
AT2G39690.3	370	20.14
AT2G39690.5	525	20.24
AT2G39690.7	431	19.9
AT2G39690.2	418	20.5
AT2G39690.6	432	19.91
AT2G39690.8	498	20.27
AT2G39690.1	524	20.22
AT3G27560.1	356	20.37
AT1G43190.1	432	19.57
AT1G43190.3	430	19.58
AT1G43190.2	432	19.57
AT5G38260.1	638	20.64
AT2G18760.3	1246	19.3
AT2G18760.6	1187	19.21
AT2G18760.5	1187	19.21
AT2G18760.7	1187	19.21
AT2G18760.2	1187	19.21
AT2G18760.1	1187	19.21
AT2G18760.4	1187	19.21
AT3G27610.2	317	19.56
AT3G27610.9	321	20.12
AT3G27610.6	321	20.12
AT3G27610.1	389	19.31
AT3G27610.7	321	20.12
AT3G27610.8	278	19.71
AT3G27610.4	321	20.12
AT3G27610.5	278	19.71
AT3G27610.3	278	19.71
AT3G26990.2	513	18.31
AT3G26990.1	513	18.31
AT5G51195.1	267	19.49
AT5G15581.1	71	21.73
AT2G34620.1	303	20.49
AT3G02300.2	482	19.18
AT3G02300.1	471	19.07
AT3G49520.1	388	21.41
AT3G44755.1	149	20.16
AT5G50740.3	290	19.38
AT5G50740.1	283	19.4
AT5G50740.5	283	19.4
AT5G50740.2	162	21
AT5G50740.4	169	20.9
AT3G45090.2	698	19.21
AT3G45090.1	717	19.01
AT3G52100.2	663	19.79
AT3G52100.3	678	19.5
AT3G52100.1	696	19.61
AT3G52100.4	591	19.34
AT1G33880.1	234	20.74
AT1G33880.2	234	20.74
AT2G44600.1	313	19.02
AT5G50580.2	320	20.1
AT5G50580.1	318	20.06
AT4G02630.1	492	19.66
AT4G22940.1	458	20.51
AT4G22940.2	560	20
AT2G46567.1	36	22
AT5G37750.1	241	20.92
AT5G63250.1	132	20.09
AT2G38220.1	404	21.25
AT2G38220.2	401	21.34
AT4G16790.1	473	19.06
AT1G68530.1	497	21.46
AT1G68530.2	377	21.53
AT5G37720.2	280	17.69
AT5G37720.1	288	17.57
AT2G21900.1	202	21.04
AT5G17020.1	1075	20.9
AT5G17020.2	1060	20.82
AT5G53030.2	224	20.48
AT5G53030.1	245	20.28
AT2G30942.1	56	27.45
AT1G29962.1	185	19.81
AT1G77410.1	815	20.98
AT1G77410.4	709	20.83
AT1G77410.2	709	20.83
AT1G77410.3	820	20.96
AT5G07800.1	460	20.78
AT2G22900.1	449	22.18
AT3G60480.3	123	19.46
AT3G60480.1	111	19.02
AT3G60480.2	85	20.39
AT5G07190.1	213	20.16
AT5G07190.2	185	19.37
AT3G45210.1	148	19.56
AT4G38781.1	50	22.96
AT3G50410.1	253	18.72
AT3G20200.1	780	19.19
AT3G20200.3	736	19.35
AT3G20200.4	762	19.27
AT3G20200.2	762	19.27
AT3G20980.1	405	21.1
AT3G12915.2	788	20.13
AT5G51670.2	474	19.75
AT5G51670.1	474	19.75
AT3G57380.3	396	22.08
AT3G57380.1	504	21.67
AT3G57380.2	396	22.08
AT3G02950.1	236	19.08
AT3G02950.2	236	19.08
AT5G19000.3	407	19.95
AT5G19000.2	442	20.03
AT5G19000.1	407	19.95
AT2G46995.1	38	19.26
AT5G22260.1	672	21.07
AT1G08680.1	649	18.61
AT1G08680.3	607	18.59
AT1G08680.2	648	18.62
AT1G08680.4	651	18.59
AT1G08680.5	580	18.82
AT2G07775.1	128	18.98
AT5G14330.1	128	20.59
AT5G22450.2	1154	18.2
AT5G22450.1	1154	18.2
AT5G22450.3	1154	18.2
AT1G63780.1	294	20.66
AT5G52570.1	303	21.42
AT5G52570.2	234	20.83
AT3G09900.1	218	19.79
AT1G55150.1	501	19.64
AT1G55150.2	526	19.85
AT4G22270.2	437	21.65
AT4G22270.1	437	21.66
AT5G37770.2	161	19.11
AT5G37770.1	161	19.11
AT3G24068.1	133	21.15
AT3G12210.2	209	19.97
AT3G12210.1	155	20.46
AT1G29560.1	572	19.11
AT1G29560.2	413	19.53
AT5G12230.1	221	19.8
AT4G01640.1	300	22.2
AT5G13270.1	752	20.61
AT2G33855.1	144	22.55
AT2G42830.1	246	18.94
AT2G42830.2	248	18.98
AT1G52280.1	206	20.03
AT1G22760.1	660	19.18
AT4G14245.1	344	20.56
AT3G53370.2	38	19.5
AT3G53370.1	76	19.84
AT3G46760.1	337	20.72
AT4G01820.2	957	20.2
AT4G01820.1	1229	19.76
AT1G32410.5	140	21.56
AT1G32410.2	140	21.56
AT1G32410.1	140	21.56
AT1G32410.4	140	21.56
AT1G32410.3	140	21.56
AT1G33980.2	484	18.38
AT1G33980.1	482	18.36
AT3G56600.2	533	19.09
AT3G56600.3	536	19.11
AT3G56600.1	536	19.11
AT5G07290.1	907	19.28
AT3G49690.1	310	20.45
AT5G46060.1	248	22.86
AT5G41109.1	46	23.2
AT4G15660.1	102	20.7
AT1G04160.2	1396	20.05
AT1G04160.1	1500	20.07
AT1G71720.2	429	19.73
AT1G71720.1	500	19.87
AT5G15980.1	668	20.01
AT2G48030.2	321	20.09
AT2G48030.1	438	19.82
AT3G61960.1	626	19.47
AT3G61960.2	584	19.64
AT1G69710.1	1041	19.12
AT1G69710.2	1028	19.1
AT2G22290.1	207	19.9
AT3G53220.1	126	20.58
AT4G30730.1	104	21.61
AT4G30730.2	104	21.61
AT4G24390.1	623	20.09
AT4G24390.2	623	20.09
AT5G53470.1	338	18.92
AT4G34470.1	152	19.98
AT3G52720.2	230	22.05
AT3G52720.1	284	21.44
AT3G52720.4	284	21.44
AT3G52720.3	284	21.44
AT4G10350.1	341	20.54
AT4G10350.2	294	20.51
AT1G16170.1	92	21.26
AT1G66470.1	298	18.34
AT3G16210.1	360	22.59
AT4G15070.1	889	20.95
AT1G52720.1	117	18.99
AT5G25475.3	282	20.74
AT5G25475.2	282	20.74
AT5G25475.1	282	20.74
AT5G25475.4	324	21.21
AT1G14320.2	126	21.48
AT1G14320.1	220	21.24
AT3G21780.1	479	20.42
AT4G38960.2	150	18.28
AT4G38960.6	183	18.41
AT4G38960.3	226	19.21
AT4G38960.5	150	18.28
AT4G38960.1	183	18.41
AT4G38960.4	152	19.38
AT4G12120.1	662	20.43
AT2G18920.1	135	19.5
AT2G36700.1	333	21.22
AT5G64100.1	331	18.8
AT2G45900.2	720	19.13
AT2G45900.1	720	19.13
AT2G45900.3	720	19.13
AT3G19990.2	450	21
AT3G19990.1	425	20.9
AT1G36510.1	351	20.44
AT3G10439.1	32	23.41
AT4G08230.2	72	16.22
AT4G08230.1	113	19.34
AT5G43470.1	908	20.95
AT5G43470.4	908	20.95
AT5G43470.2	908	20.95
AT5G43470.3	908	20.95
AT2G27030.3	181	19.08
AT2G27030.1	149	18.9
AT2G31660.1	1040	20.46
AT1G51913.1	77	19.4
AT4G23895.1	247	19.2
AT4G23895.2	247	19.2
AT4G23895.3	467	19.68
AT4G23895.4	247	19.2
AT1G65190.1	396	21.04
AT2G26030.1	442	21.26
AT2G26030.3	442	21.26
AT2G26030.5	287	20.97
AT2G26030.2	369	21.16
AT2G26030.4	447	21.26
AT2G31540.1	360	20.87
AT4G17850.1	187	19.24
AT1G61800.1	388	21.56
AT1G61800.2	410	21.71
AT5G03790.2	193	20.93
AT5G03790.1	235	19.72
AT3G48010.1	705	21.57
AT5G15400.1	1038	20.03
AT3G11745.1	90	20.43
AT3G11745.2	82	21.52
AT1G11090.1	324	21.19
AT1G01110.2	527	18.76
AT1G01110.1	364	18.74
AT4G35250.1	395	19.69
AT1G49660.1	319	20.55
AT5G07610.1	420	21.35
AT4G02440.1	336	20.16
AT3G01540.3	619	18.87
AT3G01540.1	618	18.88
AT3G01540.2	619	18.87
AT3G01540.4	619	18.87
AT2G45840.1	523	22.49
AT3G05360.1	786	20.41
AT4G17430.1	507	20.76
AT1G15060.1	578	19.4
AT1G15060.3	578	19.4
AT1G15060.2	470	19.22
AT1G61200.1	71	21.41
AT2G19040.1	72	19.62
AT3G19350.1	103	20.97
AT1G03200.1	41	19.76
AT3G22550.1	267	19.11
AT5G66520.1	620	21.22
AT3G46240.1	434	18.34
AT3G47833.1	93	19.48
AT4G23140.2	680	19.81
AT4G23140.1	674	19.82
AT1G03110.1	427	19.14
AT3G19640.1	484	18.63
AT3G59300.2	426	19.96
AT3G59300.1	459	20.09
AT3G59300.3	465	20.17
AT5G06110.2	663	19.32
AT5G06110.1	663	19.32
AT3G48920.1	261	20.33
AT1G01453.1	267	20.32
AT1G01453.2	289	20.65
