Gene	P_expression	S_expression	t	DNDS	DN	DS	ploidy
AT1G21080.3	1068.23	1432.78	0.097	0.1513	0.013	0.0856	both
AT1G21090.1	0	309.1160909	0.1809	0.4102	0.0424	0.1034	D
AT1G21130.2	0	1436.856667	0.1922	0.0845	0.0161	0.1911	D
AT1G21200.1	0	331.3906667	0.1694	0.0638	0.0173	0.2716	D
AT1G21270.1	0	1397.316667	0.2803	0.3344	0.0613	0.1834	D
AT1G21350.3	135.74	580.3926944	0.2114	0.3608	0.0466	0.1291	both
AT1G21370.2	1008.31	891.3286667	0.1614	0.2516	0.0323	0.1283	both
AT1G21380.1	874.03	1419.28	0.1114	0.1274	0.0141	0.1105	both
AT1G21410.1	0	1138.226667	0.1196	0.0907	0.0113	0.1248	D
AT1G21440.1	0	5148.675	0.1851	0.078	0.0141	0.1807	D
AT1G21450.1	297.6	1351.343333	0.1693	0.0557	0.01	0.1802	both
AT1G21480.2	671.19	352.579625	0.0734	0.1183	0.0087	0.0736	both
AT1G21580.1	270.72	222.765	0.2205	0.4941	0.0601	0.1216	both
AT1G21590.1	0	720.0977778	0.1657	0.1871	0.0269	0.1437	D
AT1G21600.2	283.55	807.357	0.1798	0.0885	0.0173	0.1961	both
AT1G21610.3	1080.43	415.742	0.1457	0.409	0.0355	0.0868	both
AT1G21630.2	1114.84	1393.723333	0.1274	0.2251	0.0222	0.0987	both
AT1G21650.3	0	128.044375	0.1176	0.2374	0.022	0.0926	D
AT1G21660.1	2122.22	1475.57	0.1511	0.2227	0.0292	0.1312	both
AT1G21670.1	0	930.52	0.1935	0.1973	0.0308	0.156	D
AT1G21680.1	0	3081.213333	0.2069	0.1458	0.0266	0.1827	D
AT1G21690.4	1220	459.9	0.2128	0.2678	0.0422	0.1577	both
AT1G21700.1	871.19	455.85375	0.1002	0.137	0.013	0.095	both
AT1G21790.1	1268.43	376.848	0.1859	0.0909	0.0174	0.1914	both
AT1G21830.1	0	993.604	0.0792	0.1247	0.009	0.072	D
AT1G21840.1	562.95	473.221	0.2412	0.1013	0.0248	0.245	both
AT1G21870.1	1608.19	0	0.1639	0.1157	0.0188	0.1621	H
AT1G21880.2	0	655.2836667	0.1457	0.2289	0.0248	0.1083	D
AT1G21890.1	0	2807.636667	0.1513	0.1629	0.02	0.1229	D
AT1G21910.1	539.38	684.38	0.1503	0.383	0.0341	0.089	both
AT1G21920.1	916.93	2677.55	0.1575	0.1308	0.0215	0.1644	both
AT1G21980.1	1471.74	1246.17	0.0979	0.0908	0.0103	0.1134	both
AT1G22020.1	890.15	623.55	0.1372	0.1516	0.0202	0.1332	both
AT1G22040.1	786.87	549.31	0.1619	0.1441	0.024	0.1665	both
AT1G22070.1	0	1766.056667	0.1064	0.2209	0.0194	0.0881	D
AT1G22110.1	2097.51	0	0.1596	0.2949	0.0335	0.1135	H
AT1G22150.1	1104.15	0	0.0921	0.0419	0.0042	0.1005	H
AT1G22170.1	276.53	502.9871818	0.1308	0.0787	0.0119	0.1514	both
AT1G22190.1	0	1290.79	0.2014	0.2406	0.0371	0.1542	D
AT1G22200.2	6169.83	927.7986667	0.1033	0.0251	0.0034	0.1351	both
AT1G22210.1	108.68	120.7106	0.1627	0.1288	0.0208	0.1611	both
AT1G22240.1	1504.31	342.815	0.1841	0.128	0.026	0.203	both
AT1G22280.3	754.39	2021.116667	0.1244	0.0091	0.0016	0.1708	both
AT1G22300.3	3184.85	5366.546667	0.1346	0.088	0.0138	0.1573	both
AT1G22310.2	594.07	277.702	0.2386	0.4027	0.0572	0.1421	both
AT1G22330.1	0	527.7063333	0.1223	0.1563	0.0153	0.0981	D
AT1G22360.2	0	1199.893333	0.2179	0.1143	0.0238	0.2084	D
AT1G22400.1	0	503.74	0.2139	0.1455	0.0277	0.1904	D
AT1G22410.1	1842.01	10353.54	0.1222	0.0674	0.0093	0.1378	both
AT1G22430.2	0	798.82	0.1859	0.1056	0.0191	0.1811	D
AT1G22440.1	201.56	1933.66	0.2294	0.1773	0.0347	0.1957	both
AT1G22460.1	1813.04	0	0.222	0.1511	0.0304	0.2012	H
AT1G22480.1	0	7886.645	0.1844	0.3846	0.0426	0.1109	D
AT1G22500.1	0	920.5023333	0.366	0.461	0.0931	0.2019	D
AT1G22530.1	1218.81	7942.233333	0.2009	0.234	0.0343	0.1466	both
AT1G22540.1	0	902.729	0.1425	0.1196	0.0153	0.1281	D
AT1G22550.1	691.27	949.7013333	0.2076	0.1675	0.0279	0.1664	both
AT1G22620.1	1272.98	565.1095	0.075	0.1282	0.0091	0.0707	both
AT1G22640.1	0	1785.361	0.1818	0.211	0.0332	0.1575	D
AT1G22650.1	1032.98	364.0473333	0.1401	0.0662	0.0095	0.1436	both
AT1G22660.2	678.25	235.5033333	0.1912	0.3314	0.0428	0.1291	both
AT1G22700.3	0	1238.82975	0.1555	0.081	0.0129	0.1588	D
AT1G22710.1	414.28	6295.336667	0.1195	0.087	0.0095	0.1097	both
AT1G22750.4	4194.51	1706.656667	0.1335	0.4105	0.0314	0.0765	both
AT1G22760.1	4308.46	0	0.2018	0.0699	0.0141	0.202	H
AT1G22830.2	0	229.867	0.3414	0.4103	0.0852	0.2077	D
AT1G22850.1	475.24	2184.1725	0.1813	0.1149	0.0194	0.1693	both
AT1G22860.1	249.84	337.5136667	0.1382	0.2408	0.0253	0.1051	both
AT1G22870.1	545.68	498.5788182	0.1304	0.1951	0.0208	0.1065	both
AT1G22920.2	1557.35	663.7473333	0.1216	0.0984	0.0125	0.1273	both
AT1G22940.1	0	403.4473333	0.1437	0.1293	0.017	0.1311	D
AT1G22970.1	654.83	737.1346667	0.2372	0.1081	0.0266	0.2456	both
AT1G22990.1	0	865.051	0.1922	0.1177	0.0233	0.1983	D
AT1G23010.1	0	349.0726667	0.2187	0.0854	0.0185	0.2161	D
AT1G23020.2	0	1247.39	0.2054	0.3809	0.0473	0.1242	D
AT1G23030.1	1509.03	1945.743333	0.1438	0.0678	0.01	0.1471	both
AT1G23060.2	1279.22	370.389	0.2931	0.385	0.0717	0.1863	both
AT1G23080.3	0	982.9266667	0.1321	0.0606	0.0083	0.1366	D
AT1G23090.1	0	778.7255	0.1154	0.0983	0.0105	0.1065	D
AT1G23130.1	0	10193.54333	0.2919	1.5219	0.1079	0.0709	D
AT1G23140.1	568.9	642.232	0.1923	0.2524	0.038	0.1506	both
AT1G23180.1	819.55	1014.974333	0.2615	0.2881	0.052	0.1805	both
AT1G23190.1	3769.35	3962.686667	0.1369	0.0633	0.0094	0.1481	both
AT1G23205.1	0	810.8216667	0.1005	0.1418	0.0119	0.0837	D
AT1G23210.1	6468.45	0	0.158	0.141	0.0193	0.1368	H
AT1G23230.2	562.52	565.0796667	0.1049	0.1289	0.0125	0.0972	both
AT1G23240.3	205.53	0	0.2826	0.5163	0.0779	0.1508	H
AT1G23260.1	707.29	949.5635	12.2456	0.2972	2.6803	9.0178	both
AT1G23280.1	548.65	291.706875	0.1815	0.447	0.048	0.1073	both
AT1G23310.2	712.92	9055.435	0.107	0.1265	0.0125	0.0985	both
AT1G23330.1	392.34	499.2669091	0.1302	0.0957	0.0126	0.1317	both
AT1G23340.2	0	198.8065	0.1616	0.176	0.0235	0.1333	D
AT1G23350.1	11309.28	0	0.3784	0.2281	0.0701	0.3075	H
AT1G23360.3	507.53	571.4452778	0.2038	0.1648	0.03	0.1817	both
AT1G23380.2	0	1008.648	0.1678	0.0704	0.0134	0.1902	D
AT1G23390.1	993.51	3467.645	0.3361	0.3083	0.0697	0.2261	both
AT1G23400.1	142.92	582	0.1717	0.1161	0.0193	0.1666	both
AT1G23410.1	2693.51	1091.505	0.1237	0.0346	0.0057	0.1637	both
AT1G23450.1	165.29	0	0.2316	0.2801	0.0477	0.1703	H
AT1G23490.1	3681.47	5713.063333	0.125	0.001	2e-04	0.1923	both
AT1G23530.1	0	414.1113333	0.1905	0.1632	0.0286	0.1755	D
AT1G23540.1	2341.46	0	0.1861	0.2505	0.0341	0.1363	H
AT1G23560.1	0	201.593	0.2007	0.1937	0.0339	0.1749	D
AT1G23710.1	940.63	775.698	0.2431	0.2126	0.0439	0.2065	both
AT1G23740.1	0	2567.578083	0.1988	0.1772	0.0274	0.1548	D
AT1G23760.1	1108.71	371.3796667	0.2231	0.1296	0.0269	0.2076	both
AT1G23790.1	225.88	0	0.2091	0.1911	0.0336	0.1757	H
AT1G23800.1	3184.92	834.511125	0.1481	0.0569	0.0093	0.1636	both
AT1G23830.1	0	507.973	0.2577	0.2887	0.0508	0.1758	D
AT1G23860.4	830.09	1330.749375	0.2274	0.0479	0.0116	0.2426	both
AT1G23880.1	109.67	83.16586667	0.1554	0.3539	0.0344	0.0972	both
AT1G23890.2	827.88	702.667	0.16	0.3625	0.037	0.1021	both
AT1G23980.1	496.08	363.5023333	0.1328	0.1761	0.0226	0.1284	both
AT1G24020.2	0	2426.82	0.1016	0.0791	0.0087	0.1094	D
AT1G24070.1	406.99	594.2453333	0.1456	0.2332	0.0253	0.1084	both
AT1G24090.1	576.77	0	0.2202	0.2304	0.0422	0.1831	H
AT1G24120.1	847.59	650.9265	0.1406	0.0899	0.0134	0.149	both
AT1G24150.1	0	401.258	0.1485	0.1717	0.0217	0.1266	D
AT1G24170.1	0	2765.813333	0.1276	0.0741	0.0112	0.1512	D
AT1G24190.2	366.43	591.7433333	0.1989	0.217	0.0362	0.1667	both
AT1G24210.1	400.9	0	0.3792	0.6132	0.1101	0.1796	H
AT1G24260.3	377.13	0	0.042	0.0809	0.0036	0.045	H
AT1G24310.1	533.05	251.97425	0.144	0.0738	0.0102	0.138	both
AT1G24330.1	1823.62	320.6333333	0.1612	0.1769	0.0236	0.1333	both
AT1G24360.1	3060.62	2188.966364	0.1246	0.2851	0.0241	0.0845	both
AT1G24420.1	0	162.4752727	0.236	0.2328	0.0426	0.1829	D
AT1G24430.1	0	651.0824545	0.2381	0.2404	0.0432	0.1798	D
AT1G24450.1	454.7	896.297	0.2412	0.4188	0.0586	0.14	both
AT1G24460.2	1191.02	728.326	0.1937	0.5402	0.0539	0.0997	both
AT1G24510.2	2228.57	2505.59	0.1203	0.0095	0.0016	0.1697	both
AT1G24610.1	1178.88	742.5334167	0.1765	0.1143	0.0183	0.1597	both
AT1G24620.1	4250.67	188.7416667	0.075	0.1969	0.0136	0.069	both
AT1G24625.1	0	1086.89	0.1711	0.152	0.0238	0.1565	D
AT1G24650.1	404.04	0	0.2419	0.2546	0.0479	0.1883	H
AT1G24735.2	0	305.7653333	0.207	0.3008	0.0426	0.1415	D
AT1G25230.1	0	1481.16	0.13	0.1839	0.0194	0.1054	D
AT1G25350.2	1454.26	858.7436667	0.1178	0.1953	0.0191	0.0977	both
AT1G25360.1	0	175.7646667	0.1699	0.1407	0.022	0.1561	D
AT1G25375.1	217	216.33	0.2516	0.3662	0.0587	0.1602	both
AT1G25380.1	694.46	617.137	0.1944	0.167	0.0282	0.1691	both
AT1G25450.1	0	1138.28	0.1506	0.0565	0.0086	0.153	D
AT1G25490.1	2168.99	1325.973333	0.0983	0.0281	0.0031	0.1113	both
AT1G25500.3	3779.17	455.575	0.1115	0.0599	0.0067	0.1127	both
AT1G25520.1	1399.99	1342.650667	0.132	0.0625	0.0096	0.154	both
AT1G25530.1	0	6713.19	0.146	0.1195	0.0153	0.1281	D
AT1G25540.2	1916.62	440.895	0.1143	0.1406	0.0142	0.101	both
AT1G26090.1	0	292.3586667	0.1831	0.2216	0.0317	0.1429	D
AT1G26100.1	0	579.3663333	0.1412	0.2324	0.0246	0.1059	D
AT1G26110.2	800.59	1910.206667	0.1378	0.0983	0.0136	0.1385	both
AT1G26150.1	0	834.601	0.3102	0.5468	0.0839	0.1535	D
AT1G26160.1	676.63	436.2512778	0.1481	0.1785	0.0219	0.123	both
AT1G26170.1	525.84	391.5305	0.1168	0.1959	0.0192	0.0979	both
AT1G26190.1	805.05	341.853	0.1018	0.0925	0.0099	0.1075	both
AT1G26220.1	0	237.3595	0.1569	0.0642	0.0097	0.1514	D
AT1G26260.3	202.52	207.525	0.2388	0.308	0.054	0.1755	both
AT1G26270.1	613.13	783.88	0.1275	0.1475	0.0176	0.119	both
AT1G26300.2	0	411.6746667	0.2207	0.2083	0.0381	0.1828	D
AT1G26320.2	3183.08	0	0.1677	0.1599	0.0236	0.1479	H
AT1G26390.1	0	262.6870273	0.1599	0.1426	0.0208	0.1458	D
AT1G26440.4	0	806.7453333	0.1523	0.1841	0.0228	0.124	D
AT1G26460.1	1141.97	874.404	0.1268	0.0981	0.0129	0.1311	both
AT1G26480.1	4250.49	0	0.1045	0.0838	0.01	0.119	H
AT1G26520.1	355.31	417.2026667	0.0827	0.1838	0.0125	0.0678	both
AT1G26560.1	1849.06	1525.35	0.1578	0.0716	0.0117	0.1641	both
AT1G26570.1	1854.08	428.7683333	0.102	0.0279	0.0036	0.1306	both
AT1G26580.1	1429.3	1741.216667	0.304	0.3614	0.0726	0.2008	both
AT1G26590.1	388.36	83.3408	0.2441	0.5907	0.0724	0.1226	both
AT1G26630.2	8168.06	10617.1	0.1779	0.1143	0.0219	0.1912	both
AT1G26640.1	635.89	989.2286667	0.1242	0.1183	0.0139	0.1179	both
AT1G26650.1	502.93	883.9466667	0.1905	0.0978	0.0181	0.1855	both
AT1G26665.2	726.71	2829.516667	0.1668	0.1503	0.0241	0.1601	both
AT1G26670.1	2266.13	5081.37	0.1472	0.0721	0.012	0.1659	both
AT1G26700.1	260.72	279.4625	0.1387	0.0955	0.0137	0.1437	both
AT1G26710.1	0	52.34033333	0.2637	0.6019	0.0744	0.1236	D
AT1G26750.1	2149.79	961.0033333	0.1496	0.1085	0.0162	0.1498	both
AT1G26800.1	0	3383.43	0.1711	0.39	0.0407	0.1043	D
AT1G26820.1	0	894.573	0.1035	0.1706	0.0159	0.0934	D
AT1G26830.1	1302.37	980.4116667	0.0976	0.0328	0.0042	0.1271	both
AT1G26840.1	8088.88	263.696	0.153	0.0597	0.0109	0.1828	both
AT1G26850.3	3235.77	2857.76	0.1076	0.0279	0.0037	0.1312	both
AT1G26920.1	487.48	1697.396667	0.2293	0.2192	0.0402	0.1835	both
AT1G26930.1	0	402.0855	0.1717	0.1081	0.0209	0.1929	D
AT1G26940.1	411.13	370.6333333	0.1002	0.1911	0.0161	0.084	both
AT1G26960.1	0	493.0193333	0.0754	0.1837	0.0122	0.0665	D
AT1G26970.1	0	699.0956667	0.1796	0.3643	0.0412	0.1131	D
AT1G27090.1	1407.66	1818.773333	0.1639	0.1068	0.0176	0.1649	both
AT1G27100.1	881.71	2921.136667	0.1786	0.1545	0.0244	0.1579	both
AT1G27120.1	887.57	390.167	0.1199	0.0751	0.0099	0.132	both
AT1G27130.1	0	2009.58	0.1019	0.1046	0.0102	0.0973	D
AT1G27150.1	755.86	1120.643333	0.1473	0.1887	0.0235	0.1245	both
AT1G27240.1	353.24	321.52	0.2223	0.6254	0.0669	0.107	both
AT1G27300.1	818.74	1181.646667	0.2182	0.4707	0.0569	0.1209	both
AT1G27320.1	0	1026.991667	0.096	0.0661	0.0069	0.105	D
AT1G27370.4	380.85	361.828	0.1334	0.4371	0.0334	0.0765	both
AT1G27385.4	1244.69	926.61	0.1793	0.1668	0.0255	0.1529	both
AT1G27410.1	318.49	314.3446667	0.1615	0.2099	0.0278	0.1324	both
AT1G27430.1	639.38	0	0.2249	0.3891	0.0547	0.1405	H
AT1G27440.1	0	2335.45	0.1538	0.0654	0.0102	0.1554	D
AT1G27450.3	2090.28	3750.186667	0.1425	0.1818	0.0211	0.1163	both
AT1G27520.1	290.97	761.3916667	0.0953	0.1827	0.0154	0.0845	both
AT1G27530.1	2227.78	2622.2	0.1098	0.001	1e-04	0.1372	both
AT1G27595.1	486.38	616.2183333	0.1152	0.3936	0.0274	0.0695	both
AT1G27630.1	1622.03	891.5015	0.1105	0.1405	0.0143	0.1018	both
AT1G27650.2	570.58	1965.256667	0.1391	0.029	0.0046	0.1593	both
AT1G27680.1	512.8	489.091	0.1403	0.11	0.0156	0.1418	both
AT1G27690.1	195.25	423.7183333	0.1315	0.0418	0.0063	0.1498	both
AT1G27700.1	1815.38	353.6136667	0.1356	0.1238	0.0186	0.1505	both
AT1G27720.1	839.45	0	0.2177	1.2538	0.0763	0.0609	H
AT1G27730.1	0	2568.785	0.1347	0.0652	0.0099	0.152	D
AT1G27740.1	0	501.3496667	0.0993	0.2005	0.016	0.08	D
AT1G27760.3	1409.64	938.5053333	0.1426	0.0875	0.0133	0.1516	both
AT1G27770.2	0	2250.588667	0.1172	0.0673	0.0082	0.1218	D
AT1G27880.1	532.98	160.3056667	0.1418	0.2101	0.0234	0.1115	both
AT1G27960.1	596.44	409.668	0.1772	0.4383	0.0457	0.1043	both
AT1G27980.1	391.78	1324.28	0.1554	0.0663	0.0115	0.1737	both
AT1G28010.1	0	154.1	0.1565	0.0923	0.0142	0.1541	D
AT1G28050.1	0	410.5053333	0.2115	0.2281	0.0406	0.1779	D
AT1G28060.1	1772.15	807.5183333	0.18	0.3223	0.0397	0.1233	both
AT1G28070.1	645.22	662.894	0.2519	0.2019	0.0449	0.2225	both
AT1G28080.1	0	401.1463333	0.1973	0.2174	0.0341	0.1569	D
AT1G28090.3	173.91	172.7299167	0.1744	0.1344	0.0216	0.1607	both
AT1G28110.2	0	1311.25	0.1394	0.0639	0.0093	0.1457	D
AT1G28120.1	1275.09	1549.03	0.1393	0.1173	0.0173	0.1474	both
AT1G28130.2	0	997.7740909	0.1383	0.0674	0.0098	0.1458	D
AT1G28140.1	228.81	1663.338	0.1886	0.1804	0.0286	0.1584	both
AT1G28210.2	633.2	169.5443333	0.1421	0.2597	0.0278	0.1072	both
AT1G28220.1	589.07	503.201	0.1669	0.1462	0.0214	0.1462	both
AT1G28320.1	481.23	607.703	0.1164	0.4141	0.0287	0.0692	both
AT1G28380.1	0	1424.76	0.1486	0.0992	0.015	0.1512	D
AT1G28400.1	0	2507.900909	0.1765	0.0968	0.0217	0.2242	D
AT1G28410.1	448.67	297.8943333	0.1322	0.2753	0.0265	0.0962	both
AT1G28420.1	241.93	632.439	0.1487	0.2756	0.0312	0.1131	both
AT1G28440.1	0	1203.276667	0.1449	0.1025	0.0151	0.1471	D
AT1G28490.2	1031.49	554.0426667	0.087	0.001	1e-04	0.1254	both
AT1G28520.2	0	560.4673333	0.0817	0.0924	0.0082	0.0884	D
AT1G28580.2	0	3057.133333	0.22	0.2058	0.0372	0.1808	D
AT1G28680.1	0	3016.473333	0.1852	0.1075	0.0188	0.1745	D
AT1G28760.1	337.76	324.663	0.2017	0.1333	0.0266	0.1996	both
AT1G28960.5	3090.68	716.3533333	0.1957	0.0885	0.0205	0.2314	both
AT1G29050.1	0	1355.153333	0.1323	0.1465	0.0171	0.1167	D
AT1G29070.1	703.16	5046.47	0.1209	0.3082	0.0245	0.0794	both
AT1G29120.5	1462.47	680.69	0.1426	0.187	0.0229	0.1225	both
AT1G29150.1	2503.49	2215.443333	0.2021	0.0743	0.0149	0.2006	both
AT1G29200.3	633.12	0	0.1154	0.2142	0.0206	0.0962	H
AT1G29220.2	380.65	517.1826667	0.1926	0.1304	0.0256	0.196	both
AT1G29260.1	419.47	831.414	0.1305	0.0668	0.0109	0.1625	both
AT1G29280.1	0	2279.549091	0.1544	0.1075	0.0158	0.1473	D
AT1G29310.1	3891.13	1050.576727	0.1332	0.0067	0.001	0.1495	both
AT1G29330.1	1348.63	870.5173333	0.101	0.0476	0.0062	0.1301	both
AT1G29340.1	2114.72	1915.172	0.207	0.056	0.0132	0.2352	both
AT1G29470.2	597.98	3272.893333	0.1101	0.075	0.0092	0.1229	both
AT1G29520.1	0	575.4655	0.0766	0.1456	0.0091	0.0624	D
AT1G29630.3	1174.56	0	0.1907	0.1735	0.029	0.1671	H
AT1G29660.1	0	4743.953333	0.1435	0.2378	0.0269	0.1133	D
AT1G29670.1	0	5214.553333	0.1213	0.1031	0.0126	0.1223	D
AT1G29690.1	0	533.8481818	0.1852	0.1209	0.0214	0.1769	D
AT1G29700.1	0	826.4358056	0.1284	0.2332	0.0224	0.0959	D
AT1G29750.2	2672.78	641.0436667	0.1034	0.1837	0.0161	0.0875	both
AT1G29790.2	0	579.0943333	0.1491	0.0699	0.0111	0.1587	D
AT1G29820.2	0	508.0626667	0.162	0.0741	0.0131	0.1771	D
AT1G29860.1	0	407.328625	0.2298	0.6254	0.0675	0.1079	D
AT1G29880.1	1080.71	907.2	0.1166	0.0844	0.0101	0.1195	both
AT1G29900.1	1538.14	1313.04	0.1296	0.0665	0.0097	0.1466	both
AT1G29940.1	1215.25	1390.44	0.1296	0.1859	0.0214	0.1154	both
AT1G29970.3	4438.21	3214.786667	0.2334	0.1099	0.027	0.246	both
AT1G30020.1	201.37	0	0.4478	0.2237	0.0831	0.3714	H
AT1G30040.2	0	1599.073333	0.0653	0.1568	0.0092	0.0588	D
AT1G30090.1	743.53	720.387	0.1574	0.0404	0.0078	0.1933	both
AT1G30110.2	0	1438.213333	0.1487	0.0603	0.0103	0.1701	D
AT1G30120.1	1332.85	1971.376667	0.1444	0.0559	0.0082	0.1466	both
AT1G30130.2	1450.7	1389.683333	0.1334	0.2435	0.0241	0.0988	both
AT1G30160.2	0	708.727	0.2641	0.5372	0.0719	0.1339	D
AT1G30200.2	770.15	796.6133333	0.2588	0.0724	0.0204	0.2817	both
AT1G30210.2	0	494.1014444	0.1389	0.1405	0.02	0.1426	D
AT1G30220.1	851.42	809.7593333	0.128	0.0929	0.0118	0.1274	both
AT1G30240.2	700.92	250.457875	0.065	0.1927	0.0105	0.0542	both
AT1G30300.1	899.55	443.3908182	0.0836	0.1387	0.011	0.0795	both
AT1G30330.2	0	1198.423333	0.1485	0.0905	0.013	0.1436	D
AT1G30360.1	506.58	4292.663333	0.1585	0.104	0.0156	0.1502	both
AT1G30400.2	856.24	3518.686667	0.1023	0.0507	0.0059	0.1157	both
AT1G30440.1	0	615.29	0.1304	0.0558	0.0081	0.1458	D
AT1G30480.1	1403.16	508.8205	0.1457	0.1027	0.0162	0.1577	both
AT1G30490.1	0	2758.24	0.1255	0.0487	0.0066	0.1359	D
AT1G30500.2	0	1214.85	0.2004	0.3351	0.0463	0.1382	D
AT1G30520.1	472.74	748.12	0.1947	0.2506	0.036	0.1437	both
AT1G30530.1	0	552.28	0.2128	0.3986	0.0506	0.127	D
AT1G30540.1	1052.66	699.617	0.1136	0.1312	0.0133	0.1012	both
AT1G30550.2	305.79	425.5423333	0.158	0.1874	0.0265	0.1413	both
AT1G30600.1	271.38	241.7533636	0.1751	0.1366	0.0215	0.1573	both
AT1G30630.1	2646.84	1787.283333	0.1285	0.0442	0.0063	0.1417	both
AT1G30640.1	1871.16	471.3433333	0.1812	0.091	0.0177	0.1942	both
AT1G30760.1	0	1751.783333	0.1665	0.0879	0.0153	0.1741	D
AT1G30790.1	895.93	0	0.2818	0.6388	0.0824	0.1289	H
AT1G30810.2	2811.21	371.2686667	0.1829	0.1187	0.0224	0.1889	both
AT1G30820.1	3603.67	891.053	0.1393	0.0988	0.0143	0.1448	both
AT1G30825.1	829.39	637.3295455	0.0861	0.0294	0.0029	0.0989	both
AT1G30840.2	160.28	409.138	0.1837	0.4049	0.0444	0.1096	both
AT1G30870.1	0	5394.063333	0.2251	0.1784	0.0338	0.1892	D
AT1G30890.2	3085.99	1106.456667	0.1588	0.0257	0.0051	0.1967	both
AT1G30900.1	780.35	2006.456667	0.1469	0.0573	0.0098	0.1715	both
AT1G30910.1	0	814.9465	0.1295	0.2451	0.0236	0.0963	D
AT1G30970.2	778.16	694.7895	0.1066	0.1796	0.0175	0.0974	both
AT1G31010.1	1994.78	299.4316667	0.1905	0.3703	0.0467	0.1261	both
AT1G31020.1	673.89	451.4213636	0.1106	0.0681	0.0084	0.1239	both
AT1G31070.2	1103.58	403.495	0.1106	0.0239	0.0035	0.1461	both
AT1G31160.1	766.31	693.9628333	0.2473	0.191	0.0389	0.2039	both
AT1G31230.1	994.05	1520.78	0.1143	0.1053	0.0116	0.1104	both
AT1G31280.1	0	274.0675	0.1973	0.1206	0.0231	0.192	D
AT1G31300.2	907.66	1161.56	0.1038	0.0136	0.0017	0.1228	both
AT1G31310.1	80.08	196.7335	0.1816	0.1796	0.0286	0.1595	both
AT1G31320.1	0	681.2553333	0.1234	0.0158	0.0025	0.1601	D
AT1G31330.1	424.85	12548.5	0.0835	0.0191	0.002	0.1052	both
AT1G31410.1	1766.57	0	0.2209	0.1894	0.0344	0.1817	H
AT1G31470.1	448.99	572.5856667	0.2027	0.1303	0.0242	0.1857	both
AT1G31480.1	174.64	261.7803333	0.1288	0.2216	0.023	0.1037	both
AT1G31500.4	626.27	519.707	0.2426	0.2599	0.0494	0.1901	both
AT1G31550.2	0	651.1216667	0.2327	0.2281	0.0411	0.1801	D
AT1G31600.3	448.31	630.437	0.2153	0.2866	0.0435	0.1519	both
AT1G31720.1	0	830.8885	0.2592	0.4208	0.0631	0.1499	D
AT1G31770.1	226.02	4320.62	0.1169	0.0391	0.0055	0.1418	both
AT1G31800.1	159.78	1348.646667	0.1779	0.1567	0.0256	0.1632	both
AT1G31850.3	0	2400.643333	0.1854	0.0487	0.0099	0.2043	D
AT1G31910.2	7340.67	2634.19	0.1234	0.1676	0.0181	0.1077	both
AT1G31920.1	0	265.2326667	0.1527	0.2765	0.0315	0.1139	D
AT1G31930.3	0	979.1123333	0.142	0.0457	0.0078	0.1716	D
AT1G31940.1	0	712.6113333	0.1858	0.1666	0.0266	0.1597	D
AT1G32050.1	2917.13	3846.33	0.1257	0.0537	0.0071	0.1313	both
AT1G32070.3	161.54	1268.243278	0.1582	0.0962	0.0182	0.1893	both
AT1G32080.1	0	3512.696444	0.1245	0.1222	0.0139	0.1134	D
AT1G32090.1	0	324.75	0.1273	0.0598	0.0084	0.1405	D
AT1G32100.1	0	4728.185	0.1682	0.0645	0.0112	0.1741	D
AT1G32120.1	891.5	530	0.1599	0.0176	0.0034	0.1942	both
AT1G32130.2	2014.98	1642.84	0.1255	0.0775	0.0125	0.1617	both
AT1G32150.1	467.55	585.512	0.119	0.175	0.0192	0.1098	both
AT1G32160.1	455.43	1483.486639	0.1948	0.0711	0.014	0.1968	both
AT1G32170.1	2591.24	1583.03	0.1244	0.0669	0.0092	0.137	both
AT1G32190.2	0	1148.906667	0.1483	0.1338	0.0199	0.1488	D
AT1G32200.2	1027.97	1683.503056	0.1015	0.1073	0.0108	0.1004	both
AT1G32220.1	2583.54	1677.326778	0.0928	0.111	0.0095	0.0858	both
AT1G32230.3	1307.98	3774.4	0.1412	0.1571	0.021	0.1336	both
AT1G32240.1	0	372.925	0.1208	0.0548	0.0079	0.1433	D
AT1G32260.1	478.53	371.0786667	0.2161	0.1977	0.0339	0.1715	both
AT1G32330.1	915.84	299.4423333	0.1847	0.3636	0.0434	0.1194	both
AT1G32400.3	2347.81	1863.003333	0.1194	0.1433	0.0162	0.1133	both
AT1G32440.1	1330.85	592.4301111	0.1686	0.0988	0.0174	0.1762	both
AT1G32450.1	0	3243.163636	0.1572	0.0295	0.0053	0.178	D
AT1G32500.1	330.63	999.2425278	0.1411	0.1134	0.0161	0.1419	both
AT1G32580.1	1451.84	638.9435	0.1791	0.1427	0.0239	0.1675	both
AT1G32730.1	1809.69	0	0.1967	0.3133	0.0423	0.135	H
AT1G32740.1	439.11	339.174	0.2453	0.3975	0.0576	0.145	both
AT1G32750.1	897.6	906.1163333	0.1113	0.2443	0.0214	0.0875	both
AT1G32770.1	0	1374.42	0.2277	0.1614	0.0343	0.2126	D
AT1G32780.1	1672.77	162.41	0.1579	0.1048	0.0156	0.1484	both
AT1G32790.2	665.8	2403.853333	0.2123	0.153	0.0301	0.1967	both
AT1G32810.2	0	524.654	0.1828	0.2926	0.0392	0.134	D
