Gene.ID	AFFY.ATH1	Protein.ID	Transcript.ID
AT2G28220		AT2G28220.1	AT2G28220.1
AT1G27750		AT1G27750.1	AT1G27750.1
AT5G43401		AT5G43401.1	AT5G43401.1
AT1G54740	264238_at	AT1G54740.1	AT1G54740.1
AT3G24520	258139_at	AT3G24520.1	AT3G24520.1
AT2G17510	263077_at	AT2G17510.2	AT2G17510.2
AT2G17510	263077_at	AT2G17510.1	AT2G17510.1
AT3G51350	252152_at	AT3G51350.1	AT3G51350.1
AT5G60160	247624_at	AT5G60160.1	AT5G60160.1
AT1G28710	262750_at	AT1G28710.3	AT1G28710.3
AT1G28710	262750_at	AT1G28710.4	AT1G28710.4
AT1G28710	262750_at	AT1G28710.1	AT1G28710.1
AT4G23885	254190_at	AT4G23885.1	AT4G23885.1
AT5G67300	246987_at	AT5G67300.1	AT5G67300.1
AT3G29080	258190_at	AT3G29080.1	AT3G29080.1
AT5G51430	248458_at	AT5G51430.1	AT5G51430.1
AT3G57390	251623_at	AT3G57390.3	AT3G57390.3
AT3G57390	251623_at	AT3G57390.2	AT3G57390.2
AT3G57390	251623_at	AT3G57390.1	AT3G57390.1
AT3G17390	258415_at	AT3G17390.1	AT3G17390.1
AT2G40110	265720_at	AT2G40110.1	AT2G40110.1
AT2G40110	265720_at	AT2G40110.3	AT2G40110.3
AT2G40110	265720_at	AT2G40110.4	AT2G40110.4
AT2G40110	265720_at	AT2G40110.2	AT2G40110.2
AT4G10160	255802_s_at	AT4G10160.1	AT4G10160.1
AT1G28450		AT1G28450.1	AT1G28450.1
AT5G44560	249060_at	AT5G44560.4	AT5G44560.4
AT5G44560	249060_at	AT5G44560.1	AT5G44560.1
AT5G44560	249060_at	AT5G44560.2	AT5G44560.2
AT5G44560	249060_at	AT5G44560.3	AT5G44560.3
AT5G05630	250789_at	AT5G05630.1	AT5G05630.1
AT4G35370	253192_at	AT4G35370.1	AT4G35370.1
AT5G41840		AT5G41840.1	AT5G41840.1
AT1G15625		AT1G15625.1	AT1G15625.1
AT2G22650	265318_at	AT2G22650.1	AT2G22650.1
AT2G22650	265318_at	AT2G22650.3	AT2G22650.3
AT2G22650	265318_at	AT2G22650.2	AT2G22650.2
AT5G35890	249670_at	AT5G35890.1	AT5G35890.1
AT5G04238		AT5G04238.1	AT5G04238.1
AT3G63255		AT3G63255.1	AT3G63255.1
AT1G61660	265034_at	AT1G61660.1	AT1G61660.1
AT1G61660	265034_at	AT1G61660.3	AT1G61660.3
AT1G61660	265034_at	AT1G61660.4	AT1G61660.4
AT1G61660	265034_at	AT1G61660.7	AT1G61660.7
AT1G61660	265034_at	AT1G61660.2	AT1G61660.2
AT1G61660	265034_at	AT1G61660.5	AT1G61660.5
AT1G61660	265034_at	AT1G61660.6	AT1G61660.6
AT5G36130	249684_s_at	AT5G36130.1	AT5G36130.1
AT5G35330	246611_at	AT5G35330.2	AT5G35330.2
AT5G35330	246611_at	AT5G35330.4	AT5G35330.4
AT5G35330	246611_at	AT5G35330.1	AT5G35330.1
AT5G35330	246611_at	AT5G35330.3	AT5G35330.3
AT2G26660	267611_at	AT2G26660.1	AT2G26660.1
AT3G27160	256753_at	AT3G27160.2	AT3G27160.2
AT3G27160	256753_at	AT3G27160.1	AT3G27160.1
AT4G29120	253706_at	AT4G29120.1	AT4G29120.1
AT4G09510	255038_at	AT4G09510.2	AT4G09510.2
AT4G09510	255038_at	AT4G09510.1	AT4G09510.1
AT3G14120	257000_at	AT3G14120.1	AT3G14120.1
AT3G14120	257000_at	AT3G14120.2	AT3G14120.2
AT3G14120	257000_at	AT3G14120.3	AT3G14120.3
AT5G37970	249598_at	AT5G37970.1	AT5G37970.1
AT4G28020	253848_at	AT4G28020.4	AT4G28020.4
AT4G28020	253848_at	AT4G28020.1	AT4G28020.1
AT4G28020	253848_at	AT4G28020.3	AT4G28020.3
AT4G28020	253848_at	AT4G28020.2	AT4G28020.2
AT4G14310		AT4G14310.1	AT4G14310.1
AT4G14310		AT4G14310.2	AT4G14310.2
AT4G10465		AT4G10465.1	AT4G10465.1
AT2G17820	264790_at	AT2G17820.1	AT2G17820.1
AT5G64230	247287_at	AT5G64230.1	AT5G64230.1
AT2G34210	267049_at	AT2G34210.2	AT2G34210.2
AT2G34210	267049_at	AT2G34210.1	AT2G34210.1
AT1G75460	261118_at	AT1G75460.1	AT1G75460.1
AT3G23920	256861_at	AT3G23920.1	AT3G23920.1
AT1G49310	262446_at	AT1G49310.1	AT1G49310.1
AT2G28010	264067_x_at	AT2G28010.1	AT2G28010.1
AT1G69650		AT1G69650.1	AT1G69650.1
AT1G80070	262068_at	AT1G80070.1	AT1G80070.1
AT2G16070	263097_at	AT2G16070.2	AT2G16070.2
AT2G16070	263097_at	AT2G16070.1	AT2G16070.1
AT2G16070	263097_at	AT2G16070.3	AT2G16070.3
AT2G15450	265490_s_at	AT2G15450.1	AT2G15450.1
AT2G35935		AT2G35935.1	AT2G35935.1
AT1G51060	245750_at	AT1G51060.1	AT1G51060.1
AT1G80410	260282_at	AT1G80410.1	AT1G80410.1
AT1G80410	260282_at	AT1G80410.2	AT1G80410.2
AT5G12150	250305_at	AT5G12150.2	AT5G12150.2
AT5G12150	250305_at	AT5G12150.1	AT5G12150.1
AT3G01480	259193_at	AT3G01480.2	AT3G01480.2
AT3G01480	259193_at	AT3G01480.1	AT3G01480.1
AT1G09794		AT1G09794.1	AT1G09794.1
AT1G59670	262074_at	AT1G59670.1	AT1G59670.1
AT4G21090	254451_at	AT4G21090.3	AT4G21090.3
AT4G21090	254451_at	AT4G21090.2	AT4G21090.2
AT4G21090	254451_at	AT4G21090.1	AT4G21090.1
AT1G02980	262102_at	AT1G02980.2	AT1G02980.2
AT1G02980	262102_at	AT1G02980.1	AT1G02980.1
AT4G36140	253074_at	AT4G36140.2	AT4G36140.2
AT4G36140	253074_at	AT4G36140.1	AT4G36140.1
AT2G18969		AT2G18969.1	AT2G18969.1
AT5G12090		AT5G12090.1	AT5G12090.1
AT3G11130	256437_s_at	AT3G11130.1	AT3G11130.1
AT3G19100	257024_at	AT3G19100.1	AT3G19100.1
AT3G45030	252601_s_at	AT3G45030.1	AT3G45030.1
AT1G06680	262632_at	AT1G06680.2	AT1G06680.2
AT1G06680	262632_at	AT1G06680.1	AT1G06680.1
AT1G66540	256386_at	AT1G66540.2	AT1G66540.2
AT1G66540	256386_at	AT1G66540.1	AT1G66540.1
AT1G33840	257473_at	AT1G33840.1	AT1G33840.1
AT1G33840	257473_at	AT1G33840.2	AT1G33840.2
AT5G62840	247400_at	AT5G62840.2	AT5G62840.2
AT5G62840	247400_at	AT5G62840.1	AT5G62840.1
AT1G27610	262294_at	AT1G27610.3	AT1G27610.3
AT1G27610	262294_at	AT1G27610.2	AT1G27610.2
AT1G27610	262294_at	AT1G27610.1	AT1G27610.1
AT2G12550	257444_at	AT2G12550.1	AT2G12550.1
AT3G61160	251358_at	AT3G61160.4	AT3G61160.4
AT3G61160	251358_at	AT3G61160.2	AT3G61160.2
AT3G61160	251358_at	AT3G61160.1	AT3G61160.1
AT3G61160	251358_at	AT3G61160.3	AT3G61160.3
AT3G61160	251358_at	AT3G61160.5	AT3G61160.5
AT3G61160	251358_at	AT3G61160.6	AT3G61160.6
AT3G43980	252693_s_at	AT3G43980.1	AT3G43980.1
AT1G09750	264672_at	AT1G09750.1	AT1G09750.1
AT1G31772		AT1G31772.2	AT1G31772.2
AT1G31772		AT1G31772.1	AT1G31772.1
AT5G15120	250152_at	AT5G15120.1	AT5G15120.1
AT5G57100	247944_at	AT5G57100.4	AT5G57100.4
AT5G57100	247944_at	AT5G57100.1	AT5G57100.1
AT5G57100	247944_at	AT5G57100.2	AT5G57100.2
AT5G57100	247944_at	AT5G57100.3	AT5G57100.3
AT4G16830	245350_at	AT4G16830.1	AT4G16830.1
AT4G16830	245350_at	AT4G16830.2	AT4G16830.2
AT4G16830	245350_at	AT4G16830.3	AT4G16830.3
AT3G43410		AT3G43410.1	AT3G43410.1
AT1G13608		AT1G13608.1	AT1G13608.1
AT3G25120	257818_at	AT3G25120.1	AT3G25120.1
AT1G15280	262576_at	AT1G15280.2	AT1G15280.2
AT1G15280	262576_at	AT1G15280.1	AT1G15280.1
AT2G45960	266927_at	AT2G45960.3	AT2G45960.3
AT2G45960	266927_at	AT2G45960.1	AT2G45960.1
AT2G45960	266927_at	AT2G45960.2	AT2G45960.2
AT3G45610	252586_at	AT3G45610.1	AT3G45610.1
AT1G21500	260877_at	AT1G21500.1	AT1G21500.1
AT4G38260	252981_at	AT4G38260.1	AT4G38260.1
AT1G18170	256130_at	AT1G18170.1	AT1G18170.1
AT2G22690	265289_at	AT2G22690.2	AT2G22690.2
AT2G22690	265289_at	AT2G22690.1	AT2G22690.1
AT2G03640		AT2G03640.3	AT2G03640.3
AT2G03640		AT2G03640.1	AT2G03640.1
AT2G03640		AT2G03640.5	AT2G03640.5
AT2G03640		AT2G03640.2	AT2G03640.2
AT2G03640		AT2G03640.4	AT2G03640.4
AT1G79350	264125_at	AT1G79350.1	AT1G79350.1
AT2G16810	265407_at	AT2G16810.1	AT2G16810.1
AT3G13290	257684_s_at	AT3G13290.1	AT3G13290.1
AT4G27020		AT4G27020.1	AT4G27020.1
AT3G44490	252633_x_at	AT3G44490.1	AT3G44490.1
AT1G26200		AT1G26200.1	AT1G26200.1
AT1G26200		AT1G26200.3	AT1G26200.3
AT1G26200		AT1G26200.2	AT1G26200.2
AT5G20070	246126_at	AT5G20070.1	AT5G20070.1
AT1G29490	259785_at	AT1G29490.1	AT1G29490.1
AT1G29870	255990_at	AT1G29870.1	AT1G29870.1
AT3G10140	258934_at	AT3G10140.1	AT3G10140.1
AT1G07520	261063_at	AT1G07520.3	AT1G07520.3
AT1G07520	261063_at	AT1G07520.1	AT1G07520.1
AT1G07520	261063_at	AT1G07520.4	AT1G07520.4
AT1G07520	261063_at	AT1G07520.2	AT1G07520.2
AT1G08060	260625_at	AT1G08060.3	AT1G08060.3
AT1G08060	260625_at	AT1G08060.2	AT1G08060.2
AT1G08060	260625_at	AT1G08060.1	AT1G08060.1
AT2G19830	266698_at	AT2G19830.1	AT2G19830.1
AT2G19830	266698_at	AT2G19830.2	AT2G19830.2
AT1G02720	260928_at	AT1G02720.2	AT1G02720.2
AT1G02720	260928_at	AT1G02720.1	AT1G02720.1
AT5G20390	246123_at	AT5G20390.1	AT5G20390.1
AT1G47490	262433_s_at	AT1G47490.2	AT1G47490.2
AT1G47490	262433_s_at	AT1G47490.1	AT1G47490.1
AT5G25210	246929_at	AT5G25210.1	AT5G25210.1
AT5G25210	246929_at	AT5G25210.2	AT5G25210.2
AT3G51660	252076_at	AT3G51660.1	AT3G51660.1
AT2G27150	263570_at	AT2G27150.6	AT2G27150.6
AT2G27150	263570_at	AT2G27150.2	AT2G27150.2
AT2G27150	263570_at	AT2G27150.3	AT2G27150.3
AT2G27150	263570_at	AT2G27150.5	AT2G27150.5
AT2G27150	263570_at	AT2G27150.4	AT2G27150.4
AT2G27150	263570_at	AT2G27150.1	AT2G27150.1
AT1G20180	261243_at	AT1G20180.1	AT1G20180.1
AT1G20180	261243_at	AT1G20180.2	AT1G20180.2
AT4G37440		AT4G37440.2	AT4G37440.2
AT4G37440		AT4G37440.1	AT4G37440.1
AT4G37440		AT4G37440.3	AT4G37440.3
AT1G15870	259503_at	AT1G15870.1	AT1G15870.1
AT3G61440	251322_at	AT3G61440.1	AT3G61440.1
AT3G61440	251322_at	AT3G61440.4	AT3G61440.4
AT3G61440	251322_at	AT3G61440.2	AT3G61440.2
AT3G61440	251322_at	AT3G61440.3	AT3G61440.3
AT1G30800	257419_at	AT1G30800.1	AT1G30800.1
AT3G58030		AT3G58030.3	AT3G58030.3
AT3G58030		AT3G58030.1	AT3G58030.1
AT3G58030		AT3G58030.2	AT3G58030.2
AT3G58030		AT3G58030.4	AT3G58030.4
AT5G66590	247074_at	AT5G66590.1	AT5G66590.1
AT1G27461	264494_at	AT1G27461.1	AT1G27461.1
ATMG00690	244906_at	ATMG00690.1	ATMG00690.1
AT4G25830	254041_at	AT4G25830.1	AT4G25830.1
AT5G27130		AT5G27130.1	AT5G27130.1
ATCG00530	245019_at	ATCG00530.1	ATCG00530.1
AT4G31580	253536_at	AT4G31580.1	AT4G31580.1
AT4G31580	253536_at	AT4G31580.2	AT4G31580.2
AT1G34340	262561_at	AT1G34340.1	AT1G34340.1
AT4G29510	253695_at	AT4G29510.1	AT4G29510.1
AT3G43220	252737_at	AT3G43220.3	AT3G43220.3
AT3G43220	252737_at	AT3G43220.1	AT3G43220.1
AT3G43220	252737_at	AT3G43220.2	AT3G43220.2
AT2G42080	267587_at	AT2G42080.1	AT2G42080.1
AT3G50240	252215_at	AT3G50240.2	AT3G50240.2
AT3G50240	252215_at	AT3G50240.3	AT3G50240.3
AT3G50240	252215_at	AT3G50240.1	AT3G50240.1
AT3G50240	252215_at	AT3G50240.4	AT3G50240.4
AT3G09960	258942_at	AT3G09960.1	AT3G09960.1
AT1G29660	259786_at	AT1G29660.1	AT1G29660.1
AT2G18130	261341_s_at	AT2G18130.1	AT2G18130.1
AT1G65060	261907_at	AT1G65060.2	AT1G65060.2
AT1G65060	261907_at	AT1G65060.1	AT1G65060.1
AT2G24450	257392_at	AT2G24450.1	AT2G24450.1
AT3G57300	251675_at	AT3G57300.4	AT3G57300.4
AT3G57300	251675_at	AT3G57300.2	AT3G57300.2
AT3G57300		AT3G57300.3	AT3G57300.3
AT3G57300	251675_at	AT3G57300.1	AT3G57300.1
AT5G54280	248204_at	AT5G54280.1	AT5G54280.1
AT5G54280	248204_at	AT5G54280.2	AT5G54280.2
AT1G10890		AT1G10890.2	AT1G10890.2
AT1G10890		AT1G10890.1	AT1G10890.1
AT1G10890		AT1G10890.4	AT1G10890.4
AT1G10890		AT1G10890.3	AT1G10890.3
AT1G55335		AT1G55335.1	AT1G55335.1
AT5G34883	246641_s_at	AT5G34883.1	AT5G34883.1
AT5G66960	247015_at	AT5G66960.1	AT5G66960.1
AT4G05590	255243_at	AT4G05590.1	AT4G05590.1
AT4G05590	255243_at	AT4G05590.2	AT4G05590.2
AT4G05590	255243_at	AT4G05590.3	AT4G05590.3
AT3G46210	252508_at	AT3G46210.2	AT3G46210.2
AT3G46210	252508_at	AT3G46210.4	AT3G46210.4
AT3G46210	252508_at	AT3G46210.6	AT3G46210.6
AT3G46210	252508_at	AT3G46210.3	AT3G46210.3
AT3G46210	252508_at	AT3G46210.7	AT3G46210.7
AT3G46210	252508_at	AT3G46210.5	AT3G46210.5
AT3G46210	252508_at	AT3G46210.1	AT3G46210.1
AT1G13805		AT1G13805.1	AT1G13805.1
AT1G31920	246313_at	AT1G31920.1	AT1G31920.1
AT5G48540	248686_at	AT5G48540.1	AT5G48540.1
AT4G14360	245274_at	AT4G14360.2	AT4G14360.2
AT4G14360	245274_at	AT4G14360.1	AT4G14360.1
AT5G54270	248151_at	AT5G54270.1	AT5G54270.1
AT3G55515		AT3G55515.1	AT3G55515.1
AT5G06970	250656_at	AT5G06970.1	AT5G06970.1
AT1G21510	260918_at	AT1G21510.1	AT1G21510.1
AT3G62330	251267_at	AT3G62330.1	AT3G62330.1
AT3G62330	251267_at	AT3G62330.2	AT3G62330.2
AT5G57260	247953_at	AT5G57260.1	AT5G57260.1
AT5G22410	249934_at	AT5G22410.1	AT5G22410.1
AT1G48400		AT1G48400.1	AT1G48400.1
AT1G48400		AT1G48400.2	AT1G48400.2
AT5G56470	248018_at	AT5G56470.1	AT5G56470.1
AT4G10570	254984_s_at	AT4G10570.1	AT4G10570.1
AT5G41660	249259_at	AT5G41660.1	AT5G41660.1
AT2G33880	267453_at	AT2G33880.1	AT2G33880.1
AT2G33880	267453_at	AT2G33880.2	AT2G33880.2
AT5G35590	266036_s_at	AT5G35590.1	AT5G35590.1
AT2G10550		AT2G10550.1	AT2G10550.1
AT4G23540	254238_at	AT4G23540.1	AT4G23540.1
AT1G54300	258739_s_at	AT1G54300.1	AT1G54300.1
AT4G18823		AT4G18823.1	AT4G18823.1
AT1G55120	256150_at	AT1G55120.4	AT1G55120.4
AT1G55120	256150_at	AT1G55120.1	AT1G55120.1
AT1G55120	256150_at	AT1G55120.3	AT1G55120.3
AT1G55120	256150_at	AT1G55120.2	AT1G55120.2
AT3G26640	257833_at	AT3G26640.1	AT3G26640.1
AT2G44760	266874_at	AT2G44760.1	AT2G44760.1
AT3G26147		AT3G26147.1	AT3G26147.1
AT2G04039	263410_at	AT2G04039.2	AT2G04039.2
AT2G04039	263410_at	AT2G04039.1	AT2G04039.1
AT2G04039	263410_at	AT2G04039.3	AT2G04039.3
AT1G08645		AT1G08645.1	AT1G08645.1
AT1G03495	265091_s_at	AT1G03495.1	AT1G03495.1
AT5G19120	249923_at	AT5G19120.1	AT5G19120.1
AT1G70450	264312_at	AT1G70450.1	AT1G70450.1
AT4G35190	253182_at	AT4G35190.2	AT4G35190.2
AT4G35190	253182_at	AT4G35190.1	AT4G35190.1
AT5G55850	248025_at	AT5G55850.1	AT5G55850.1
AT5G55850	248025_at	AT5G55850.3	AT5G55850.3
AT5G55850	248025_at	AT5G55850.2	AT5G55850.2
AT5G36080	249682_at	AT5G36080.1	AT5G36080.1
AT4G21770		AT4G21770.1	AT4G21770.1
AT4G21770		AT4G21770.2	AT4G21770.2
AT1G30240	245770_at	AT1G30240.1	AT1G30240.1
AT1G30240	245770_at	AT1G30240.2	AT1G30240.2
AT5G06360	250703_at	AT5G06360.1	AT5G06360.1
AT3G22370	258452_at	AT3G22370.1	AT3G22370.1
AT5G01790	251058_at	AT5G01790.1	AT5G01790.1
AT3G18750	257801_at	AT3G18750.5	AT3G18750.5
AT3G18750	257801_at	AT3G18750.2	AT3G18750.2
AT3G18750	257801_at	AT3G18750.4	AT3G18750.4
AT3G18750	257801_at	AT3G18750.6	AT3G18750.6
AT3G18750	257801_at	AT3G18750.3	AT3G18750.3
AT3G18750	257801_at	AT3G18750.1	AT3G18750.1
AT2G16770		AT2G16770.1	AT2G16770.1
AT2G16770		AT2G16770.2	AT2G16770.2
AT1G64570	262006_at	AT1G64570.1	AT1G64570.1
AT1G77855		AT1G77855.1	AT1G77855.1
AT5G16000	246483_at	AT5G16000.1	AT5G16000.1
AT3G62990		AT3G62990.1	AT3G62990.1
AT1G48190		AT1G48190.1	AT1G48190.1
AT5G08360	246054_at	AT5G08360.2	AT5G08360.2
AT5G08360	246054_at	AT5G08360.1	AT5G08360.1
AT3G53890	251921_at	AT3G53890.1	AT3G53890.1
AT3G53890	251921_at	AT3G53890.2	AT3G53890.2
AT5G27520	246779_at	AT5G27520.1	AT5G27520.1
AT3G05680	258891_at	AT3G05680.1	AT3G05680.1
AT3G05680	258891_at	AT3G05680.2	AT3G05680.2
AT4G23630	254227_at	AT4G23630.2	AT4G23630.2
AT4G23630	254227_at	AT4G23630.1	AT4G23630.1
AT1G01590		AT1G01590.1	AT1G01590.1
AT1G48120	260717_at	AT1G48120.1	AT1G48120.1
AT4G23770		AT4G23770.1	AT4G23770.1
AT4G23770		AT4G23770.2	AT4G23770.2
AT2G27410	265647_at	AT2G27410.1	AT2G27410.1
AT4G14530	245591_at	AT4G14530.1	AT4G14530.1
AT1G01070	261576_at	AT1G01070.2	AT1G01070.2
AT1G01070	261576_at	AT1G01070.1	AT1G01070.1
AT1G69940	250606_s_at	AT1G69940.1	AT1G69940.1
AT5G25590	246899_at	AT5G25590.1	AT5G25590.1
AT1G02067		AT1G02067.1	AT1G02067.1
AT5G25160	246933_at	AT5G25160.1	AT5G25160.1
AT5G19790	245966_at	AT5G19790.1	AT5G19790.1
AT2G33620	255792_at	AT2G33620.3	AT2G33620.3
AT2G33620	255792_at	AT2G33620.2	AT2G33620.2
AT2G33620	255792_at	AT2G33620.4	AT2G33620.4
AT2G33620	255792_at	AT2G33620.1	AT2G33620.1
AT1G17440	261041_at	AT1G17440.1	AT1G17440.1
AT1G17440	261041_at	AT1G17440.2	AT1G17440.2
AT4G26510	253970_at	AT4G26510.1	AT4G26510.1
AT4G26510	253970_at	AT4G26510.4	AT4G26510.4
AT4G26510	253970_at	AT4G26510.2	AT4G26510.2
AT4G26510	253970_at	AT4G26510.3	AT4G26510.3
AT3G52880	252024_at	AT3G52880.1	AT3G52880.1
AT3G52880	252024_at	AT3G52880.2	AT3G52880.2
AT2G23960	266561_at	AT2G23960.1	AT2G23960.1
AT2G23960	266561_at	AT2G23960.2	AT2G23960.2
AT2G41180	267084_at	AT2G41180.1	AT2G41180.1
AT1G79480		AT1G79480.1	AT1G79480.1
AT1G79480		AT1G79480.2	AT1G79480.2
AT2G14289		AT2G14289.1	AT2G14289.1
AT5G13680	250244_at	AT5G13680.1	AT5G13680.1
AT2G36110	257356_s_at	AT2G36110.1	AT2G36110.1
AT3G01260	259264_at	AT3G01260.1	AT3G01260.1
AT5G46390	248899_at	AT5G46390.2	AT5G46390.2
AT5G46390	248899_at	AT5G46390.1	AT5G46390.1
AT2G38060	266086_at	AT2G38060.2	AT2G38060.2
AT2G38060	266086_at	AT2G38060.1	AT2G38060.1
AT1G44478	245241_at	AT1G44478.1	AT1G44478.1
AT4G20740	254483_at	AT4G20740.1	AT4G20740.1
AT1G80230	262048_at	AT1G80230.1	AT1G80230.1
AT2G20840	265419_at	AT2G20840.1	AT2G20840.1
AT2G20840	265419_at	AT2G20840.2	AT2G20840.2
AT2G20840	265419_at	AT2G20840.3	AT2G20840.3
AT2G31005		AT2G31005.1	AT2G31005.1
AT2G26130		AT2G26130.1	AT2G26130.1
AT5G27350	246781_at	AT5G27350.1	AT5G27350.1
AT2G44620	266890_at	AT2G44620.1	AT2G44620.1
AT5G47360	248783_at	AT5G47360.1	AT5G47360.1
AT1G63080	259692_at	AT1G63080.3	AT1G63080.3
AT1G63080	259692_at	AT1G63080.1	AT1G63080.1
AT1G63080	259692_at	AT1G63080.2	AT1G63080.2
AT5G65070		AT5G65070.6	AT5G65070.6
AT5G65070	247223_at	AT5G65070.2	AT5G65070.2
AT5G65070	247223_at	AT5G65070.1	AT5G65070.1
AT5G65070	247223_at	AT5G65070.5	AT5G65070.5
AT5G65070	247223_at	AT5G65070.3	AT5G65070.3
AT5G65070	247223_at	AT5G65070.4	AT5G65070.4
AT2G21550	263546_at	AT2G21550.1	AT2G21550.1
AT2G21550	263546_at	AT2G21550.2	AT2G21550.2
AT4G15870	245520_at	AT4G15870.1	AT4G15870.1
AT5G17650	246440_at	AT5G17650.1	AT5G17650.1
AT3G59550	251485_at	AT3G59550.1	AT3G59550.1
AT2G18690	266017_at	AT2G18690.2	AT2G18690.2
AT2G18690	266017_at	AT2G18690.1	AT2G18690.1
AT1G70160	264701_at	AT1G70160.1	AT1G70160.1
AT5G45710	248936_at	AT5G45710.2	AT5G45710.2
AT5G45710	248936_at	AT5G45710.1	AT5G45710.1
AT5G45710	248936_at	AT5G45710.4	AT5G45710.4
AT5G45710	248936_at	AT5G45710.3	AT5G45710.3
AT2G47890	266514_at	AT2G47890.2	AT2G47890.2
AT2G47890	266514_at	AT2G47890.3	AT2G47890.3
AT2G47890	266514_at	AT2G47890.1	AT2G47890.1
AT1G31410	256483_at	AT1G31410.1	AT1G31410.1
AT3G26370	256879_at	AT3G26370.1	AT3G26370.1
AT3G26370	256879_at	AT3G26370.2	AT3G26370.2
AT1G76705		AT1G76705.1	AT1G76705.1
AT3G44960	252628_at	AT3G44960.4	AT3G44960.4
AT3G44960	252628_at	AT3G44960.3	AT3G44960.3
AT3G44960	252628_at	AT3G44960.1	AT3G44960.1
AT3G44960	252628_at	AT3G44960.5	AT3G44960.5
AT3G44960	252628_at	AT3G44960.2	AT3G44960.2
AT2G37240	265959_at	AT2G37240.1	AT2G37240.1
AT2G14050	265295_at	AT2G14050.1	AT2G14050.1
AT2G14050	265295_at	AT2G14050.2	AT2G14050.2
AT3G45740	252540_at	AT3G45740.2	AT3G45740.2
AT3G45740	252540_at	AT3G45740.1	AT3G45740.1
AT2G40600	255827_at	AT2G40600.1	AT2G40600.1
AT1G08550	264799_at	AT1G08550.3	AT1G08550.3
AT1G08550	264799_at	AT1G08550.1	AT1G08550.1
AT1G08550	264799_at	AT1G08550.2	AT1G08550.2
AT2G21300	263751_at	AT2G21300.5	AT2G21300.5
AT2G21300	263751_at	AT2G21300.1	AT2G21300.1
AT2G21300	263751_at	AT2G21300.3	AT2G21300.3
AT2G21300	263751_at	AT2G21300.4	AT2G21300.4
AT2G21300	263751_at	AT2G21300.2	AT2G21300.2
AT3G48280		AT3G48280.1	AT3G48280.1
AT1G70970		AT1G70970.1	AT1G70970.1
AT3G05350	259296_at	AT3G05350.1	AT3G05350.1
AT5G28900	246050_s_at	AT5G28900.1	AT5G28900.1
AT5G11990	250348_at	AT5G11990.1	AT5G11990.1
AT3G18550		AT3G18550.2	AT3G18550.2
AT3G18550		AT3G18550.4	AT3G18550.4
AT3G18550		AT3G18550.3	AT3G18550.3
AT3G18550		AT3G18550.1	AT3G18550.1
AT4G30220	253668_at	AT4G30220.2	AT4G30220.2
AT4G30220	253668_at	AT4G30220.1	AT4G30220.1
AT1G08320	261815_at	AT1G08320.5	AT1G08320.5
AT1G08320	261815_at	AT1G08320.2	AT1G08320.2
AT1G08320	261815_at	AT1G08320.3	AT1G08320.3
AT1G08320	261815_at	AT1G08320.4	AT1G08320.4
AT1G08320	261815_at	AT1G08320.1	AT1G08320.1
AT5G09830	250454_at	AT5G09830.1	AT5G09830.1
AT1G76450	259981_at	AT1G76450.1	AT1G76450.1
AT4G09160	255082_at	AT4G09160.3	AT4G09160.3
AT4G09160	255082_at	AT4G09160.2	AT4G09160.2
AT4G09160	255082_at	AT4G09160.1	AT4G09160.1
AT1G48880	246625_at	AT1G48880.1	AT1G48880.1
AT3G11650	259071_at	AT3G11650.1	AT3G11650.1
AT2G20140	265595_at	AT2G20140.1	AT2G20140.1
AT4G10955	254959_at	AT4G10955.1	AT4G10955.1
AT4G10955	254959_at	AT4G10955.2	AT4G10955.2
AT3G22942		AT3G22942.1	AT3G22942.1
AT3G03950	258812_at	AT3G03950.2	AT3G03950.2
AT3G03950	258812_at	AT3G03950.1	AT3G03950.1
AT3G03950	258812_at	AT3G03950.3	AT3G03950.3
AT1G12020	264385_at	AT1G12020.1	AT1G12020.1
AT5G15810	246521_at	AT5G15810.1	AT5G15810.1
AT1G01340	261027_at	AT1G01340.1	AT1G01340.1
AT1G01340	261027_at	AT1G01340.2	AT1G01340.2
AT4G01090	255605_at	AT4G01090.1	AT4G01090.1
AT3G23290	256942_at	AT3G23290.2	AT3G23290.2
AT3G23290	258288_at	AT3G23290.2	AT3G23290.2
AT5G67630	247014_at	AT5G67630.1	AT5G67630.1
AT4G01740	255563_at	AT4G01740.1	AT4G01740.1
AT3G44680	252649_at	AT3G44680.1	AT3G44680.1
AT3G44680	252633_x_at	AT3G44680.1	AT3G44680.1
AT1G21960		AT1G21960.1	AT1G21960.1
AT1G30620	263221_at	AT1G30620.5	AT1G30620.5
AT1G30620	263221_at	AT1G30620.2	AT1G30620.2
AT1G30620	263221_at	AT1G30620.4	AT1G30620.4
AT1G30620	263221_at	AT1G30620.3	AT1G30620.3
AT1G30620	263221_at	AT1G30620.6	AT1G30620.6
AT1G30620	263221_at	AT1G30620.1	AT1G30620.1
AT3G03890	259342_at	AT3G03890.1	AT3G03890.1
AT3G03890	259342_at	AT3G03890.2	AT3G03890.2
AT1G34095		AT1G34095.1	AT1G34095.1
AT3G29410	256736_at	AT3G29410.2	AT3G29410.2
AT3G29410	256736_at	AT3G29410.1	AT3G29410.1
AT3G58050	251619_at	AT3G58050.1	AT3G58050.1
AT3G58050	251619_at	AT3G58050.2	AT3G58050.2
AT5G64360	247274_at	AT5G64360.4	AT5G64360.4
