Protein.ID	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
Q4VAE3	234	22.83	25.3
Q8BQU7	305	21.79	24.04
Q9D5K1	259	24.16	27.08
Q60988	1262	21.97	23.71
Q9D0N8	159	23.83	26.46
Q9ESN3	769	24.43	26.92
Q9D495	329	22.38	23.24
Q9ER72	831	23.65	25.68
Q8VCA5	435	23.22	25.51
Q3TBT3	378	24.15	26.54
Q6P8M1	295	23.97	26.5
Q01730	277	23.36	26.04
Q91YD4	1506	24.82	27.06
P69525	1065	22.74	24.46
Q3UV71	942	24.36	26.9
Q7TN37	1213	23.85	26.1
Q9JMG3	245	22.16	23.82
Q8VBT0	278	24.24	26.28
Q8C0L0	335	22.66	24.43
O88697	305	23.63	25.34
Q61333	691	23.12	25.01
Q60769	775	23.37	24.86
Q80WC3	2878	20.82	21.87
Q923J1	1863	24.49	26.87
Q9JHN8	254	22.87	24.97
Q8K3A2	249	22.71	24.32
Q7TNL3	435	23.01	24.99
Q9JI11	487	23.22	24.98
Q9QZ23	255	23.34	25.11
Q3UU96	1719	23.02	24.84
Q9CPY0	246	23.34	25.5
Q91Z22	195	21.09	23.77
Q99P51	232	23.83	25.65
Q62193	270	22.65	24.57
O09009	332	23.45	25.48
Q8R361	645	21.28	22.62
Q8VH31	287	24.51	27.09
Q8CIK8	774	21.74	23.52
Q9EPS2	98	23.75	26.01
Q8CJ96	419	22.2	23.26
Q9ERD6	590	23.23	25.56
Q8CGE9	1381	21.63	23.33
P99028	89	22.29	23.16
Q9QYS9	341	22.59	24.34
Q9CX84	216	23.2	23.88
Q8BH73	383	24.06	25.9
O08850	181	24.93	27.37
O08849	211	24.27	26.48
Q62035	341	26.7	30.13
P17225	527	21.76	24.3
Q8BVY0	452	22.59	24.83
P80560	1001	22.38	24.01
Q99M80	1454	23.66	25.68
Q9DBS2	266	23.59	25.56
P20334	256	22.94	25.26
O88472	185	23.06	25.19
Q9CSV6	212	22	24.77
Q3USH5	945	21.38	22.53
Q9DBG7	636	22.34	24.96
Q8VDB9	592	25.72	29.22
P82348	291	22.92	25.04
P70178	719	20.02	21.57
Q62233	333	21.91	23.43
A7DTG3	377	22.42	24.23
Q9DA48	305	21.98	23.85
Q9CPQ3	142	21.87	23.54
Q64332	586	22	23.62
A7TZF0	458	26.22	28.94
Q5G5D5	617	24.16	26.53
Q7TSG5	549	21.18	22.21
Q62420	352	22.71	24.28
P57725	372	21.86	23.96
O88574	220	20.86	22.88
Q8R3P9	1054	24.48	27.03
P16043	103	24.64	26.26
P30873	391	23.96	27.08
Q8CGV2	488	24.11	26.38
Q62393	224	20.85	22.82
Q6NZA9	249	21.77	23.53
Q8K4L3	2170	22.29	23.76
O35602	342	21.73	22.81
Q64692	359	25.18	27.81
Q60611	764	22.16	23.47
Q924W7	1134	22.48	24.01
Q61327	619	25.65	28.97
O88811	523	22.01	24.02
Q9CQE2	199	23.96	26.69
Q8C0J6	512	21.03	22.34
O70146	627	22.1	23.13
Q9DA47	151	26.69	29.39
Q3UNB8	204	23.04	25.45
Q8BMD6	703	25.11	27.89
Q9CWR7	339	26.5	29.48
Q8CI59	488	24.58	27.35
Q8R0I4	213	23.85	26.96
Q3URQ0	928	23.97	26.62
P32921	481	24.11	26.49
Q810L4	492	26.09	28.84
Q3TUU5	225	24.54	27.12
Q9D9J2	266	22.53	23.55
Q9DAG4	180	25.31	26.77
Q9DA60	530	19.78	21.1
Q8VCZ2	278	27.59	30.55
Q3TTI8	308	25	26.63
Q9CXL1	157	26.53	29.8
A6X8Z9	381	21.55	22.12
Q9D1X9	158	27.08	30.3
Q8BKU8	555	25.4	28.52
Q3TYP4	173	22.08	23.9
P58021	662	26.59	29.73
Q9ET30	587	26.96	30.25
P33242	462	23.6	25.44
Q8BH24	643	26.94	30.05
P62915	316	22.37	24.68
Q2TJ95	277	23.26	24.77
Q9JIB4	396	24.01	25.95
Q8R4P4	888	24.77	27.16
Q7TQ69	1130	24.18	26.39
Q7TQ65	694	24.76	27.65
Q8BJ73	228	23.3	24.12
Q7TN60	810	24.26	26.7
Q8C428	726	25.73	28.79
Q8CFK2	676	21.39	23.2
Q9DBU6	334	21.44	21.66
A2RTL5	376	22.08	22.49
Q8K284	2101	23	24.72
Q8R2T8	520	24.29	25.82
Q04207	549	22	23.38
P40630	243	24.12	26.12
Q69ZZ6	649	21.38	22.96
Q8BH01	678	24.26	27.2
Q91WU4	631	22.31	24.39
Q78IS1	221	24.39	26.6
Q3UHI4	326	21.54	22.88
Q9D7L8	261	22.94	25.57
Q8BK08	190	24.39	26.96
Q91W52	336	24.26	27.68
Q9CR67	247	25.29	28.5
Q4FJU9	225	22.29	23.9
Q9QY73	323	23.38	25.39
Q9D850	329	26.51	29.26
Q3KQJ0	245	25.63	28.85
Q9D709	391	23.64	25.41
Q7TSH8	1360	23.64	25.86
P0DJF3	176	25.41	27.94
P49813	359	22.14	24.29
Q9JKK7	351	21.99	24.09
Q9JHJ0	352	22.05	24.41
Q505B8	171	22.19	23.15
Q3UF25	288	24.81	27.38
Q9JIQ8	490	23.61	25.95
P70302	685	22.97	24.51
Q8BW41	605	25.05	27.04
Q8VEN2	237	21.26	24.49
Q8CGA4	131	23.12	24.84
Q9R0B9	737	25.1	27.65
Q32LZ8	432	24.33	26.58
Q6PZE0	7524	16.43	18.45
Q9D3P8	147	25.4	27.8
Q9QY06	2114	23.08	24.82
Q922V4	513	23.49	25.32
Q02496	630	20.15	22.38
Q80W71	519	23.03	25.48
P51175	477	22.15	24.04
Q7TMB3	317	24.63	26.84
Q8C767	284	24.5	27.17
O70477	436	21.3	23.04
Q9DB28	169	24.02	26.36
Q68FH0	1190	21.94	23.6
Q80Y81	831	23.08	24.73
O88569	353	22.2	24.25
Q9D4Q1	377	23.46	24.14
P60603	79	23.51	26.03
Q80U40	1072	22.01	23.48
Q78WZ7	330	22.21	23.96
Q6NXI6	1469	21.23	22.83
O35291	155	24.76	27.16
D3YYI7	515	22.67	23.98
Q9ERK0	786	22.65	24.53
Q8BIV3	1105	23.53	25.93
Q9R0M6	201	23.99	26.5
Q9D4V7	236	23.31	26
Q8R4X3	992	21.83	23.45
Q9CR83	190	24.1	26.29
P29351	595	23.45	25.29
Q6GQS1	467	23.48	25.42
Q8QZZ7	175	22.7	25.33
Q9CRB6	176	22.23	25.18
O35979	143	23.76	25.08
Q64674	302	23.83	25.83
P86449	446	25.45	27.4
Q62267	153	21.94	20.23
Q9D2Z4	221	24.14	26.59
Q571K4	716	21.83	22.46
P97363	560	24.12	26.49
Q62312	592	23.81	25.84
Q9EPB5	311	24.61	26.96
Q5UBV8	252	23.21	25.47
Q7M747	112	24.58	27.47
P32972	239	23.5	26.5
P54797	276	23.5	26.09
Q99ML2	666	22.83	24.09
Q91VT8	99	22.36	23.71
Q8BX35	297	22.83	24.33
Q9JM55	345	22.11	24.39
Q91WA6	380	21.16	22.38
O35144	541	22.12	23.4
P11983	556	22.03	24.76
Q14C59	416	24.25	26.67
Q9JLC6	301	21.76	23.39
Q1JRP2	431	24.27	26.9
Q9CQN6	114	23.46	27.04
P56983	99	24.24	28.5
Q9DC40	840	22.66	24.81
Q3U132	458	22.47	24
Q91VU1	306	25.14	28.14
Q9D2P4	101	24.06	26.73
Q9Z1K8	510	24.87	28.51
Q99NB8	596	20.44	21.77
Q8BU04	425	22.53	24.4
Q3V3E1	624	23.73	25.68
Q8VCH8	506	21.74	23.12
Q9R0P9	223	22.67	24.73
Q5F293	982	21.09	22.08
Q5D1E7	596	22.53	23.64
Q8VIG0	956	20.91	22.43
Q9DBA6	568	21.63	23.46
P38640	9	19.02	19.22
Q9CR09	167	25.6	27.64
Q8CI43	207	22.01	24.02
Q9CQ19	172	23.64	25.72
Q8C170	2542	23.57	25.45
Q9D1N4	221	26.41	30.03
P35295	233	23.09	25.47
Q8CB87	973	20.82	21.65
Q8BHH2	201	23.53	26.13
P61294	208	23.24	25.74
Q9ERI6	334	22.59	25.02
Q9CQ71	121	23.67	26.07
G3XA57	512	23.29	25.28
Q8BGH4	201	24.99	27.95
Q9CWJ9	592	22.46	24.97
Q8K2J7	272	21.9	23.45
Q9D7T1	230	24.1	26.4
P18052	829	23.77	25.99
Q91W59	403	22.5	24.3
Q8CA71	197	24.2	25.78
Q6IRU2	248	20.59	21.88
Q9R0P4	181	20.53	21.63
P58774	284	20.99	22.49
O08547	215	24.33	26.93
Q504N2	544	24.95	28.38
Q8C8N2	606	24.45	26.78
Q8R0Y8	318	24.16	26.66
Q8BGF9	314	24.82	27.4
P36371	702	23.43	26.06
Q8R0C3	999	24.05	26.63
Q9QYZ3	484	24.11	25.96
Q6T707	353	26.32	28.58
C0HKC8	504	23.72	25.54
P52633	837	23.03	24.89
Q99K82	555	23.1	24.52
Q5SX79	823	20.84	21.76
Q8C7E7	338	22.11	23.79
Q64685	403	25.52	28.06
Q99JT2	416	23.11	25.38
Q9JI10	497	23.18	24.81
Q03404	129	23.63	25.16
Q7TSD4	393	22.1	23.11
Q8K4T3	418	23.73	25.66
Q3TPR7	525	25.21	27.75
P58404	760	21.48	23.19
Q8C817	491	22.47	24.76
P20352	294	23.94	26.76
P68372	445	23.23	25.22
Q9D7H3	366	22.27	24.56
Q5FW56	369	22.38	23.93
Q9D1E6	244	22.87	24.93
Q8VEA7	122	24.22	26.45
Q9D529	359	22.45	23.98
Q8BH43	497	21.47	22.24
Q91Z49	317	22.73	24.49
Q7TQN3	571	23.25	24.97
P0CL69	594	19.89	21.61
Q6ZPY5	941	21.39	22.89
Q6YND2	615	22.16	23.23
Q8BYK6	585	22.48	24.11
P48615	354	23.03	24.95
Q5DU09	608	23.53	24.28
Q8C8T8	191	21.4	23.03
Q9D479	717	22.6	23.85
Q69ZB3	406	21.7	23.08
Q8BYY4	617	24.37	27.01
Q8R121	448	24.66	27.24
Q80SY3	350	24.64	27.4
Q8BGB2	858	23.06	25.28
A2BFL2	627	23.73	26.57
Q9EQ46	310	26.1	29.47
D3YZF7	868	21.4	22.97
P70255	439	22.92	24.48
Q8R3J4	412	24.49	27.31
Q7TPW1	607	22.35	22.89
Q9CRB8	166	23.78	26.25
O35955	273	21.51	23.39
Q91WW2	313	26.93	30.65
A3KGF7	1181	23.35	25.13
Q91XS1	1190	23.07	24.66
Q9CQ18	166	22.07	23.5
Q9EPQ2	1331	22.15	23.2
Q91XF4	347	22.8	24.51
Q3URD2	117	22.49	25.41
P58801	539	23.42	25.25
Q8VEA8	199	24.19	26.93
P62965	137	23.62	25.72
Q8R1Q9	323	21.89	24.53
P70270	747	23.42	25.3
Q9Z0F6	389	22.34	24.4
Q924W9	156	24.44	27.24
O08602	253	24.34	26.91
Q8C570	368	23.96	26.12
P34022	203	22.9	24.07
Q8BKS9	647	23.61	26.05
Q9QYF1	316	24.47	27.33
P70303	586	23.84	26.42
Q62136	1176	23.31	24.88
Q64487	1912	23.45	25.31
Q8BWL5	431	22.16	23.69
G5E8Z2	850	20.8	23.05
Q99J19	55	25.13	28.16
Q80ZE3	688	23.53	25.53
Q6U7R4	343	22.75	25.18
Q8K1H1	1086	23.56	25.78
Q9CQR2	83	22.37	24.8
P58681	1050	25	27.93
Q6X6Z7	490	23.14	24.84
Q8BH18	514	27.32	30.32
Q5K6N0	675	24.9	27.26
Q9WTS6	2715	23.33	25.58
Q9CY34	185	23.88	26.19
Q60596	631	21.47	22.73
Q3TNA1	551	22.82	25.1
P46686	562	22.36	23.7
Q3ZK22	780	22.76	24.57
Q5U5Q9	727	21.45	22.56
A2A5K6	1337	21.53	22.45
Q80YY7	953	22.39	24.23
Q9D4B2	624	22.84	24.81
Q9WU02	421	24.28	26.95
Q6KAQ7	910	21.77	22.93
Q8C190	649	21.81	23.43
Q920Q4	839	23.85	26.04
Q6PDG8	556	22.81	24.58
Q6A037	893	22.32	24.04
Q99LL5	501	22.4	24.49
Q3UQ28	1475	23.21	25.03
Q9QZB1	239	22.4	23.39
O54829	469	24.58	26.36
Q7TPD6	673	21.62	23.54
P42669	321	21.55	23.17
Q8BQC8	711	24.18	25.5
Q99P87	114	23.85	26.67
Q61115	1434	23.72	25.89
Q6PDZ2	836	22.81	24.18
Q8QZV4	488	23.34	25.02
P42232	786	23.64	25.45
Q8BRG8	561	23.96	26.26
Q9Z0E8	557	25.59	28.81
Q8K299	491	22.09	24.01
P70347	448	22.53	24.18
Q9JKD3	235	26.2	29.36
O35488	620	24.76	27.5
Q9R155	780	23.62	26.69
Q69ZR9	1610	23	25.23
Q8C0X8	640	23.34	24.89
Q9CQQ0	97	24.33	26.41
Q8BLA8	1125	24.69	27.35
P61264	288	22.51	24.21
Q03347	451	21.85	23.16
Q9Z1A9	1134	23.99	26
B1AVH7	922	22.89	24.41
Q9CWX4	377	23.28	24.8
O70306	602	22.38	24.02
P51865	171	23.94	26.22
Q6P3Y5	742	22.9	24.77
Q99LB0	328	22.91	24.07
Q80VL1	560	22.39	24.32
Q673H1	205	20.76	20.64
Q9Z2C6	260	26.53	29.61
P21126	157	22.7	24.96
Q8BW70	1042	23.25	25.57
Q6P902	515	21.25	22.61
Q715T0	586	23.7	25.8
Q8C2S0	711	23.6	25.39
P12242	307	23.26	26.17
Q5DTV4	884	22.73	24.21
Q69ZB8	1166	21.09	22.46
Q5DU37	2529	22.82	24.56
Q9D565	1086	24.42	26.8
Q9CWQ2	152	22.36	25.06
Q07230	614	22.9	23.77
Q62187	859	22.68	24.24
Q8BGV4	512	23.24	25.33
Q9Z2P8	102	22.83	25.51
O35188	395	21.36	22.9
Q91ZD4	521	24.31	26.44
O08705	362	24.81	28.35
Q62445	782	19.59	20.9
Q9Z1W5	66	23.91	25.95
P07759	418	23.52	26.16
B2RV46	347	23.73	24.86
Q80ZX8	901	21.98	23.79
E9Q5F9	2537	21.99	23.3
Q60598	546	22.49	23.89
Q61420	336	24.18	28.12
Q9DBE9	838	22.63	24.32
Q5GIG6	834	23.39	25.58
P05480	541	23.47	25.45
Q8BGK5	408	24.91	28.06
P13412	182	22.92	24.14
Q9JM73	504	19.81	21.68
A0A140LHV9	49	27.42	30.57
Q9EPK6	465	22.43	24.65
Q8BGD6	560	26.16	29.55
Q9Z1N6	351	24.1	25.66
Q8K0H1	567	24.18	27.37
Q9QYJ1	336	24.12	25.47
Q3TAA7	1072	22.24	23.99
Q9R0P6	179	25.7	28.54
Q9D662	767	23.81	25.8
Q49B93	619	25.41	28.9
Q8BPE4	311	24.56	26.86
Q6PIU9	354	20.61	22.04
Q2QI47	5193	23.16	25.04
Q0HA38	1315	23.85	26.05
Q811S7	540	22.74	24.52
Q8R5H1	981	23.79	26.16
Q62302	196	27.94	32.01
Q99PL6	442	22.46	23.94
Q811H0	420	23.13	24.36
P70406	309	22.98	25.6
Q99N42	471	20.98	22.8
Q8CII0	484	22.1	23.88
Q3UPF5	946	23.3	24.87
Q8R1J3	271	22.64	24.31
Q9D270	265	28.05	30.25
P38644	8	21.34	21.25
Q6IR37	284	24.28	27.02
A0PK84	263	25.23	28.3
Q9JHA8	891	22.56	24.38
Q8BLB0	497	23.66	24.1
Q9DB43	310	22.62	24.26
P47750	764	24.65	27.7
Q80V23	272	23.71	24.87
Q810A1	556	23.14	24.17
B2RR83	1445	23.08	25.1
Q9QY33	253	24.78	28.17
P20152	466	21.58	23.12
Q91Z38	292	21.66	22.93
P51863	351	24.78	27.59
Q9CQ80	176	25.38	27.33
Q9JME9	285	21.01	22.73
Q8BUB4	400	24.06	25.78
Q6NZQ6	180	23.87	25.03
Q6GQR8	522	24	25.18
Q3TXZ1	239	22.89	22.54
Q9JKN1	378	24.99	27.55
Q9CRZ8	162	26.95	30.52
Q6ZQB6	1129	23.49	25.5
Q9CQ88	210	24.39	27.96
Q9QYS1	364	23.8	25.83
Q8VD72	515	23.94	26.05
Q9EQ47	310	26.36	29.79
Q91WL8	414	23.58	25.63
Q9EQ44	310	26.22	29.73
Q80TB8	417	22.81	25.24
Q810I0	261	21.33	21.93
Q5HZG4	932	22.56	23.7
Q69ZS6	727	25.2	28.17
P56844	120	25.74	27.25
Q99KW9	610	23.98	26.81
Q9CZX8	145	22.99	24.98
Q9CXE6	349	22.58	24.62
Q9QZQ3	123	22.32	23.83
P06324	132	26.09	29.11
Q8JZU2	311	23.49	25.98
G5E8B9	1050	22.99	24.34
Q0P5X5	716	22.05	23.67
Q9D572	484	22.41	23.75
Q9WUP7	329	23.58	25.41
Q6ZQM8	531	25.03	27.65
Q8BWQ1	534	25.73	28.42
Q65Z40	1200	22.06	24.1
Q99LH4	468	23.39	24
Q9JHY3	85	23.41	25.43
Q505G8	1078	21.95	23.53
Q9JHH2	256	26	28.91
Q9JHE7	317	20.05	20.83
O88286	1684	22.28	23.38
Q80W31	679	24.31	25.67
Q8R060	589	23.55	25.8
Q80UG8	1193	23.04	25.03
P63024	103	23.18	25.74
Q9Z1J3	459	22.72	24.59
Q9CQL7	125	21.36	21.8
Q9R1S7	1498	23.67	26.13
Q3UM45	361	22.25	24.69
Q8BJ56	486	22.78	24.72
Q9DAT5	417	24.28	26.56
Q8VEE0	228	22.94	25.02
Q7TND5	349	24.06	25.63
Q9DCU6	294	23.86	25.65
Q5SVL6	712	22.38	24.22
Q68EF0	428	22.17	24.09
Q91YT2	192	22.77	24.57
P35282	222	22.27	24.71
Q6PDH4	491	21.7	23.38
Q2WG77	201	20.19	20.87
O35435	395	21.95	24.25
P68040	317	23.9	26.49
P35293	206	23.15	25.89
Q61550	635	22.33	23.73
P70388	1312	22.74	24.36
P62245	130	24.89	27.45
Q08297	339	22.22	24.38
Q7TT28	1213	21.36	22.85
O08586	403	24.98	27.3
P19253	203	25.15	27.53
Q60990	380	22.69	23.83
Q9QX98	324	21.64	22.99
Q4VGL6	1130	22.14	23.34
Q9JHG6	251	23.22	24.76
Q8C779	850	24.15	26.11
Q9JI58	249	24.17	26.83
Q8BTU7	377	22.51	24.17
Q9QZD5	621	23.22	25.3
Q9JJT0	373	23.1	25.91
Q05186	325	23.89	25.82
Q8BTF8	293	22.37	24.35
Q8BJU9	373	22.86	24.33
Q8C796	523	22.15	23.05
Q6NS46	1862	23.02	25.22
Q6PGA0	451	22.2	23.24
Q9D9A7	131	25.16	27.02
Q9WTJ5	148	26.32	28.6
Q9WUP1	147	25.46	27.7
Q80U78	1189	21.36	23.14
P54726	363	21.22	22.38
Q99JI6	184	22.86	25.4
Q60841	3461	24.23	26.45
Q7TQ32	420	21.91	23.7
Q9QZB0	210	23.19	24.64
P0DJE0	76	26.2	27.34
Q8R367	199	23.36	25.39
Q00915	135	25.11	27.37
Q3V2A7	592	22.04	23.24
Q91Z31	531	22.21	24.95
Q791V5	303	24.37	27.29
Q9Z224	88	22.64	24.33
Q9WVS4	420	24.48	26.46
Q8VI63	235	24.98	27.5
O35379	1528	24.43	27.32
A2ABU4	1439	23.17	24.95
Q6P6M5	241	24.38	26.87
P86048	214	25.09	26.88
Q8VC70	383	21.68	23.81
O08800	374	23.92	26.49
Q3UH99	525	22.52	23.92
P50114	92	24.02	25.86
Q9CPS8	106	22.55	24.1
A2A8U2	664	22.74	24.5
P58771	284	21.01	22.7
Q99PL8	488	25.64	28.87
Q7TQI0	226	23.84	26.64
Q9Z2J0	605	24.26	27.13
Q62273	739	24.09	27.15
Q9Z1Q9	1263	23.48	25.29
Q6IS41	310	23.47	25.72
P59096	233	24.66	27.15
Q99PE5	60	24.86	28
Q6P5D8	2007	23.5	25.8
Q5RKS2	75	26.34	30.44
Q8BRF7	639	23.46	26.07
Q8CJ67	570	22.06	23.92
Q8BTY8	684	22.76	25.08
Q5DQR4	1185	23.49	25.63
Q3V0J1	427	22.43	24.13
P47226	423	24.32	26.3
O55183	247	22.2	24.26
O88452	296	22.18	23.41
Q3TBN1	314	24.43	27.05
Q4JK59	1912	21.88	22.89
Q5F285	113	23.46	27.01
Q5SSF7	391	24.03	26.45
Q9DAM7	115	20.4	23
Q8BZB3	538	22.18	24.21
Q8R239	342	22.82	24.69
Q8BWB6	489	25.66	28.61
Q8BJ83	261	24.09	26.6
Q7M6U3	1450	22.42	24.17
Q3TMP8	298	26.26	29.2
Q9DAV9	292	25.15	27.9
Q9CRG1	565	25	28.01
Q9D8N3	241	25.95	29.65
Q8R4I4	468	21.85	23.57
Q921L3	188	24.39	27.38
P0C1V4	183	23.85	26.83
B7ZWI3	162	24.34	26.13
Q91X86	226	22.35	24.73
Q91WQ3	528	23.45	26
P14206	295	23.29	24.91
Q9JLH8	345	21.96	23.43
P83093	746	22.74	24.14
Q8K1T0	453	23.82	26.29
Q8VCK7	134	23.55	26.21
Q8BYM8	551	23.44	25.38
Q62209	993	22.63	24.59
Q60864	543	23.03	24.95
Q9ER04	455	23.31	24.96
Q8BIK6	829	24.29	26.67
Q3V0Q7	336	23.74	25.81
Q5U405	543	23.11	24.78
Q56A06	836	24.79	27.83
Q9WTK7	436	23.5	25.42
Q9D710	295	25.07	27.81
Q8BXZ1	456	24.38	27.1
Q9JJH7	1158	24.38	26.68
Q9WU72	309	22.83	24.88
Q8CIR4	2028	24.65	26.77
Q8BJM7	721	24.12	26.15
Q8BG71	446	23.67	25.2
Q8BSA9	257	22.46	24.44
Q99KH8	431	23.04	25.35
Q99MW1	1018	23.2	25.73
Q8BYR1	686	23.06	24.98
Q8BWT1	397	21.71	24.27
Q9WTR1	756	24.77	27.35
Q99N87	432	23.51	25.19
Q6P3A1	279	21.55	22.72
P0DP99	47	25.26	28.57
Q3UKC1	814	22.86	24.57
Q8K2X3	378	23.82	26.04
Q8JZM0	345	24.26	26.67
Q60989	496	23.62	25.54
E9Q9U0	468	22.77	24.4
Q7M764	540	22.88	24.4
Q8CDJ8	730	23.51	25.2
Q8C9V1	444	23.53	24.82
Q8BGW0	636	24.12	26.15
Q8BZ60	895	22.65	24.22
Q9CU24	569	23.81	25.77
O35680	139	23.52	25.11
Q6NXN1	152	20.64	20.92
Q8VC04	261	23.52	25.61
Q80W22	483	23.61	25.71
P10856	55	23.7	25.01
Q80VP8	260	23.65	26.27
Q9DC71	258	23.08	24.8
Q9CPX7	135	23.95	25.59
Q9CX30	311	24.4	27.53
P05213	451	23.45	25.58
Q9D883	239	23.37	24.3
Q8BG09	407	25.17	28.13
Q9DCS1	244	24.41	27.48
Q9CY16	186	22.04	23.81
O35536	230	24.73	27.11
B9EJI9	371	25.35	27.8
Q8JZM6	147	24.01	25.93
Q5SX39	1939	22.59	24.4
Q9D2P8	170	23.1	23
Q9D0Y8	121	22.98	24.07
P61014	52	25.4	28.4
Q8BSF4	406	24.73	26.78
Q9CZ83	127	24.45	25.28
Q80TL0	749	22.34	23.56
O35160	302	21.42	22.76
P97474	317	22.33	24.11
Q9QUG2	852	22.33	24.25
Q80U04	707	20.81	21.84
O35904	1043	24.51	26.65
Q9ERS4	297	22.84	24.32
Q8R0J1	787	22.65	23.58
Q9D8C8	260	20.97	21.55
D3Z0R2	411	24.19	26.59
Q80TI1	1356	22.73	24.35
Q68FM6	823	22.71	24.98
Q3UH06	1700	21.32	22.58
Q8C0Q9	814	23.92	26.12
Q0PD08	215	22.39	24.44
P59279	216	23.41	25.59
Q9ERU9	3053	22.94	25.09
Q9ES56	219	24.01	26.93
Q61466	515	23.05	24.46
Q6IMB1	242	23.38	25.57
Q5IBH6	268	24.39	25.94
Q78YZ6	125	21.25	23.4
Q9DA37	478	25.99	28.5
Q9ER38	385	24.59	26.58
Q8C9X1	147	23.11	25.55
Q925E1	517	23.63	25.99
Q91V04	374	26.32	29.53
O70493	165	23.84	25.44
Q9Z315	806	21.31	22.52
Q8R127	429	23.86	26.46
Q8BVL3	470	22.77	24.8
Q3ZT31	840	23.97	26.17
Q9D3S3	818	22.21	23.89
Q3UHD6	539	23.79	25.72
Q4VAA7	574	24	25.77
P39429	501	23.14	25.07
P17433	272	24.35	25.69
Q9JK88	405	24.17	27.06
Q99M85	348	21.11	22.9
Q6P8X1	406	23.35	25.87
Q91VH2	595	23.37	25.47
Q921W8	192	24.44	27.05
Q6P7W2	704	22.39	24.21
Q91YY5	670	24.97	28.14
Q8VHC3	145	22.71	24.47
O35718	225	22.84	24.69
Q8K093	1025	24.93	27.33
P08228	154	20.81	22.36
Q8R0K2	507	23.06	25.17
Q8R2Q0	587	22.45	24.2
Q9ESN2	488	23.95	25.54
Q3UWZ0	467	23.75	25.41
O70560	76	21.8	19.76
P59110	640	23.19	24.89
Q9DA97	430	23.67	25.84
Q8VDQ8	389	23.08	25.14
Q8BTY2	1034	24.38	26.88
Q9D6X5	460	24.37	27.71
Q920D7	104	21.95	25.35
Q9R0M3	464	23.55	25.82
Q921F2	414	22.12	24.25
Q7TPG6	132	23.22	24.98
Q7TNB8	1349	22.66	24.37
P97430	131	23.38	25.11
Q01405	765	23.91	25.86
P22091	329	20.26	21.4
Q9DBQ9	907	23.25	25.76
Q80VR3	304	25.96	28.31
Q14CH7	980	22.19	23.91
Q9DA21	347	22.14	23.82
P21958	724	23.53	26.36
Q6ZPY2	1017	22.64	24.47
Q8C838	173	22.02	24.4
Q99NH7	744	23.87	26.98
O70576	1240	23.57	25.57
Q9WVL2	923	23.58	25.46
Q5DTT3	2382	22.31	24.4
Q03517	617	21.94	23.28
Q8C0N0	497	23.65	25.48
Q8C9H6	844	23.8	26.03
Q99J36	350	21.92	23.73
Q8C0Y1	237	21.78	23.57
Q9ES97	964	21.5	23.73
Q60770	592	24.12	26.68
Q80U22	1514	21.13	22.14
Q8BM85	762	24.55	26.99
Q8K245	698	22.56	24.56
Q8BHJ5	514	22.52	24.84
Q9QXE7	527	22.39	24.6
Q9R099	442	23.43	25.42
Q61371	824	22.91	25.28
O88728	134	23.5	26.28
Q04997	366	22.94	24.34
Q8BGA3	515	24.93	27.49
Q9QXK8	174	22.77	24.4
Q8CHP6	981	20.59	21.47
Q8K2W6	296	22.92	24.67
Q8VHR5	594	21.3	22.53
Q8CIW5	685	23.49	25.45
Q9D7Z3	254	22.02	23.5
Q9JHK0	228	23.13	25.72
Q80SY5	542	22.49	22.76
P28656	391	22.91	24.54
Q9JHI8	578	25.93	28.8
P04925	254	24.51	26.33
Q571H0	2274	23.74	26.29
Q91WC7	383	24.86	28.45
D3YYU8	1804	22.08	23.37
Q9WUE4	380	24.24	26.51
Q99LC9	981	21.5	23.33
P97300	397	22.97	24.99
P35454	125	20.79	22.63
Q64669	274	24.79	27.39
B9EJ86	889	23.68	25.93
Q8R0G9	1155	22.89	25.22
Q9JHB2	309	25.63	29.55
Q9CR78	275	24.12	25.31
Q9CZR2	740	24.03	26.58
Q91YU3	345	23.28	24.31
B1AS42	316	24.4	26.59
O35593	310	23.42	25.64
Q62425	82	25.37	28.34
O35683	70	26.29	28.89
Q91X97	193	24.42	26.69
Q9CPT3	248	23.42	25.73
Q9CQ91	84	24.98	27.65
Q8VCQ3	287	22.16	23.42
Q6PB75	542	23.07	25.11
Q810J1	475	23.65	26.35
Q8VEM8	357	24.7	27.31
Q9JLB9	549	23.45	25.92
Q921B4	824	23	24.21
Q6R2P8	329	23.76	25.26
Q5SSW2	1843	24.57	26.97
Q8BHL8	271	22.56	24.23
Q8CBD1	1161	21.29	23.14
Q9R0G8	1455	22.75	24.15
Q8C0Q4	628	23.26	25.12
Q9JL19	2067	20.18	20.95
Q80XL7	396	25.52	27.38
Q8C4W3	162	22	23.31
Q7TSC3	627	23.5	25.1
Q8C567	325	25.03	27.36
O08789	591	21.15	21.5
Q8BLU2	248	24.2	26.97
Q8BTP3	270	23.24	25.9
Q8C985	567	22.68	24.67
Q9R0Q9	247	23.86	27.51
P97798	1493	22.38	24.25
Q9CQL0	218	23.55	26.12
P19258	176	25.75	28.62
Q9CQ45	171	23.19	25.32
P18155	350	22.29	24.41
Q3URQ7	372	22.36	23.84
