Protein.Name	Gene.Name	Uniprot.ID	Pvalue.protein	FDR.protein
Cordon-bleu protein-like 1	Cobll1	E9QPU9;Q3UMF0;B1AZ14;Q3UMF0-2;B1AZ15;D3Z6S2;Q3UMF0-4;Q3UMF0-3;B1AZ20;B1AZ25	0.144279559	0.556340105
Protein-L-isoaspartate O-methyltransferase;Protein-L-isoaspartate(D-aspartate) O-methyltransferase	Pcmt1	E0CYV0;E9PWE0;F7D432;P23506-2;P23506;F6V9F1;F6TXE3	0.143366853	0.556340105
Pleckstrin homology domain-containing family A member 6	Plekha6	Q7TQG1;F6WVT1;E9PX43;E9PVV7	0.143916279	0.556340105
TraB domain-containing protein	Trabd	Q99JY4;E9Q8R5;E9Q7A5	0.14432695	0.556340105
Proteasome subunit beta type-5	Psmb5	O55234	0.14295825	0.556340105
Transketolase	Tkt	P40142	0.144713929	0.556340105
Calpastatin	Cast	P51125;P51125-6;P51125-2;Q8CE80;P51125-3;P51125-7;Q921U7;Q8CE04;P51125-4;P51125-5	0.144561025	0.556340105
26S protease regulatory subunit 8	Psmc5	P62196;E9Q0L5	0.143451027	0.556340105
Glucose-6-phosphate 1-dehydrogenase X;Glucose-6-phosphate 1-dehydrogenase	G6pdx	Q00612;A3KG36;G3UWD6;P97324	0.143486664	0.556340105
Fibrinogen gamma chain	Fgg	Q3UER8;Q8VCM7	0.143738806	0.556340105
Spartin	Spg20	Q8R1X6;D3Z3F8;Q8R1X6-2;D3Z2D6;D3Z1M5	0.032073505	0.556633159
	Lgals3bp	F6VRP8	0.036756505	0.556633159
	Ank3	G5E8K5;G5E8K3;G5E8K2;G5E8C5;G5E8K4;G3X971;Q8C8R3-3;G3X9A5	0.038716719	0.556633159
ATP-binding cassette sub-family A member 1	Abca1	P41233	0.033963375	0.556633159
Threonine--tRNA ligase, mitochondrial	Tars2	Q3UQ84;Q922A3;E9Q7H6;Q3TP97	0.028278705	0.556633159
UDP-glucuronosyltransferase 1-9	Ugt1a9;Ugt1a10	Q62452;E9PXN7	0.033012727	0.556633159
E3 ubiquitin-protein ligase TRIM56	Trim56	Q80VI1;D3YVX5	0.040259631	0.556633159
Protein XRP2	Rp2	Q9EPK2-2;Q9EPK2;Q9EPK2-3;Q9EPK2-4	0.039546241	0.556633159
Eukaryotic translation initiation factor 4E	Eif4e	P63073	0.145354951	0.557193979
Periodic tryptophan protein 2 homolog	Pwp2	Q8BU03;E9PUI2	0.032149328	0.558258619
C-reactive protein	Crp	E9PZ20;P14847	0.032207228	0.558258619
Bromodomain-containing protein 4	Brd4	Q3UH70;B0V2V7;Q9ESU6;B0V2V8;Q9ESU6-2;B0V2V6;D6RGP2	0.055519835	0.561685335
NEDD8-activating enzyme E1 regulatory subunit	Nae1	Q8VBW6;E0CZE0;Q3TS59	0.057475675	0.561685335
Short-chain dehydrogenase/reductase 3	Dhrs3	O88876;G5E8W9;O88876-2;B1ARS9	0.0529669	0.561685335
Integrin beta-3	Itgb3	O54890	0.051355164	0.561685335
Protein S100-A10	S100a10	P08207	0.04656385	0.561685335
Paladin	Pald	P70261	0.059801442	0.561685335
F-box-like/WD repeat-containing protein TBL1XR1	Tbl1xr1	Q8BHJ5	0.054103085	0.561685335
	Ctnna2	Q8BS72	0.05071355	0.561685335
Optineurin	Optn	Q8K3K8	0.061820713	0.561685335
Zinc finger protein 622	Znf622	Q91VY9	0.060635283	0.561685335
Solute carrier organic anion transporter family member 1B2	Slco1b2	Q9JJL3-2;Q9JJL3	0.048275771	0.561685335
Estradiol 17-beta-dehydrogenase 11	Hsd17b11	Q9EQ06;Q9EQ06-2	0.146844653	0.562130219
	Srp72	F8VQC1;E9Q740	0.148227737	0.563135868
26S proteasome non-ATPase regulatory subunit 7	Psmd7	P26516	0.148523797	0.563135868
Histidine triad nucleotide-binding protein 1	Hint1	P70349;B0R1E3	0.147772451	0.563135868
Charged multivesicular body protein 7	Chmp7	Q8R1T1;Q8R1T1-2	0.148361508	0.563135868
WW domain-binding protein 11	Wbp11	Q923D5	0.147442575	0.563135868
Centromere protein V	Cenpv	Q9CXS4;Q9CXS4-2;F6SS03	0.148275616	0.563135868
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	Pik3cb	Q8BTI9	0.090119124	0.563542587
Oligosaccharyltransferase complex subunit OSTC	Ostc	Q78XF5	0.149120481	0.563861819
Cysteine-rich with EGF-like domain protein 2	Creld2	Q9CYA0	0.149056135	0.563861819
Cingulin	Cgn	E9QMC1;D3YUW7;P59242;P59242-2;E9Q611	0.150202197	0.564525838
Cytochrome P450 1A2	Cyp1a2	P00186;P00184	0.150452685	0.564525838
Glutathione S-transferase Mu 3	Gstm3	P19639	0.150513177	0.564525838
Far upstream element-binding protein 1	Fubp1	Q3TUE1;Q91WJ8-2;Q91WJ8	0.149567606	0.564525838
TBC1 domain family member 9B	Tbc1d9b	Q5SVR0;Q5SVR0-2;Q3UYK3;Q3UYK3-2;E9Q645	0.150481866	0.564525838
Polyribonucleotide nucleotidyltransferase 1, mitochondrial	Pnpt1	Q8K1R3;Q8K1R3-2	0.150078696	0.564525838
Cancer-related nucleoside-triphosphatase homolog	Ntpcr	Q9CQA9;D3YXL1;D3Z2W9	0.090461166	0.56455152
	Dennd4c	A2AJX5;A6H8H2;E9Q449;F6WXD7	0.15115857	0.56466349
Prelamin-A/C;Lamin-A/C	Lmna	P48678;P48678-2;P48678-3;D3YUF7	0.151069781	0.56466349
V-type proton ATPase subunit H	Atp6v1h	Q8BVE3	0.150788101	0.56466349
Aminopeptidase N	Anpep	P97449;Q3TB69	0.151669247	0.564766479
CCA tRNA nucleotidyltransferase 1, mitochondrial	Trnt1	Q8K1J6;Q8K1J6-2	0.151474125	0.564766479
Coronin-7	Coro7	Q9D2V7;E9PYU1;G3X9L5	0.151794943	0.564766479
Elongation factor 2	Eef2	P58252	0.152014508	0.564828272
Cystathionine gamma-lyase	Cth	Q8VCN5	0.152320928	0.56521219
Multidrug resistance protein 3	Abcb4	P21440;B5X0E4;F6SR33	0.090775816	0.565373763
	Trip12	G5E870	0.071664171	0.565754024
Ig gamma-1 chain C region, membrane-bound form;Ig gamma-1 chain C region secreted form	Ighg1	P01869;P01868	0.075181932	0.565754024
FCH and double SH3 domains protein 2	Fchsd2	Q3USJ8-2;Q3USJ8;Q3USJ8-3	0.070971985	0.565754024
	Chchd10	Q7TNL9	0.076193945	0.565754024
Interferon-induced helicase C domain-containing protein 1	Ifih1	Q8R5F7;Q8R5F7-2	0.075969706	0.565754024
WW domain-containing adapter protein with coiled-coil	Wac	Q924H7;Q924H7-2;E9Q5D5;Q924H7-3;E9PZH6;F7A7S5;E9Q020;E9Q4Y9;F6Z247;F6R357	0.076134314	0.565754024
GRIP and coiled-coil domain-containing protein 1	Gcc1	Q9D4H2;F6VDD7	0.078280431	0.565754024
LDLR chaperone MESD	Mesdc2	Q9ERE7;D3YVR4	0.077397179	0.565754024
Ragulator complex protein LAMTOR2	Lamtor2	Q9JHS3;D3YTS4	0.069205871	0.565754024
Endoplasmin	Hsp90b1	P08113;F7C312	0.153197896	0.56620152
60S ribosomal protein L8	Rpl8	P62918	0.153193136	0.56620152
Probable N-acetyltransferase CML2	Cml2	Q8CHQ9	0.153084584	0.56620152
Cystatin-B	Cstb	Q62426	0.153675579	0.567213709
Splicing factor 3B subunit 1	Sf3b1	G5E866;Q99NB9	0.154111519	0.567827756
Enoyl-CoA hydratase, mitochondrial	Echs1	Q8BH95;F6T930	0.154250012	0.567827756
POU domain, class 2, transcription factor 1	Pou2f1	P25425-10;P25425-12;F8VQL7;P25425;E9Q6Z8;P25425-5;P25425-2;P25425-6;P25425-3;P25425-8;P25425-11;P25425-9;P25425-7;P25425-4;E9QPD1;Q7TSC9	0.140942619	0.568804141
General transcription factor IIF subunit 1	Gtf2f1	Q3THK3;E9Q7N7	0.13604785	0.568804141
Elongation factor G, mitochondrial	Gfm1	Q8K0D5;E0CXN8	0.155499959	0.571672901
Gap junction beta-1 protein	Gjb1	P28230	0.15579352	0.571996525
Aspartate--tRNA ligase, mitochondrial	Dars2	Q8BIP0	0.115432165	0.572543538
Inositol monophosphatase 2	Impa2	Q91UZ5	0.110876852	0.572543538
Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	Ankrd28	Q505D1	0.156450998	0.572898852
Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase	Hadha	Q8BMS1	0.156752654	0.573249193
Protein RCC2	Rcc2	Q8BK67;A2AWQ2	0.157495128	0.575208584
Transmembrane and coiled-coil domain-containing protein 7	Tmco7	Q8C3S2;Q8C3S2-3;Q8C3S2-2	0.049694504	0.578263319
Pentatricopeptide repeat-containing protein 3, mitochondrial	Ptcd3	Q14C51	0.158749467	0.579029838
28S ribosomal protein S9, mitochondrial	Mrps9	Q9D7N3;Q3UMV5;F6QIZ3	0.159033136	0.579305258
Mitogen-activated protein kinase 3	Mapk3	Q63844;D3Z3G6;D3Z6D8	0.159263996	0.579387844
Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial	Dhtkd1	A2ATU0	0.160385275	0.582057075
Serine/threonine-protein phosphatase 6 regulatory subunit 3	Ppp6r3	G5E8R4;Q922D4;Q922D4-2;Q922D4-3;Q922D4-4	0.160834312	0.582057075
Rapamycin-insensitive companion of mTOR	Rictor	Q6QI06;Q6QI06-2;Q0VAV3	0.160833082	0.582057075
Ubiquitin-like-conjugating enzyme ATG3	Atg3	Q9CPX6	0.160798107	0.582057075
Echinoderm microtubule-associated protein-like 4	Eml4	F8WJ93;Q3UMY5;Q3UMY5-3;Q3UMY5-2;Q3UMY5-4	0.161809378	0.582760236
Glutathione peroxidase 1	Gpx1	P11352	0.16249441	0.582760236
Chromobox protein homolog 3	Cbx3	P23198;Q9DCC5;D3YV86;Q9CYJ8;Q7TPM0;D3Z313;D3Z1A9	0.162259885	0.582760236
Calponin-2	Cnn2	Q08093;D3Z7R6	0.16231168	0.582760236
Serum paraoxonase/lactonase 3	Pon3	Q62087;D6RJ12	0.161687987	0.582760236
Beta,beta-carotene 9,10-oxygenase	Bco2	Q99NF1	0.161618319	0.582760236
Stress-induced-phosphoprotein 1	Stip1	Q60864	0.162722567	0.582827418
Group XIIB secretory phospholipase A2-like protein	Pla2g12b	Q8VC81;Q99P27;F6UTM6	0.162952	0.582898992
Echinoderm microtubule-associated protein-like 3	Eml3	Q8VC03	0.110394959	0.583680083
LIM and senescent cell antigen-like-containing domain protein 2	Lims2	Q91XD2	0.108251901	0.583680083
Retinoic acid receptor responder protein 2	Rarres2	Q9DD06	0.005900135	0.584113365
Pumilio homolog 2	Pum2	Q80U58;Q3UR91;Q80U58-2;Q3TQ29;Q80U58-3;E9PW51;F6YD01;E9Q4Q6;E9Q765	0.12257292	0.584578542
RNMT-activating mini protein	Fam103a1;Gm10767	Q9CQY2;Q3TQP0;D3YZS0	0.024282291	0.586822033
MOSC domain-containing protein 1, mitochondrial	Marc1;Mosc1	Q9CW42;D3YZZ3	0.164338553	0.587104227
Annexin A5	Anxa5	P48036	0.165358009	0.588113771
Mesencephalic astrocyte-derived neurotrophic factor	Manf	Q3TMX5;Q80ZP8;Q9CXI5;E0CXA8;F6T4L3;F6USD5;F7C1S6	0.165466433	0.588113771
Mannose-P-dolichol utilization defect 1 protein	Mpdu1	Q8R0J2;Q9R0Q9;E9PWT5;Q5F2B1;E9PVP3;F6XX36;F6ZGG4	0.165207999	0.588113771
Twinfilin-1	Twf1	Q91YR1;D3Z2H0	0.164907943	0.588113771
Rho-related GTP-binding protein RhoC	Rhoc	Q62159	0.11440019	0.588975991
Exportin-5	Xpo5	Q924C1	0.113949874	0.588975991
Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2	Ube2d3;Ube2d2	P61079;P62838;Q6ZWY6	0.166627962	0.591486758
Cell division control protein 42 homolog	Cdc42	P60766;Q3UL78;Q8R527;Q9ER71;Q9ER71-2;D3YX61;F2Z463;D3Z3L1;G3UZM2	0.167166429	0.591888259
60S ribosomal protein L35	Rpl35;Gm10269	Q6ZWV7;G3UWD7;F6XS56	0.167021511	0.591888259
Multivesicular body subunit 12A	Fam125a	Q78HU3	0.116406078	0.591967494
RNA-binding protein FUS	Fus	P56959;Q8CFQ9;G3UXT7;Q91VQ2;G3UZD2	0.168121064	0.592254331
Tetratricopeptide repeat protein 36	Ttc36	Q8VBW8	0.167733557	0.592254331
Glyoxalase domain-containing protein 4	Glod4	Q9CPV4;Q9CPV4-2;Q9CPV4-3;E9Q197;F6ZTG3;F7BB55;E9Q2R6;E9Q055	0.167958614	0.592254331
Arginine--tRNA ligase, cytoplasmic	Rars	Q9D0I9	0.168017568	0.592254331
Nucleolar transcription factor 1	Ubtf	P25976;A2AWT5	0.16853088	0.592778432
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1	Plch1	Q4KWH5;E9Q3I7;Q4KWH5-2;Q4KWH5-3;Q4KWH5-4;E0CY62;Q4KWH5-5;E0CZ95;E0CY47	0.169973837	0.592778432
Transformer-2 protein homolog beta	Tra2b	P62996;F8WJG3	0.169746652	0.592778432
Phenylalanine-4-hydroxylase	Pah	P16331;D3Z270;F6YTR5;D3YZ73	0.169208792	0.592778432
Ras GTPase-activating-like protein IQGAP2	Iqgap2	Q3UQ44;F6VQF4;Q3UQP1	0.169801907	0.592778432
TP53-regulating kinase	Trp53rk;Tp53rk	Q543M9;Q99PW4;A2A5R0;Q8C5U8	0.169122385	0.592778432
Splicing factor 3B subunit 3	Sf3b3	Q921M3;F8WHW1;Q921M3-2	0.169594339	0.592778432
Cytoglobin	Cygb	Q9CX80	0.169353854	0.592778432
RNA-binding protein 12	Rbm12;Cpne1	Q8R4X3;F6YJB6;F7C9M1	0.08389948	0.592889659
Mimitin, mitochondrial	Ndufaf2	Q59J78	0.170568496	0.59410779
Pinin	Pnn	Q3TUQ5;O35691	0.17176108	0.594730354
Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	Gpd1	P13707;E0CXN5	0.171081052	0.594730354
AFG3-like protein 2	Afg3l2	Q8JZQ2;Q3UDQ7	0.171615708	0.594730354
U1 small nuclear ribonucleoprotein A	Snrpa	Q62189;E9Q4T6;D3Z0S6;F8VQ88;D6RI83	0.171723894	0.594730354
Histidine triad nucleotide-binding protein 3	Hint3	Q9CPS6;F8WH96;E9Q7F8	0.17181574	0.594730354
F-box only protein 3	Fbxo3	Q9DC63;Q9DC63-2;Q9DC63-3;A2BHN6	0.119549603	0.596852166
UDP-glucose 6-dehydrogenase	Ugdh	O70475;D3Z3F7;D3YXP9;F6ZQT4	0.17301337	0.597389837
Protein SMG9	Smg9;1500002O20Rik	Q9DB90;Q9DB90-2;D3Z719	0.028848349	0.597572944
28S ribosomal protein S26, mitochondrial	Mrps26	Q80ZS3	0.173560809	0.59758606
3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	Hibch	Q8QZS1;E0CX19	0.173714381	0.59758606
Zinc finger FYVE domain-containing protein 1	Zfyve1	Q810J8	0.174280756	0.598794252
Aspartoacylase	Aspa	Q8R3P0;B0QZP3;D6RJ20	0.174918999	0.600246084
DNA-directed RNA polymerases I, II, and III subunit RPABC5	Gm10774;Polr2l	E9Q3B5;P62876	0.121540985	0.600649126
Heat shock 70 kDa protein 13	Hspa13	Q8BM72;D3Z0Y0	0.175487304	0.600743747
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	Ndufa5	Q9CPP6;D3YTQ8	0.175495748	0.600743747
CCR4-NOT transcription complex subunit 1	Cnot1	Q6ZQ08-4;Q6ZQ08;Q6ZQ08-2;B7ZWL1;Q6ZQ08-3;F6ZAI9	0.177751141	0.601639058
Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 7	Usp7	E9PXY8;Q6A4J8-2;E9QLK0;F8VPX1;Q6A4J8;Q6A4J8-3;G3UWR8	0.177045379	0.601639058
Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	Man1a1	P45700;D3Z799	0.176852352	0.601639058
E3 ubiquitin-protein ligase NEDD4	Nedd4	P46935	0.177919132	0.601639058
Programmed cell death protein 5	Pdcd5	P56812;D3Z7Q5	0.175979744	0.601639058
Probable arginine--tRNA ligase, mitochondrial	Rars2	Q3U186;A2AT41	0.177755001	0.601639058
Voltage-dependent anion-selective channel protein 2	Vdac2	Q60930;G3UX26;D3YZT5;D3YUN8	0.177857414	0.601639058
Acyl-CoA dehydrogenase family member 10	Acad10	Q8K370	0.176408249	0.601639058
NIF3-like protein 1	Nif3l1	Q9EQ80;Q8C608;D3Z0G0;E9PWJ6	0.177140285	0.601639058
DnaJ homolog subfamily B member 12	Dnajb12	Q9QYI4;Q8C4C9;D6RHR9	0.176226062	0.601639058
Sickle tail protein	Etl4;Skt	E9QAU4;A2AQ25;A2AQ25-2;A2AQ25-3;D3Z781;A2AQ25-4;A2AQ25-8;Q8BHR1;A2AQ25-5;F8WHU1;A2AQ25-6;A2AQ25-9;A2AQ25-7	0.178454047	0.601984985
Cytochrome P450 2C70	Cyp2c70	Q91W64;E9Q2L0;E9Q8U5;Q9D816	0.178406711	0.601984985
Histone H4	Hist1h4a	P62806	0.179198065	0.602501968
Rho GTPase-activating protein 12	Arhgap12	Q8C0D4;B2RUJ8;Q8R1F4	0.179256784	0.602501968
Aldose 1-epimerase	Galm	Q8K157;F6XWR4	0.179099462	0.602501968
Cytochrome P450 2D9	Cyp2d9	P11714	0.179634624	0.603043617
60S acidic ribosomal protein P2	Rplp2;Rplp2-ps1	P99027;G3UW69	0.179882848	0.603149357
Phosphoribosyl pyrophosphate synthase-associated protein 2	Prpsap2	Q8R574	0.180122604	0.603226482
Vacuolar protein sorting-associated protein 26A	Vps26a	P40336-2;P40336;Q6PE78	0.1807433	0.60388891
Adenosylhomocysteinase	Ahcy	P50247;A2ALT5	0.180754388	0.60388891
UDP-glucuronosyltransferase 1-2	Ugt1a5;Ugt1	B2RT14;P70691;D3YZ96;D3Z7G0;D3YZE6;G3UZC9;D6RH94	0.056647463	0.604239605
Sequestosome-1	Sqstm1	Q64337;Q64337-2;D3YZJ1	0.012246696	0.606211452
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform	Ppp2r5e	Q3UZJ4;Q61151	0.181715292	0.606371292
Nucleosome assembly protein 1-like 4	Nap1l4	E9Q6R0;B7ZNL2;Q78ZA7	0.182927213	0.607955905
Dihydrolipoyl dehydrogenase, mitochondrial;Dihydrolipoyl dehydrogenase	Dld	O08749;Q3TIE8	0.183031481	0.607955905
28S ribosomal protein S23, mitochondrial	Mrps23	Q8VE22;Q3TI14;A7M7Q8;E9Q6N1;F7ARZ1;Q5SXC9	0.183063977	0.607955905
Mitogen-activated protein kinase 9	Mapk9	Q9WTU6;Q9WTU6-4;Q9WTU6-2;Q9WTU6-3;E9QN59;Q61831;Q80W80;Q8C9D4;Q78GB8;Q61831-2;Q80W82;Q3TQZ7;E9PXS1	0.182759911	0.607955905
Integrin beta;Integrin beta-5	Itgb5	G5E8F8;O70309-2;Q6PE70;O70309	0.088401191	0.608298973
Prostaglandin reductase 1	Ptgr1	Q91YR9	0.089905823	0.608298973
COP9 signalosome complex subunit 6	Cops6	O88545;D3Z0F5;F6QK86	0.184015777	0.608371288
NudC domain-containing protein 2	Nudcd2	Q9CQ48;E0CYQ2	0.185418828	0.608371288
Microsomal glutathione S-transferase 1	Mgst1	E9QJW0;Q91VS7;D3YU60	0.184310724	0.608371288
	Plec	Q9QXS1-11;E9QKX4;Q9QXS1-12;E9QK43;Q9QXS1-8;Q9QXS1-7;Q9QXS1-6;E9QQ00;Q9QXS1-14;E9QL05;Q9QXS1-4;Q9QXS1-16;E9PY96;E9QMZ5;Q9QXS1-3;Q9QXS1-5;E9QLJ5;Q9QXS1-13;Q9QXS1-9;E9Q153;Q9QXS1-10;E9QK01;Q9QXS1-15;E9Q3W4;F6R059;E9Q9J6;E9PW24	0.185493351	0.608371288
	Ptpmt1	E9QMC5	0.185173913	0.608371288
Protein disulfide-isomerase A3	Pdia3	P27773;F6Q404	0.185812287	0.608371288
Proteasome subunit beta type-8	Psmb8	P28063;G3UZW8	0.185703866	0.608371288
Crk-like protein	Crkl	P47941	0.183887724	0.608371288
U6 snRNA-associated Sm-like protein LSm6	Lsm6	P62313	0.184595371	0.608371288
UDP-glucuronosyltransferase 2B17	Ugt2b5;Ugt2b17	Q3UWB9;Q8K169;P17717	0.18512256	0.608371288
Glycerol-3-phosphate acyltransferase 1, mitochondrial	Gpam	Q61586	0.184380529	0.608371288
Lactoylglutathione lyase	Glo1	Q9CPU0	0.185278029	0.608371288
Beta-ureidopropionase	Upb1	Q8VC97	0.186186437	0.60887997
Activator of 90 kDa heat shock protein ATPase homolog 1	Ahsa1	Q8BK64	0.18640585	0.608882019
28S ribosomal protein S36, mitochondrial	Mrps36;Mrps36-ps1	Q9CQX8;G3UWB2	0.186643055	0.608942113
Poliovirus receptor-related protein 1	Pvrl1	Q9JKF6	0.132779535	0.609836261
Endophilin-B1	Sh3glb1	Q9JK48-2;Q9JK48;Q3TYR7	0.187544128	0.611165466
40S ribosomal protein S27;40S ribosomal protein S27-like	Rps27l	D3YYB0;Q6ZWY3;D6RH49	0.189333635	0.616275446
Lymphatic vessel endothelial hyaluronic acid receptor 1	Lyve1	Q8BHC0	0.136122682	0.617117344
Transforming growth factor-beta-induced protein ig-h3	Tgfbi	P82198;Q3UXJ2	0.190090582	0.61801646
60S ribosomal protein L19;Ribosomal protein L19	Rpl19	P84099;A2A547	0.190762822	0.618036011
Thiosulfate sulfurtransferase;Sulfurtransferase	Tst	P52196;D3YYT7	0.190570341	0.618036011
Spectrin beta chain, brain 1	Sptbn1	Q62261;Q62261-2;F6VV16	0.190631756	0.618036011
Propionyl-CoA carboxylase alpha chain, mitochondrial	Pcca	Q91ZA3;D3YWM4;D3YZC0	0.191100001	0.618408492
Sulfotransferase 1 family member D1	Sult1d1	E9QA95;Q3UZZ6;Q80VR3	0.191873094	0.618765697
ATP-binding cassette sub-family E member 1	Abce1	P61222	0.192026786	0.618765697
Cullin-associated NEDD8-dissociated protein 1	Cand1	Q6ZQ38;D3YWC5;Q6ZQ73	0.191496171	0.618765697
Alpha-actinin-1	Actn1	Q7TPR4;A1BN54;G3UW84;Q9JI91	0.192099735	0.618765697
AP-1 complex subunit beta-1	Ap1b1	O35643;Q5SVG4;Q5SVG5;Q8CC13	0.192663773	0.619149284
Cytochrome P450 4V2	Cyp4v2	Q9DBW0;Q811W2	0.192639499	0.619149284
Importin subunit alpha-2;Importin subunit alpha	Kpna2	P52293;Q641N9;A6PW68;A2A601;A2A600;A2A602;F2Z431	0.193218311	0.619983744
2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	Bckdha	Q3U3J1;P50136	0.1935245	0.619983744
	Ppbp	Q9EQI5	0.193591762	0.619983744
	BC021614	F6RWR5	0.19467595	0.620182392
14-3-3 protein zeta/delta	Ywhaz	P63101;D3YXN6;D3YXF4;D3YW45	0.194768024	0.620182392
NEDD8-activating enzyme E1 catalytic subunit	Uba3	Q8C878;Q3TL72;F6ZKU4;Q8C878-2	0.194540052	0.620182392
	Apol9a	Q8VDU3	0.194436403	0.620182392
Cytochrome P450 2A5	Cyp2a5	Q91X75;P20852;F7B9W9;F6SHL3	0.194308735	0.620182392
	Taf15	Q8BQ46;E9Q6D4;F6QCI0	0.195049367	0.620368444
Exosome complex exonuclease RRP42	Exosc7	Q4VBW5;Q9D0M0	0.195487286	0.62068826
Golgi membrane protein 1	Golm1	G3X8U4;Q91XA2	0.138849637	0.622689493
ADP-ribosyl cyclase 1	Cd38	P56528	0.140493718	0.623718469
Protein PRRC2C	Prrc2c	E9QKG5;D3Z3U3;D3Z7M2;Q3TLH4-2;Q3TLH4;Q3TLH4-5;Q3TLH4-3;Q3TLH4-4	0.197096512	0.624659253
Oxidoreductase NAD-binding domain-containing protein 1	Oxnad1	Q8VE38;Q8VE38-2;E9Q8U8;E9Q690;E9PZL5;F6XLU3;E9Q2B7;F6SAD4	0.197296257	0.624659253
Superoxide dismutase [Mn], mitochondrial	Sod2	P09671	0.19809166	0.625135946
60S ribosomal protein L9	Rpl9;Rpl9-ps6;Gm5451	P51410;G3UW34;D3YYQ0;D3Z629;D3YZT0	0.198147371	0.625135946
40S ribosomal protein S15	Rps15	P62843;D3YTQ9	0.198355975	0.625135946
Pyruvate dehydrogenase protein X component, mitochondrial	Pdhx	Q8BKZ9;A2AWH8;A2AWH7	0.198569952	0.625135946
Cytochrome b5 type B	Cyb5b	Q9CQX2	0.198471627	0.625135946
78 kDa glucose-regulated protein	Hspa5	P20029	0.199377154	0.625331118
Collagen alpha-2(VI) chain	Col6a2	Q02788;D3Z7D5	0.199284369	0.625331118
COMM domain-containing protein 6	Commd6	Q3V4B5;B7ZNP3	0.199530734	0.625331118
ATP-binding cassette sub-family F member 1	Abcf1	Q6P542	0.199423859	0.625331118
Ornithine aminotransferase, mitochondrial	Oat	P29758	0.200200446	0.626020046
Sulfurtransferase;3-mercaptopyruvate sulfurtransferase	Mpst	Q3UW66;Q99J99;D3YYT8	0.20009952	0.626020046
Tyrosine-protein kinase;Tyrosine-protein kinase JAK1	Jak1	B1ASP2;P52332	0.202493615	0.626155256
Protein C10	Grcc10	O35127	0.202166955	0.626155256
Aspartate aminotransferase, mitochondrial	Got2	P05202	0.202408405	0.626155256
Glucosylceramidase	Gba	P17439	0.20085841	0.626155256
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase	Pfkfb1	P70266;P70266-2;A2AFM8;Q6DTY7;Q6DTY7-5;Q6DTY7-6;Q6DTY7-2;A7UAK5;A7UAK8;A2AUP4;A2AUP5;Q7TS91;A2AUP1;A2AUP3;A7UAK4	0.202160848	0.626155256
Protein FAM45A	Fam45a	Q9D8N2;Q3TH34;D3YUG1	0.201638246	0.626155256
Elongation factor 1-delta	Eef1d	Q80T06;Q91VK2;P57776-3;P57776;E9QN08;D3YY68;D3YUQ9;D3YZT9	0.201703578	0.626155256
Copine-3	Cpne3	Q8BT60;Q0VE82;Q8BLR2;Q9Z140;Q3UYN2;Q9D6C8	0.202123083	0.626155256
Nucleotide exchange factor SIL1	Sil1	Q9EPK6	0.201037836	0.626155256
Proteoglycan 4;Proteoglycan 4 C-terminal part	Prg4	Q9JM99;Q9JM99-3;E0CZ58;E9QLV4;Q9JM99-2;E9QQ17;E9QQ18;Q9JM99-4;Q9JM99-5	0.200525371	0.626155256
UPF0696 protein C11orf68 homolog	AI837181;Bles03	E9QNR6;Q8VD62	0.098546899	0.626296029
Unconventional myosin-Id	Myo1d	Q5SYD0;Q5SYD0-2	0.107138523	0.626296029
Ubiquitin-conjugating enzyme E2 O	Ube2o	Q6ZPJ3	0.102677185	0.626296029
Glutamine-dependent NAD(+) synthetase	Nadsyn1	Q711T7;G5E8V4;D3Z0K2	0.098434822	0.626296029
	Ugt2b35	Q8BJL9	0.104542933	0.626296029
Vacuolar protein sorting-associated protein 4A	Vps4a	Q8VEJ9	0.102811573	0.626296029
tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like	Dus3l	Q91XI1;Q91XI1-2	0.110537662	0.626296029
N(G),N(G)-dimethylarginine dimethylaminohydrolase 2	Ddah2	Q99LD8;O08972;G3UZR0	0.111717394	0.626296029
Methionine aminopeptidase 1D, mitochondrial	Metap1d	Q9CPW9;Q9CPW9-2	0.103351873	0.626296029
Cell death regulator Aven	Aven	Q9D9K3;E9Q6K5;A2AGL5	0.112260609	0.626296029
