Protein.Name	Gene.Name	Uniprot.ID	mRNA.ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21	ZT24	ZT27	ZT30	ZT33	ZT36	ZT39	ZT42	ZT45
Thyroid hormone receptor-associated protein 3	Thrap3	Q569Z6;Q8BZN7;F6YSQ2;F6YH92	1460545_at	-0.007195501	-0.222186307	-0.325961996	-0.190298792	-0.030971642	-0.022758398	-0.152767519	-0.16491497	-0.238053099	-0.273336847	-0.295958068	-0.100977648	-0.031254025	-0.210139457	-0.004753055	-0.094100916
Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain	Lrp1	Q91ZX7;Q3U5J2;D3Z5M3;Q91VN0;O88572;F6UAC8	1448655_at	-0.0360461	0.001169057	-0.16491497	-0.019915368	-0.002594517	0.080835378	-0.15924166	-0.137765808	-0.109427427	-0.139862368	-0.147436959	-0.033229161	0.076158644	0.131581889	-0.021053252	-0.092342769
Epoxide hydrolase 1	Ephx1	Q9D379;E9PWK1;F6YTS6;D3Z4M3	1422438_at	1.491104892	1.341719955	1.867594251	1.347912811	1.325900971	1.327131168	1.466735687	1.718853714	1.46478311	1.683993319	1.713260764	1.411694323	1.094772347	1.155341181	1.273273393	1.235721794
ATP synthase subunit delta, mitochondrial	Atp5d	Q9D3D9;D3Z7S4	1456580_s_at	-0.13251104	-0.091530593	-0.142478791	0.004696395	0.012984807	-0.061154063	0.004406944	-0.036890111	-0.097475959	-0.014212445	-0.122738972	-0.069289713	0.071390906	0.023695027	0.030855037	0.107772197
Cullin-2	Cul2	Q9D4H8;Q9D4H8-2;E0CYT5	1451231_a_at	0.272663274	0.311327262	0.269529591	0.219471518	0.285635774	0.375290798	0.357621887	0.090526409	0.022155933	0.060622953	0.190305688	0.355073151	0.39323563	0.295641479	0.376638779	0.309877955
Breast carcinoma-amplified sequence 3 homolog	Bcas3	B1AR74;Q8CCN5;Q0VF62;Q3TAC0;F7C0F2;Q8CCN5-2;F7CPM1;B1AR76;B1B0B3	1428454_at	0.491652485	0.514820513	0.465559839	NA	0.341774805	NA	3.074243582	0.369986011	0.431753818	NA	0.080865895	NA	1.493255897	NA	2.441203393	2.656171512
CLIP-associating protein 1	Clasp1	E9QKH0;Q80TV8;E9QNY9;Q80TV8-2;E9Q6L0	1459233_at	NA	0.109374319	NA	0.014645304	0.102325863	0.017227237	NA	-0.062674363	NA	0.065596729	NA	0.129639226	-0.160920188	-0.156267163	-0.199248307	-0.171847314
Muscleblind-like protein 2	Mbnl2	F8WIF1;Q8C181-2;Q8C181-4;Q8C181;Q8C181-3	1433754_at	NA	0.580871054	0.736388632	0.739685232	0.665523254	NA	0.75923385	0.366299109	0.39684014	NA	0.632025142	0.925302765	0.75842825	NA	NA	0.623242873
Vacuolar protein sorting-associated protein 16 homolog	Vps16	G3X8X7;Q920Q4;Q920Q4-2;E9Q2I5;A2BI90	1416254_a_at	-0.384602458	NA	-0.508327229	-0.241718175	0.765989267	NA	NA	0.084655025	-0.542406646	0.067198012	-1.668119125	-1.014569539	NA	0.728741672	NA	0.635651693
Cystatin-C	Cst3	P21460;A2APX3	1426195_a_at	0.336591617	NA	-0.128425389	NA	-0.44858384	NA	0.188545411	0.114050857	1.305431775	-0.193456366	NA	-0.268913416	-0.663207972	0.002266811	-0.025454096	NA
Folylpolyglutamate synthase, mitochondrial	Fpgs	P48760-3;P48760;P48760-4;P48760-5;P48760-2	1460673_at	0.468511238	0.45771223	0.551817933	0.4247264	-0.286408055	NA	-0.076011739	0.217742423	0.130791873	NA	0.188594735	NA	-0.304627854	NA	NA	0.377631848
Plastin-1	Pls1	Q3V0K9;D3Z6J7	1460406_at	-1.720453592	NA	-1.833294924	-1.507667804	NA	-1.372004844	-1.01235413	-1.294429602	-1.959436331	NA	-1.393526032	NA	-1.512530314	-0.997473072	-1.3305584	NA
Acyl-coenzyme A thioesterase 11	Acot11	Q8VHQ9;A2AVR6;Q8CAL6;E0CXP8;E0CYA0;E0CYS0;Q3TBG4;F6SS52	1429267_at	-0.045023522	NA	-0.16117825	NA	-0.396926676	-0.636729013	-0.479644475	-0.395720913	-0.01720929	0.037295519	-0.400100683	NA	-0.600745498	NA	-0.121148056	NA
Carbonic anhydrase 2	Ca2	P00920	1448752_at	-0.271306144	-0.639324789	-0.658828424	-0.488720653	-0.378067649	-0.115832299	-0.370387504	-0.098689044	-0.28912622	-0.29971356	-0.627886946	-0.402176425	-0.762901548	0.073529884	-0.483157952	-0.047677975
Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain	Ctsb	P10605	1417491_at	0.124015537	0.181198511	0.135871317	0.202057354	0.264529813	0.183474017	0.248364897	0.106451397	0.005029335	0.220109961	0.199686096	0.192496694	0.363215314	0.212784876	0.342561209	0.181542063
Alpha-soluble NSF attachment protein	Napa	Q9DB05;P28663	1416192_at	0.10562845	0.058938774	0.214340649	-0.024177814	-0.007769594	0.065642024	0.049128509	0.001486742	0.211765333	0.06617057	0.109576655	0.052865017	-0.144829521	-0.151339301	0.13810814	0.229010311
Transcription elongation factor B polypeptide 3	Tceb3	Q8CB77	1422591_at	0.654399243	0.364496332	0.302653182	0.149808661	0.391436746	0.816367397	0.566784136	0.612394824	0.436744229	0.34963982	0.38756257	0.090971953	0.35939758	0.29890345	NA	NA
Pleckstrin homology domain-containing family O member 2	Plekho2	Q8K124	1427103_at	-0.009777122	0.081415313	-0.174278571	-0.383828687	-0.158724796	NA	-0.061292338	-0.074505436	0.45089274	NA	-0.344828497	-0.565109697	-0.206393169	-0.228480098	-0.115832299	-0.071488106
	BC089597	Q8K3M1;Q5FW69	1451681_at	-0.020484422	-0.172743517	-0.015354834	-0.219091058	-0.096936483	-0.947479146	-0.340163443	-0.25664839	0.054766877	0.187279997	-0.113167057	NA	-0.480988873	NA	-0.267356012	-0.028003278
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	Ppp2ca;Ppp2cb	P63330;P62715	1421823_a_at	0.336391233	0.068014444	0.06787834	-0.110095929	0.135443384	0.058803523	0.223424317	0.010236081	0.146531242	0.103596387	0.039443809	-0.072037181	-0.155360663	-0.046281503	0.240537333	0.064148043
Protein FAM83H	Fam83h	Q148V8	1452273_at	0.236945425	0.364013496	0.373514137	0.218329747	0.493194976	0.364236324	-0.014069583	-0.165815488	0.099911854	0.082850892	0.375833583	0.578908687	0.608078342	-0.104470858	-0.024886999	0.407210508
Thimet oligopeptidase	Thop1	Q8C1A5	1448907_at	0.009291961	0.046116463	0.062776151	0.223896012	0.099077175	0.120654953	0.024868772	-0.013640911	-0.001874286	-0.002450499	-0.131062617	0.176641932	0.096576034	0.070330179	0.017913613	0.024912806
Canalicular multispecific organic anion transporter 1	Abcc2	Q8VI47	1450109_s_at	0.221404514	0.075155199	0.08960503	0.200680555	0.446049759	0.797112167	0.307180042	0.421264124	0.284159332	0.356457775	0.281894876	0.092940138	0.534244894	0.397904243	0.298992194	0.206628451
Reticulon-4-interacting protein 1, mitochondrial	Rtn4ip1	Q924D0;D3Z792	1448800_at	0.38831769	0.319513602	0.319135578	0.375927187	0.353984846	0.508772848	0.40789942	0.309377299	0.169436371	0.393140896	0.343256528	0.51868039	0.432668734	0.390434132	0.402340115	0.242089214
Adaptin ear-binding coat-associated protein 1	Necap1	Q9CR95	1448106_at	-0.206018004	-0.044464067	0.019682168	-0.104068226	-0.021621858	0.026660576	-0.001730196	-0.082975027	-0.076148597	-0.092613393	-0.364908555	-0.232783534	0.055231491	0.126186802	0.069648694	-0.010206943
Sodium-coupled neutral amino acid transporter 3	Slc38a3	Q9DCP2	1418706_at	0.940949354	0.506045306	0.677933413	0.3144814	0.340477261	0.798943332	0.532866623	0.879541885	0.971826936	0.956991533	0.698599653	-0.042364175	0.438307279	0.603292479	0.642707	0.376470212
Alpha-N-acetylgalactosaminidase	Naga	Q9QWR8	1449043_at	0.59400764	0.712929659	0.54247925	0.617653689	0.723110332	0.585085135	0.806619335	0.668455283	0.302332919	0.430800587	0.46635692	0.696984996	0.65240237	0.837609477	0.660588928	0.5884219
Nuclear pore complex protein Nup160	Nup160	Q9Z0W3;Q9Z0W3-2	1418530_at	-0.07244885	-0.063502942	-0.281905924	-0.108758614	-0.157302466	-0.004896843	-0.002162421	-0.325961996	-0.088141597	-0.311154315	-0.327917257	-0.163112244	-0.048236186	-0.057415612	0.069769823	0.112365556
DDRGK domain-containing protein 1	Ddrgk1	Q80WW9	1458761_at	NA	NA	0.453458619	0.977412026	NA	NA	NA	NA	NA	NA	0.429653655	NA	NA	NA	NA	-0.2450088
RNA-binding protein 33	Rbm33	Q9CXK9;D3Z5I9;F6Y0Q7	1455430_at	0.178257136	NA	0.052520854	NA	0.306840927	0.713710242	0.506865078	0.146323657	-0.154583209	-0.370722275	NA	NA	NA	NA	NA	NA
Alpha-1-antitrypsin 1-1	Serpina1a	P07758;D3YZL0	1449321_x_at	NA	NA	-0.425996321	-0.110363243	NA	0.577099638	NA	0.761041983	NA	NA	-0.003170443	NA	-0.056444801	NA	0.484650866	0.474231781
E3 ubiquitin-protein ligase UBR3	Ubr3	Q5U430;F6QC57;Q5U430-3;Q5U430-2;A2AV05	1453029_s_at	NA	NA	-0.413810687	0.083829125	0.109950273	0.122130133	NA	-0.183835831	NA	NA	NA	-0.07819992	NA	0.083599792	NA	-0.355918372
Vitamin K-dependent gamma-carboxylase	Ggcx	Q9QYC7	1423554_at	NA	NA	1.227219088	0.681098967	0.673692765	NA	0.370358949	0.62206557	0.707760099	1.065853419	0.95248953	NA	NA	NA	NA	NA
Phosphatidylinositol 3-kinase catalytic subunit type 3	Pik3c3	Q6PF93;E9QLS6;Q6PF93-2;D3YZ98	1425580_a_at	0.22585182	0.024208423	0.305003951	NA	0.298956696	NA	-0.107420059	-0.415326009	0.186146996	NA	0.424823231	NA	NA	NA	0.026557707	-0.092478087
Thioredoxin-related transmembrane protein 2	Tmx2	Q9D710;D3Z2J6;D3YYX0	1437454_a_at	0.369482696	0.683506662	0.561174887	0.344355082	-0.040401515	NA	NA	0.552389067	0.326552121	0.378569332	0.380183232	NA	0.031061395	NA	NA	NA
Junction-mediating and -regulatory protein	Jmy	Q9QXM1;E9PZF6;Q9QXM1-3	1451878_a_at	-0.355354621	-0.186627327	-0.78215691	NA	NA	0.134809643	-0.095451881	NA	-0.616639997	NA	-1.000865357	NA	0.063891657	NA	-0.172103428	0.048800159
RWD domain-containing protein 4	Rwdd4	Q9CPR1	1424244_at	-0.094641454	NA	-0.413377445	NA	-0.191941593	0.008000245	-0.036327492	NA	0.117255232	NA	-0.157431827	NA	-0.249263286	NA	0.016584969	-0.073820233
DnaJ homolog subfamily A member 4	Dnaja4	Q9JMC3	1434196_at	0.411195433	NA	-0.156526059	NA	NA	NA	0.034130772	0.115081733	0.038761936	0.022375703	NA	NA	-0.176960992	-0.147306699	0.14625979	0.031385732
	Nav2	E9Q842;D3YWD2;F6Q9M5;Q8BYE8	1435981_at	0.494230993	NA	NA	NA	0.974716009	NA	0.708632196	NA	NA	NA	0.746204316	NA	NA	NA	NA	NA
	1110020G09Rik	Q8C5H8-3;Q8C5H8-2;Q14BL1;Q8C5H8-4	1453422_a_at	-0.033088169	0.258770336	0.403751792	0.263247941	NA	0.590353814	0.35125847	NA	NA	NA	0.299631309	NA	0.431539773	NA	0.289139578	0.227810284
NAD-dependent protein deacetylase sirtuin-3	Sirt3	Q8R104;D3YVQ5	1417892_a_at	0.004826666	0.05539639	-0.029558897	0.126407258	0.144999007	0.057812073	0.159282995	0.061827144	0.006825642	0.066246092	0.04253109	0.217239192	0.161169219	0.158203959	0.223879163	0.225059061
Elongation factor 1-gamma	Eef1g	Q9D8N0	1417364_at	0.031754385	0.061450726	0.016789296	-0.023894043	0.06429888	0.122051628	0.069512436	0.060427367	-0.012640181	-0.021621858	0.01503886	0.024722002	0.092294031	0.043556698	0.029028579	0.036200382
Cytoskeleton-associated protein 5	Ckap5	A2AGT5;A2AGT5-3;A2AGT5-2	1437349_at	-0.006333934	0.44355587	0.122145835	0.250954937	0.402187584	0.212467236	0.080484478	0.114628681	0.063137842	0.118585965	0.323822876	0.427731188	0.384320049	0.103968459	0.091894205	0.272837568
Structural maintenance of chromosomes protein 3	Smc3	E9Q762;Q9CW03	1450950_at	-0.202386375	-0.067363367	-0.278817403	-0.214870834	-0.134089481	0.055201512	-0.141301988	-0.230080016	-0.212880566	-0.320773477	-0.36927104	-0.256406854	-0.127104965	-0.13251104	-0.126047755	-0.24865627
Cytochrome P450 3A25	Cyp3a25	O09158;D6RJM4;D3Z707	1424973_at	NA	0.782843747	1.491591632	0.540064838	NA	0.009669535	NA	1.187345705	0.957439706	1.003408784	0.962350702	NA	0.358990457	0.279616456	-0.035483152	0.358934949
Disco-interacting protein 2 homolog B	Dip2b	Q3UH60;D3Z5G8;Q3UH60-2;B2RQC7	1447191_at	-0.357270476	NA	0.075687242	0.034012598	0.311685339	NA	-0.454070583	NA	-0.337996464	0.168252445	0.160169374	0.415730159	NA	0.117912617	0.047144623	-0.627233276
Amine oxidase [flavin-containing] A	Maoa	Q64133	1428667_at	0.534453838	0.416403897	0.758037818	0.211431213	0.674475425	-0.102053383	0.236265502	0.427672971	0.495186414	0.622798495	0.805156488	0.133954535	0.140682395	0.433214065	0.091156356	0.348886296
26S proteasome non-ATPase regulatory subunit 11	Psmd11	Q8BG32;G3UYH2;G3UXL5;G3UWW7;G3UYL3;G3UYI4;G3UZ33;G3UX15;G3UYL8;G3UWV7;G3UX67	1440253_at	-0.045303168	-0.001009533	-0.06060083	-0.074368422	-0.072723231	-0.070801468	-0.131194352	-0.114633549	-0.050745464	-0.124195772	-0.075874867	-0.09369538	-0.114367025	-0.134878054	-0.175939705	-0.137503524
Protein FAM25C	Fam25c	Q8CF02	1437019_at	1.190141085	1.544013976	1.027527902	0.799646314	0.434383328	1.369930078	0.67516636	1.330719197	1.283210987	1.24879339	1.048740467	0.83820259	0.54229015	0.66669077	0.695325423	0.450695553
Splicing factor 3B subunit 5	Sf3b5	Q923D4	1439370_x_at	-0.190551652	-0.132642643	-0.215989154	-0.131721171	-0.055612157	-0.032383005	-0.174022842	-0.256406854	-0.301938767	-0.337768171	-0.280956314	-0.16066208	-0.17951105	-0.216610069	-0.07956585	-0.151988666
FGGY carbohydrate kinase domain-containing protein	Fggy	A2AJL3;A2AJL4;A2AJL3-2;B7ZCH9;F6V664;B1AY72;D6RHR3;B1AY71;F7ANG8;D6RG41	1452799_at	-0.310689118	-0.342782282	-0.357157849	-0.269272578	-0.242572021	-0.257372756	-0.321466359	-0.395172506	-0.253384236	-0.374399637	-0.385154897	-0.279768422	-0.280837569	-0.239275826	-0.210887549	-0.242693958
All-trans-retinol 13,14-reductase	Retsat	Q64FW2;F7CW61	1424715_at	0.655126065	0.767167358	0.978662417	0.621998959	0.371478344	0.73048803	0.819444727	0.656853734	0.605134693	0.897946617	0.876704622	0.741372538	0.380859355	0.469270005	0.456603104	0.581626522
Phosphatidylinositol-binding clathrin assembly protein	Picalm	Q7M6Y3-5;Q7M6Y3;Q7M6Y3-6;Q7M6Y3-3;Q7M6Y3-2;Q7M6Y3-4;Q61548;Q61548-2;E9QLK9;Q61548-3;E9QQ05;E9Q9A3;Q3TWS4;Q8BQA2	1451316_a_at	0.069633554	0.012548151	0.01530129	0.020691654	0.068906999	0.060893809	0.235433032	0.029735321	-0.065296567	-0.088820033	0.05123471	-0.000721167	0.170134207	0.026484234	0.106389271	0.11252152
Phosphatase and actin regulator 4	Phactr4	Q501J7-3;Q501J7;Q501J7-2;F6QNZ3;G5E8P7;Q2M3X8-3;Q2M3X8;Q2M3X8-2;B1B1B8;F7BZR2	1432844_at	0.059765581	0.016293123	-0.316725022	-0.163627539	-0.169796756	0.003741427	-0.04558276	0.067832974	0.052116941	0.352510489	-0.207892852	-0.126972856	-0.147697444	0.0375028	-0.066537002	0.041936869
Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Mgat1	P27808	1423609_a_at	NA	NA	-0.48326116	-0.085424656	-0.270229907	0.0416547	NA	0.122130133	NA	-0.300065137	NA	-0.347665656	NA	0.13306829	NA	NA
LIM domain-containing protein 2	Limd2	Q8BGB5	1456377_x_at	NA	NA	-0.48501457	-0.20451637	-0.112633417	-0.110363243	NA	NA	-0.791939065	NA	NA	NA	-0.236094579	NA	-0.206893236	-0.266396773
Estradiol 17-beta-dehydrogenase 12	Hsd17b12	O70503;O70503-2	1450011_at	0.287518671	0.138632153	0.786646496	0.153655123	0.082499501	0.239651293	0.21606567	0.28973907	0.481867764	0.397201087	0.304790086	0.162928692	-0.14208663	0.06312277	-0.096261853	0.108052052
Protein disulfide-isomerase	P4hb	P09103;E9Q8G8	1437465_a_at	0.182213042	0.184211461	0.206794946	0.091417635	-0.064193062	0.169452596	0.117145697	0.154425648	0.154570167	0.224637558	0.151297948	0.147585599	-0.046141782	0.028484036	-0.005759269	-0.09895848
Tubulin alpha-4A chain	Tuba4a	P68368	1417373_a_at	0.128645216	0.099664491	0.177147509	0.118022211	0.285600603	0.070481663	0.112084864	0.0200771	0.060773422	0.055966187	0.206645099	0.174328328	0.050636893	0.007869686	0.012257121	0.059013919
Biotinidase	Btd	Q8CIF4	1417987_at	-0.083383588	0.109654484	0.117067463	0.077223667	0.09411002	0.112318771	-0.087598618	-0.09990111	0.00106799	-0.028427705	0.059630253	-0.076285443	0.027748492	-0.340163443	-0.2131295	-0.154194325
mRNA turnover protein 4 homolog	Mrto4	Q9D0I8;A2AMV1	1423823_at	NA	NA	0.122161536	-0.040401515	NA	0.204116711	NA	0.208410944	0.243796505	0.071633467	-0.055889758	-0.075190314	NA	-0.024319679	0.074684125	NA
Transmembrane 6 superfamily member 2	Tm6sf2	E9QM19;Q8R1J1;E9QAI2;Q8R1J1-2	1425079_at	NA	-0.343464676	-0.078746447	-0.375956902	-0.588132944	-0.919378223	-0.219091058	-0.620398731	0.058202563	0.090557131	-0.21685836	NA	NA	NA	NA	NA
Phosphatidylethanolamine N-methyltransferase	Pemt	Q3UZN8;D3YV85;Q61907;Q8R0I1;B1ARD1	1450612_a_at	-0.041242982	-0.201006466	0.041446821	-0.15885403	-0.503959271	-0.282617721	-0.315682151	-0.036186803	0.052416125	0.000750397	-0.010493419	-0.070801468	-0.496411216	-0.075737982	-0.320773477	-0.51470301
Collagen alpha-1(XIV) chain	Col14a1	Q80X19;B7ZNH7;Q80X19-2;F7D5Y4	1427168_a_at	-0.838911439	-1.209078996	-1.222557291	-0.96369606	-0.944033813	-1.110697317	-0.781485616	-0.976510281	-0.977829417	-1.029629568	-1.350327508	-1.12108173	-0.942908554	-0.783498562	-0.906890596	-1.1728715
Multiple coagulation factor deficiency protein 2 homolog	Mcfd2	Q8K5B2;D3Z1G3;D3Z6A4	1424024_at	0.520355525	0.641783805	0.578563932	0.465061888	0.307287148	0.521535492	0.369277692	0.413153608	0.493418368	0.488552202	0.303756854	0.336045183	0.249547848	0.285670946	0.315755762	0.320486121
Coiled-coil domain-containing protein 93	Ccdc93	Q7TQK5;E9QAD4	1453798_at	0.196723359	0.227083991	0.18545778	0.096606886	0.179759756	0.152452002	0.022287791	0.010279671	-0.00604663	0.061691622	0.102635644	0.277044417	0.09986547	0.272767848	-0.111432005	-0.212133508
5-AMP-activated protein kinase subunit gamma-1	Prkag1	O54950	1417690_at	-0.411643176	-0.47238379	-0.514400039	-0.38901606	-0.407080775	-0.593975179	-0.570171448	-0.55640489	-0.537146944	-0.537544572	-0.483880254	-0.494159564	-0.42932137	-0.457016363	-0.56774013	-0.63784206
Alpha-synuclein	Snca	O55042;O55042-2	1431022_at	-0.603501726	-0.901339983	-1.014069583	-0.779469857	-0.770448505	-0.403267722	-0.604545816	-0.406101238	-0.698929647	-0.570754355	-0.991317757	-0.636264989	-1.115632576	-0.236462004	-0.772054552	-0.462261769
H-2 class I histocompatibility antigen, Q10 alpha chain	H2-Q10	P01898;D3Z577	1425137_a_at	0.048173516	0.080164166	-0.047957107	-0.133695033	-0.161436266	-0.05046687	-0.188400925	0.097393832	-0.056860943	-0.071762669	-0.110897723	-0.0824301	-0.288299495	-0.194339249	-0.265196827	-0.251325232
Methylmalonyl-CoA mutase, mitochondrial	Mut	P16332	1448486_at	0.222885426	0.195004783	0.199487286	0.273482636	0.308394372	0.226442456	0.271165221	0.177881725	0.13628352	0.125824697	0.148640726	0.211782041	0.289985992	0.189663843	0.242976753	0.296013396
Carbonic anhydrase 5A, mitochondrial	Ca5a	P23589	1419525_at	-0.054223347	0.035431323	-0.024603367	0.174800523	-0.001153695	-0.135797512	-0.085152681	-0.14574266	-0.051163253	0.180920458	0.05865326	0.169955659	0.083737387	-0.078473209	-0.1212807	0.16655124
60S ribosomal protein L6	Rpl6;Gm5428;Gm6807	P47911;E9PUX4;D3Z4I7	1416546_a_at	-0.045862298	-0.100439479	-0.027861775	-0.198996966	-0.443288375	0.120717695	0.028175062	0.291980555	0.395814784	0.274354808	0.224974751	0.110448581	-0.09071796	0.378813178	0.582620024	0.699138273
Protein phosphatase 1A	Ppm1a	P49443;Q9EQE3;Q9EQE2	1415678_at	-0.194087052	-0.094506339	0.026396071	-0.141171172	-0.097071371	-0.183073576	-0.158466295	-0.125783332	-0.073408955	-0.076285443	-0.060739158	-0.029700234	-0.071076162	-0.079292767	-0.086647913	-0.219091058
cAMP-regulated phosphoprotein 19	Arpp19	E9Q827;P56212;P56212-2;E9Q4B9;E9PXD7	1422609_at	0.085297719	0.106047628	0.094495057	-0.011924948	-0.002018361	0.033938744	-0.120219212	-0.058524312	0.041625001	0.114863001	-0.064882852	0.118789598	0.023020555	-0.344942091	-0.066123642	0.030501349
Enhancer of rudimentary homolog	Erh	G3UW85;P84089	1430536_a_at	-0.089226942	-0.147957881	-0.244278199	-0.196103398	-0.09044698	-0.101784524	-0.1696685	-0.15704371	-0.199750857	-0.164142649	-0.329066174	-0.273575566	-0.145090477	-0.162854528	-0.129217064	-0.113833829
Cullin-4A	Cul4a	Q3TCH7;E9PXT5;F6UV36	1451971_at	-0.051024003	0.018103519	0.019901561	-0.110897723	0.057421689	-0.068464451	-0.139731422	-0.0614306	-0.068189259	-0.000576963	-0.10259095	0.005565096	-0.170181458	-0.260627908	-0.224781194	-0.307894776
Carbonic anhydrase 1	Car1;Ca1	Q3TS19;P13634;D3YYQ4	1416193_at	0.495044077	0.076234691	0.049471864	0.274093101	0.375796143	0.534558321	0.379995477	0.622132184	0.357843729	0.442751675	0.029411355	0.318937604	-0.128029389	0.795859283	0.246463921	0.667286339
Reelin	Reln	Q60841;Q60841-2;Q60841-3	1449465_at	0.213269829	-0.386921282	-0.039840265	-0.093424959	0.269477421	0.251624644	0.152387863	0.271339333	0.129986502	-0.09396575	-0.271664711	0.282947669	-0.23878686	0.519838301	0.021643266	0.521784029
Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34	Pak2	Q8CIN4;B1GX81;B1GX80;Q61036;Q61036-2;O88643;G5E884;A3KGC5;A3KGC4;A3KGC3	1454887_at	-0.087598618	-0.191436315	-0.283329168	-0.178236585	-0.032100843	-0.192446694	-0.072586047	-0.1728715	-0.179638435	-0.264596479	-0.265316867	0.015840879	-0.044324169	-0.093154488	-0.025170576	-0.156784908
UDP-glucose 4-epimerase	Gale	Q8R059;B1AV54;B1AV53	1424140_at	-0.41921526	-0.294664856	-0.493954694	-0.598936834	-0.564622052	-0.611833365	-0.520145627	-0.485220713	-0.601030869	-0.534559685	-0.503348735	-0.552672171	-0.53465928	-0.651499503	-0.77070221	-0.501209824
MKI67 FHA domain-interacting nucleolar phosphoprotein	Mki67ip	Q91VE6;Q91VE6-2;E0CXU3	1424001_at	-0.056444801	-0.095991913	-0.079429315	-0.178109076	-0.01592569	-0.056167306	0.106420333	-0.018918982	0.07876173	0.040348529	-0.20614307	-0.233765377	-0.389346536	-0.491699201	0.314355819	0.110713377
Peptidyl-prolyl cis-trans isomerase D	Ppid	Q9CR16;E9Q5D3	1417057_a_at	0.100870784	0.152131339	0.116222802	0.128250958	-0.001153695	0.070724072	0.031680647	0.00689812	0.064072631	0.071678952	-0.018776585	0.146706915	0.009742157	-0.043204499	-0.033652052	0.015374195
Transmembrane emp24 domain-containing protein 10	Tmed10	Q9D1D4;Q9D1D4-2	1439462_x_at	0.314499341	0.203418857	0.273465198	0.150801348	-0.003890027	0.240707788	0.226948908	0.356938088	0.275873646	0.285934762	0.220160376	0.192414265	-0.094506339	0.180904104	0.139410584	0.062399486
Acetoacetyl-CoA synthetase	Aacs	Q9D2R0	1423797_at	-0.522959662	-0.405883473	-0.287117636	-0.580724376	-0.541713066	-0.679153521	-0.726220885	-0.442439294	-0.59664896	-0.505382849	-0.822363055	-0.578214165	-0.770110162	-0.883464418	-0.903423966	-0.730574748
AP-2 complex subunit beta	Ap2b1	Q9DBG3-2;Q9DBG3;Q5SWR0	1427077_a_at	0.042560808	0.022097333	-0.028286243	0.030044629	0.021862958	0.079203655	0.017504669	-0.040962548	-0.025879273	-0.01306915	-0.036890111	0.057992286	0.128203654	0.019609044	0.086032577	-0.031395196
PDZ domain-containing protein GIPC1	Gipc1	Q9Z0G0	1422763_at	-0.028710586	-0.320195821	0.023929699	-0.181547856	-0.004033901	-0.497944422	-0.632082049	-0.880019362	-0.192699178	0.010395917	0.13658482	0.378681871	-0.180529813	0.029146346	-0.005759269	-0.314754522
Valine--tRNA ligase	Vars	Q9Z1Q9;G3UY93;G3UZ22;G3UYW2;G3UX02;G3UZX1	1448472_at	0.112911503	0.248484862	0.231379491	0.195748146	0.2376767	0.278093675	0.215898101	0.096067074	0.104712892	0.249925225	0.144791642	0.292917008	0.341957651	0.273151349	0.256666	0.271705038
C4b-binding protein	C4bpa;C4bp	P08607;F6QLW4;E9PUZ8	1418037_at	0.150833382	-0.011638756	-0.046979908	-0.011924948	-0.567448097	0.129165803	0.050756437	0.026293221	0.221421334	0.053373931	-0.326192164	-0.359746047	-0.071762669	0.047010473	-0.017921908	-0.061707085
Coiled-coil domain-containing protein 22	Ccdc22	Q9JIG7	1447759_x_at	0.053838097	0.136743424	-0.060324133	0.019184999	-0.049630768	0.019375073	0.055336425	-0.031395196	0.200050651	-0.10795563	-0.325386415	-0.14834845	-0.091665988	-0.083383588	-0.023184369	0.278478594
	Tstd1	E9PY03	1456169_at	NA	0.248330623	0.237693711	0.669464546	NA	0.593855213	0.319261575	0.409738126	0.298761472	NA	0.022727404	NA	0.588725625	NA	0.519300584	0.237064445
Hepcidin	Hamp	Q9EQ21	1419196_at	NA	NA	NA	0.275803779	NA	1.282298356	0.574433276	NA	NA	NA	-0.152767519	NA	0.587792958	NA	0.720326652	-0.336740407
Heme oxygenase 1	Hmox1	P14901;E9Q8W7	1448239_at	0.094140819	-0.113833829	-0.14182513	-0.649109565	-0.599698653	-0.425459305	-0.064055064	-0.188021051	0.206844898	0.12481758	-0.344487663	NA	-0.902112179	-0.131062617	-0.108089492	-0.491493981
Mid1-interacting protein 1	Mid1ip1	Q9CQ20;F6XIS3;F7D5Q6	1416840_at	-0.245617353	-1.01306915	-1.255017236	-0.721503907	-1.568129417	-1.011280936	-0.230940776	-0.337882322	-0.729182941	-0.911193023	-0.604071324	NA	-1.268015119	-0.749577172	-0.437653878	-0.328606717
