Gene.names,Classes,Protein.IDs,Protein.names,Half.life.protein,nZT00,nZT03,nZT06,nZT09,nZT12,nZT15,nZT18,nZT21,nZT24,nZT27,nZT30,nZT33,nZT36,nZT39,nZT42,nZT45,nb.timepoints.proteins,rel.amp.protein,Phase.protein,Pvalue.protein,FDR.protein,mRNA.ID,ZT00,ZT02,ZT04,ZT06,ZT08,ZT10,ZT12,ZT14,ZT16,ZT18,ZT20,ZT22,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46,rel.amp.mRNA,Phase.mRNA,Pvalue.mRNA,FDR.mRNA
Apob,1,E9Q414;E9Q1Y3;E9Q4G4;F7A3M3,,78.14,0.198990382,0.155180519,0.009146767,-0.032383005,-0.126179949,0.108643033,-0.04194383,0.073894282,-0.051580921,0.176511489,-0.035342381,0.074988026,-0.076969476,-0.085288675,0.091325413,-0.034497464,16,0.051202732,0.955653151,0.119035417,0.521993603,1457554_at,8.726937132,8.427314038,8.761757792,8.345956733,8.667649976,8.450268293,8.329523849,8.037843536,8.259492136,8.627626825,8.296159304,8.288939822,8.125937755,8.406372596,8.313900989,8.389896254,7.877841931,8.044665094,8.265537787,8.45133282,10.2234691,9.758283971,10.05907779,9.567086553,0.408796422,19.42562419,0.046066393,0.169224231
Mars,1,E9QB02;Q68FL6;F6W0G8,"Methionine--tRNA ligase, cytoplasmic",77.46,0.166956107,0.25169335,0.419661526,0.206661748,0.352676279,0.420317796,0.242737747,0.254736848,0.104588793,0.436880928,0.152195466,0.348316819,0.415037499,0.338213923,0.27631039,0.212851756,16,0.052189637,11.59196596,0.119071159,0.521993603,1455951_at,9.745250172,9.618961188,9.890848609,9.73688584,9.692183615,9.748197535,9.798681202,9.807067808,9.522252485,9.60552548,9.685317329,9.642244555,9.641416649,9.894784561,9.804420813,9.724615615,9.540160786,9.691664795,9.674665452,9.575666002,9.745927081,9.887727972,9.60438067,9.524061563,0.027962251,5.750537972,0.464406288,0.671249641
Pfdn2,2,O70591;F8WJ30,Prefoldin subunit 2,54.21,0.080164166,-0.076832696,-0.136322654,-0.097475959,-0.059355278,0.028248621,-0.087055435,-0.185232254,-0.103396924,-0.285934808,-0.099766486,-0.055056793,0.059389701,0.145302133,-0.08106688,-0.202511756,16,0.054781406,13.75199905,0.11981753,0.521993603,1421950_at,8.852266862,8.92047726,9.002024123,9.058505386,9.283535176,9.217448684,9.197858025,9.217715691,9.030865267,8.905382127,8.918779156,8.697313004,8.757276407,8.823609928,8.837093359,8.909605823,9.271343337,9.080530501,9.135522889,9.054853793,8.854325766,8.897782001,8.756275377,8.762421105,0.150712986,10.4181878,1.15E-07,1.72E-05
Fam82a1,1,Q8BSE0,Regulator of microtubule dynamics protein 2,NA,0.15849377,-0.021053252,0.457989644,-0.174789893,0.502934417,-0.070389328,-0.163885117,0.083217651,0.234601043,0.351755465,0.415460752,0.069330778,-0.305328532,-0.145481822,0.074820873,-0.199373961,16,0.12916418,4.470048297,0.11947388,0.521993603,1455063_at,8.780203084,8.927594424,8.632501071,9.096470501,8.892330523,9.053776832,8.742107419,9.223115018,8.654364857,8.440525453,8.369152533,8.912600245,8.629809253,8.8266577,8.691123081,9.130527764,8.859584395,8.57987326,9.221503944,9.414289601,9.069713585,8.631597465,8.631965763,8.438435807,0.142518992,10.1045083,0.030047879,0.127523234
Tbcel,2,Q8C5W3;D3YVP4,Tubulin-specific chaperone cofactor E-like protein,NA,-0.260748328,-0.22897257,-0.113567157,-0.10191896,-0.108089492,-0.264596479,-0.324810603,-0.116630912,-0.39758394,-0.330902541,-0.182565182,-0.166329818,-0.224040274,-0.466235562,-0.293135019,-0.294782469,16,0.054075111,7.960325833,0.119923517,0.521993603,1434330_at,9.366592399,9.487596763,9.498549321,10.10695817,10.18509618,10.18595497,9.630110014,9.304653459,9.170079664,9.189967958,9.433718878,9.43278702,9.618986804,9.510387059,9.926397959,9.899519726,10.17605579,9.712300326,9.241087597,9.284571818,9.24170338,9.433323564,9.2558605,9.353877742,0.278316782,6.696133092,1.19E-05,0.000487974
Ogt,1,Q8CGY8,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,222.865,-0.023326332,0.035401752,-0.018491749,0.024443179,-0.162854528,-0.029700234,0.108860824,0.032137885,-0.025454096,0.102496234,-0.057415612,-0.021906077,-0.034919984,-0.143524033,-0.089769309,0.206595154,16,0.046840784,23.70118035,0.120229213,0.521993603,1451738_at,5.605766842,5.99479339,5.386230526,5.702778592,5.826795042,5.764271124,5.854212118,5.904994865,5.884688584,5.826741269,5.752601782,5.837671115,5.409889339,5.278319791,5.261798499,5.845351551,5.446499344,6.002589933,5.983447716,5.889769752,5.826222448,5.447730579,5.445446923,5.271765321,0.135335587,12.80158938,0.009778527,0.058623068
Macrod1,1,Q922B1,O-acetyl-ADP-ribose deacetylase MACROD1,59.03,0.350044312,0.226493093,0.599134222,-0.075464174,0.336974244,-0.003890027,0.224738708,0.463529276,0.68499032,0.287060919,0.417097214,0.159959817,-0.128029389,0.490719674,0.058052362,0.288276042,16,0.112627016,0.80159259,0.119743484,0.521993603,1419687_at,9.55209169,9.20727661,9.540832334,9.689214032,9.847983395,9.822410275,9.707543065,9.692139129,9.363454644,9.434388177,9.364171253,9.73225257,9.643155877,9.657277215,9.666622846,9.91479495,9.966494013,9.973531157,9.387038002,9.520130377,9.383570454,9.827284012,9.695770011,9.6656793,0.09420234,7.732858611,0.079749274,0.241216578
Bccip,2,Q9CWI3,BRCA2 and CDKN1A-interacting protein,50.63,-0.204891925,-0.278222698,-0.368712484,-0.29372361,-0.265796925,-0.309758271,-0.156914315,-0.456595905,-0.351967481,-0.236339539,-0.384933947,-0.310805431,-0.209515751,-0.151339301,-0.008200014,-0.113700499,16,0.059472506,17.44527658,0.120215531,0.521993603,1448542_at,10.5401322,10.66918707,10.69438098,10.6569902,10.73312771,10.80555243,10.75066798,10.76860953,10.64778858,10.58765614,10.64369415,10.61535296,10.53838652,10.57696384,10.55840092,10.67304084,10.72098968,10.67959673,10.69494119,10.80918559,10.56725032,10.60315793,10.45919794,10.55693398,0.068152074,10.44457169,4.75E-05,0.001316158
Ensa,2,P60840;P60840-2;P60840-3,Alpha-endosulfine,NA,NA,-0.273456211,-0.456175325,-0.173127433,NA,-0.21350282,-0.115965432,-0.170437869,-0.273098089,NA,-0.166715445,-0.605778768,NA,NA,-0.088820033,0.00879836,11,0.088947116,19.75260437,0.104720148,0.525134047,1423330_at,7.235101424,7.286435428,7.251069635,7.409269301,7.565436114,7.594783197,7.936444653,7.905026451,7.510603671,7.602966295,7.295379186,7.657865911,7.297746929,7.485317246,7.423354837,7.591925192,7.571139303,7.584828258,7.646336576,7.732616637,7.889297738,7.788585084,7.820338334,7.522304968,0.150505185,14.22826014,0.000173271,0.003301524
Scaf1,1,Q5U4C3;Q5U4C3-2;D3YYM8,"Splicing factor, arginine/serine-rich 19",29.35,-0.158207748,NA,-0.574828124,-0.155619721,NA,0.306180773,0.078898864,-0.183200647,-0.216361735,NA,NA,-0.328376934,NA,-0.17951105,-0.193834811,0.345124568,11,0.169520339,17.52432492,0.106885691,0.525134047,1434908_at,5.444193729,5.369114566,5.795263249,5.56734971,5.293664141,5.470618823,5.399971629,5.354687216,5.570744832,5.577773136,5.680667059,5.818265535,6.099894374,6.004796566,5.871332941,6.189734703,5.540215115,5.938986473,5.757001879,5.761873891,5.70252697,5.721931582,5.9388616,5.642232649,0.076743273,0.671354091,0.334948621,0.562668271
Rnf2,2,Q9CQJ4,E3 ubiquitin-protein ligase RING2,34.08,-0.063917054,-0.101381142,0.000764831,-0.045303168,-0.189160371,NA,-0.305445279,NA,-0.031254025,0.268851523,NA,-0.127237062,NA,-0.010063683,-0.30591217,NA,11,0.096673299,4.416247541,0.102108317,0.525134047,1424873_at,7.866368587,7.828438202,7.897953375,8.019735366,8.014104496,8.068386869,7.827581683,7.882132057,7.679624046,7.77023713,7.962480821,7.902049119,7.666780666,7.903242926,7.987113665,8.030215795,8.075511417,7.852322782,7.781408204,7.626400804,7.82576388,7.742500942,7.906761209,7.838330866,0.073219363,5.875936024,0.007482439,0.048570158
Proz,1,Q9CQW3;Q8CI01,Vitamin K-dependent protein Z,NA,0.335116719,0.417270595,0.269929627,0.172359799,0.341774805,0.458742896,0.362454668,0.504693701,0.401768207,NA,0.371720995,NA,0.123103951,NA,NA,NA,11,0.070377183,21.33962596,0.09083943,0.525134047,1431721_a_at,9.579771891,9.399977315,9.244868874,9.452939748,9.220069381,9.169249659,9.250454837,9.604017313,9.548238924,9.377731385,9.433034798,9.09766441,9.341531234,9.26362936,9.341165028,9.391475844,9.283179668,9.564283065,9.085487362,9.623258614,8.925147981,8.91174665,9.053773293,8.692679322,0.053628352,8.539831372,0.438980585,0.652080343
Ftsjd2,2,Q9DBC3;E0CXC2;D3Z491;G3UZ59,Cap-specific mRNA (nucleoside-2-O-)-methyltransferase 1,57.13,-0.164657575,-0.255440305,NA,-0.987102535,-0.313942357,0.388487647,0.047129717,-0.183581791,-0.199750857,0.134793803,NA,-0.66848225,NA,0.165871319,NA,NA,11,0.241782297,19.15538761,0.094634054,0.525134047,1423681_at,8.188720871,8.252007884,8.130214943,8.214475419,7.864056586,8.021338291,8.065426383,7.892620074,8.070119014,7.962088758,8.139909894,8.336234073,8.31385265,8.129790688,8.148897075,8.216746166,8.112796473,7.878427665,8.211667091,7.980955651,8.001223666,8.169346695,8.101358577,8.332936639,0.090398843,0.292085847,0.001082564,0.01227086
Timm44,2,O35857;F7C189,Mitochondrial import inner membrane translocase subunit TIM44,174.77,0.049516655,-0.105812151,-0.046560906,-0.008343459,-0.037874166,0.001804497,-0.028852006,-0.037733627,-0.13395801,-0.037311931,-0.037733627,-0.039419183,0.080377699,0.002252362,0.021819017,-0.048375705,16,0.025772719,14.057054,0.12191069,0.526011551,1417670_at,7.847230037,7.767167849,8.075293883,8.18205107,7.952693635,8.010263957,7.806635759,7.865135814,7.69530101,7.72055847,7.79126721,7.773738751,7.683047881,7.956946612,7.892241441,8.018361079,8.038341325,8.256122583,7.860847426,7.881542831,7.832476941,7.735451938,8.042612924,7.823093482,0.099749922,7.372477507,0.001772339,0.017447331
Poldip3,1,Q8BG81;Q3UDD3;F6VR84,Polymerase delta-interacting protein 3,6.15,0.142910766,-0.283566239,-0.071350804,-0.231186613,-0.156396617,-0.068464451,-0.162210036,-0.074779426,-0.158207748,-0.0360461,-0.222804561,-0.415326009,-0.428356822,-0.13251104,-0.267835392,-0.152378145,16,0.070785623,22.84251976,0.121440947,0.526011551,1440022_at,4.868855927,4.781447705,4.863661765,4.925506912,5.147220578,5.087304677,4.834609988,5.135477315,4.892928341,5.15292858,5.162969732,5.282504977,4.918364734,4.752223123,4.745262154,5.043402563,5.060942447,5.355474935,4.999301965,4.954925918,5.249208507,5.355762956,5.073709125,4.982208858,0.087463607,15.49478173,0.041594898,0.157777251
Pcyox1,2,Q9CQF9;F7CIP8;D3Z275,Prenylcysteine oxidase,155.79,0.296615752,0.276834657,0.280229523,0.19302435,0.110059263,0.211264182,0.252793083,0.27707938,0.262711278,0.383134202,0.295995684,0.296580312,0.056026179,0.275681521,0.175126265,0.022536889,16,0.048115692,3.115339921,0.121643444,0.526011551,1447277_s_at,12.09291446,11.98368335,12.02593778,11.96027411,12.13626518,12.05835596,12.2432053,12.39615824,12.06346959,12.12375991,11.76233195,11.8083975,11.83116394,11.85406235,11.84693293,11.89642175,11.96149948,11.95935967,12.12684028,12.18771526,12.18341538,11.97777904,11.90783074,11.90460612,0.106733532,12.8945819,0.000754661,0.009314715
Serbp1,2,Q9CY58;Q9CY58-2;Q9CY58-3;Q9CY58-4,Plasminogen activator inhibitor 1 RNA-binding protein,30.695,0.067031758,0.057857124,0.064796754,0.066729528,0.075337592,0.117270881,-0.007482576,-0.002306467,-0.016068369,0.021042945,0.005927209,0.035934123,0.008000245,-0.092207438,-0.056583528,-0.188400925,16,0.036080743,7.863064435,0.12180964,0.526011551,1418564_s_at,10.47679263,10.32326286,10.46748007,10.53489663,10.46161963,10.61035103,10.67787955,10.75760468,10.53798737,10.48613003,10.93023858,10.42591963,10.27295893,10.59665787,10.40611173,10.56354592,10.69725122,10.64929107,10.79362629,10.77653039,10.67253763,10.61656909,10.62699991,10.54148947,0.095390893,13.90121941,0.00268848,0.023383777
Cul5,2,G3X914;E9PV12;Q9D5V5;E9Q6Z0,Cullin-5,68.01,0.011587974,0.115488038,0.179040917,0.098443761,-0.071076162,0.444713912,-0.060047384,0.024384487,-0.134878054,0.16570948,-0.088141597,0.402511732,0.359527143,0.070754376,-0.006908369,-0.068877141,16,0.094077792,10.5717466,0.12378679,0.52633742,1428287_at,7.261187463,7.300340938,7.389798549,7.677115277,7.615338092,7.573522112,7.054546766,7.351363526,7.140055726,7.126324617,7.726653774,7.195041292,7.151240177,7.488710802,7.492852632,7.569249307,7.758607105,7.337665178,7.483205192,7.149061225,7.243377832,6.990644724,7.179853745,7.02738564,0.143151459,6.701366715,0.002795858,0.024054942
Acin1,1,Q9JIX8;E9Q9R4;Q9JIX8-4;F6RJ39;B8JJ91;Q9JIX8-2;B8JJ92;Q9JIX8-3;Q52KR6;B8JJ89;F6Q8C0,Apoptotic chromatin condensation inducer in the nucleus,67.985,0.095465806,0.027998535,-0.089498151,-0.10755397,0.11312994,0.020413609,0.088270075,-0.073683154,0.040882729,-0.031395196,-0.199373961,-0.108758614,0.036348324,0.003206343,-0.013640911,0.000331858,16,0.041037,18.54012163,0.125667107,0.52633742,1421197_a_at,7.9326287,7.898055136,8.014527837,7.883962422,8.074142719,8.004010222,7.774392812,7.849582907,7.853636381,8.008993693,8.248862175,8.062288257,8.183752052,8.142256757,8.012916302,8.05162833,7.9528956,8.000126961,7.86174623,8.022241547,7.886280204,8.206105761,8.082830999,8.30498638,0.076568193,22.82848706,0.014894274,0.078594437
Vcpip1,1,F6ZDG3;Q8CDG3;Q8CDG3-2,Deubiquitinating protein VCIP135,25.3,0.19576467,0.229602242,-0.030124161,0.17716382,0.266732441,0.43078114,0.330174983,0.220866376,0.113879116,0.083125953,0.151281926,0.220412479,0.259702745,0.056761279,0.354943987,-0.008630305,16,0.065114792,15.31534115,0.125891346,0.52633742,1459849_x_at,2.811090437,2.776726366,2.82550874,2.784240403,2.825237634,2.8695869,2.833310305,2.852942181,2.84197774,2.97367458,2.692902592,2.824599263,2.778302859,2.842612563,2.849283562,2.806049792,2.909270366,2.903008957,2.846840854,2.767564391,2.802247652,2.78112305,2.838696231,2.657570189,0.026285956,10.46648164,0.115064304,0.302931247
Fkbp8,1,O35465-2;O35465;F6WP10,Peptidyl-prolyl cis-trans isomerase FKBP8,23.61,0.598413219,0.482956165,0.897355305,0.271461225,0.704958817,0.094402639,0.431306305,0.520376218,0.776528022,0.574777046,0.848322992,0.491835063,-0.100304906,0.547299148,0.445971145,0.097517313,16,0.135114198,3.517772115,0.12584575,0.52633742,1416113_at,9.934821738,9.818203755,9.781373561,9.960301741,9.803556534,10.08937971,10.07255157,10.0129859,9.890597084,9.853553533,10.56047855,10.46442407,10.49040378,10.51684685,10.42419304,10.63896851,10.28457807,10.50648964,10.70654876,10.68550358,10.25248632,10.26174817,10.39126991,10.052405,0.023595342,15.47349291,0.922022694,0.960584193
Man2b2,1,O54782;F6TMZ3;F6Z025,Epididymis-specific alpha-mannosidase,32.23,0.275262427,0.211113871,0.42267511,0.234753822,0.744028013,0.44510668,0.378269271,0.225683112,0.113660566,0.41544151,0.722515077,0.273360574,0.483500673,0.282824803,0.326443576,0.260186453,16,0.09060666,10.49664414,0.123558537,0.52633742,1416584_at,6.816686659,6.555932058,6.515147776,6.42185398,6.562924237,6.51330737,6.530860522,6.708404415,6.651498044,6.579172222,6.879631018,6.954227304,6.808273733,6.887574872,6.843357239,6.687150652,6.568011041,6.869445692,6.869008233,7.043566548,6.761141961,6.7992058,6.658922332,6.772172332,0.060135863,19.56513437,0.16076518,0.37053712
Lancl1,1,O89112;B2KGR2,LanC-like protein 1,119.95,0.040571088,-0.133695033,0.416962376,0.21750756,0.286796897,0.510313213,0.028734206,0.258977486,0.116957942,0.137631929,0.485317187,0.165855134,0.297271542,0.304754445,0.010308731,0.149008604,16,0.087575174,10.96758073,0.1236403,0.52633742,1427011_a_at,9.244658823,9.198564693,9.344368312,9.348629704,9.188342811,9.500512341,9.39173117,9.454139236,9.112155672,9.426994356,9.119230265,9.026832582,9.321907619,9.240809812,9.289412047,9.148153573,9.320139417,9.446744464,9.281769612,9.458384215,9.342262121,9.33198359,9.469623188,9.079691689,0.064070754,11.97490104,0.049168836,0.176853312
C9,2,P06683,Complement component C9,82.27,-0.222309979,0.821992939,0.498076853,0.917297411,0.727451204,1.600730451,0.840267491,1.448508591,1.071936727,0.81400663,0.725064493,0.682742247,0.798993534,1.174360888,1.234906616,0.874904397,16,0.211497348,16.39254509,0.122393372,0.52633742,1422815_at,13.58025549,13.70760812,13.75158868,13.46940593,13.49878208,13.56454103,13.42089087,13.27784865,13.3479062,13.70081132,13.48902363,13.50291233,13.76658038,13.6487556,13.61160462,13.4495259,13.40575245,13.45765259,13.05080311,13.22111974,13.15400454,13.56893093,13.57993427,13.53050439,0.125426433,1.168222014,0.000234839,0.004108399
Itga5,1,P11688,Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain,NA,0.224468991,-0.035764654,0.154618343,-0.116897018,0.165369678,-0.157173094,-0.004033901,-0.133695033,0.012737352,-0.07121349,0.078472266,0.290885852,-0.371168515,-0.166586914,-0.39473363,-0.08719125,16,0.093913659,4.89408066,0.123692448,0.52633742,1457561_at,3.832437117,4.095304348,3.909695847,3.72668919,3.831684883,3.82336436,3.887241045,4.005007229,4.165923614,3.906498581,4.193280752,4.345830115,4.529839912,4.086556944,3.847201783,3.726014582,3.864339627,4.055757388,4.177753743,4.203541571,4.117886056,4.635089217,3.779238465,4.475869908,0.149934079,19.53618894,0.013036663,0.071869762
Ubl4a,2,P21126;F8WHM4,Ubiquitin-like protein 4A,28.18,-0.160145725,-0.128821281,-0.092072095,-0.235236889,-0.073408955,0.018994951,-0.03562391,0.041209281,-0.161694235,0.159701943,-0.257976116,-0.374622206,0.069724399,0.293217509,-0.051302489,0.03547568,16,0.08038173,17.87254885,0.125736059,0.52633742,1424538_at,8.959050392,8.935501103,8.948268734,8.908197693,8.801246695,8.867338786,8.9841683,9.251812676,9.052024191,9.12214662,8.885149264,9.023910857,8.962104596,9.007692694,8.816112099,8.660225561,8.812194254,9.013207471,9.041520561,9.208913498,9.157939255,9.122627826,9.145615072,9.318040304,0.109920417,17.66687445,0.000251311,0.004317856
Ssb,1,P32067;F8WHY1;A2AR07;D6RI87;F6SXM5,Lupus La protein homolog,111.45,-0.078609835,-0.144568518,-0.223546116,-0.263995882,-0.122738972,-0.078609835,-0.168642036,-0.177854025,-0.096531743,-0.204641566,-0.170053235,-0.091395186,-0.154971988,-0.047538389,-0.09423607,-0.097880434,16,0.029552783,18.01292406,0.125743674,0.52633742,1416421_a_at,7.206644044,7.579532515,7.328677304,7.75357949,7.354825572,7.49015451,7.215395074,7.226869292,7.71983318,7.375467476,7.762469312,7.306448217,7.168360244,7.367702305,7.357768529,7.633051584,7.64262692,7.52151545,7.600802465,7.759263407,7.390234251,7.061102049,7.360265759,6.764717081,0.09044712,9.816303504,0.131090562,0.327552103
Rab2a;Rab2b,2,P53994;P59279;Q3TEG7;G3V022;G3UXQ7,Ras-related protein Rab-2A;Ras-related protein Rab-2B,64.44,0.074091702,0.017650707,0.1857203,-0.126576457,-0.056444801,0.11885226,0.079401803,0.123842606,0.10766338,0.176853926,0.255167239,-0.07299756,-0.279649579,-0.153286521,0.001717829,-0.213378391,16,0.075064567,2.024399604,0.125266498,0.52633742,1419945_s_at,10.81639948,10.91657027,10.97976358,11.07417442,10.92241484,10.98053625,10.80641141,10.90534098,10.79470947,10.87516169,10.86510277,10.61212799,10.76602736,11.04855846,11.07420698,11.01591142,11.05356457,11.022225,10.78562034,10.93085073,10.55493674,10.55465974,10.74390735,10.57863538,0.119522093,6.790990598,8.09E-05,0.001913565
Serhl,2,Q3U3G8;Q9EPB5;F6TMN2,Serine hydrolase-like protein,60.42,-0.154583209,0.031621659,0.2183801,0.075717651,0.086277613,-0.096801582,0.024956842,0.0014723,-0.123533772,0.282877459,-0.057970069,0.199702664,0.029072741,0.176853926,0.064012304,-0.193834811,16,0.067883456,8.967680646,0.123407131,0.52633742,1421938_at,7.138560145,6.880918424,7.224481573,7.471531564,7.332237494,7.405899099,7.568285406,7.667096222,7.623632245,7.154743803,6.98074694,7.00969648,7.052228486,6.961164107,7.318536751,7.484480273,7.625779955,7.59113736,7.462173038,7.617020926,7.56764857,7.528148954,7.205460349,7.429373797,0.183445509,12.07206134,1.97E-05,0.000694328
Hsph1,2,Q61699;Q61699-2;E9Q0U7;D3Z027;D3Z3I9,Heat shock protein 105 kDa,163.84,0.064148043,0.121659167,0.073120047,-0.017921908,0.027483788,0.185408562,0.074699319,0.222700229,0.065521241,0.189614482,0.010599369,0.130270699,-0.268673925,-0.279411863,0.132309085,0.129181581,16,0.066958559,23.9718642,0.123277355,0.52633742,1425993_a_at,9.490129643,10.27664376,9.674104297,8.218513385,8.992522805,8.787087037,9.223254858,10.62527955,10.96389499,10.38373915,10.14885796,9.247355026,10.19186462,9.819642113,8.56780868,8.512296527,8.686469878,8.808351487,10.33276289,10.82311998,10.6518807,10.5933482,10.12657727,10.09456529,0.559408028,18.02744716,2.99E-05,0.000938695
Skiv2l,1,Q6NZR5;G3UYT1,,76.78,0.007260568,0.075504805,0.31708517,-0.056444801,-0.035342381,0.020618479,-0.023326332,-0.079429315,-0.104873377,0.239736465,0.004349061,0.204681887,-0.059216817,0.149376575,-0.000865357,-0.233151803,16,0.071651455,7.08580829,0.125245563,0.52633742,1422584_at,7.564414442,7.617004444,7.758551423,7.575364008,7.44746865,7.500318754,7.369693458,7.553229081,7.508267645,7.524497242,7.838969057,7.287986234,7.442054725,7.507101366,7.508102504,7.488835628,7.710060383,7.477634356,7.618289968,7.574540151,7.591302069,7.794423145,7.473571519,7.617881029,0.016252029,19.89835147,0.874494843,0.934234832
Nup214,1,Q80U93;Q8CHS9,Nuclear pore complex protein Nup214,98.95,-0.257734802,-0.178364082,-0.109427427,0.120827502,-0.131852846,-0.060185765,-0.074916402,-0.142609487,-0.06377903,-0.100708589,-0.475396222,-0.14834845,0.015199228,0.080698059,-0.002306467,-0.249506021,16,0.069889258,14.29251631,0.125314002,0.52633742,1456503_at,5.629532593,5.634680856,5.774794257,5.789739597,5.673660535,5.756050219,5.791870594,5.560196084,5.641926535,6.040664082,5.651361981,6.086596566,5.225778677,5.451201798,5.743372331,5.789652452,5.504308868,5.702358396,5.564499948,5.577390184,6.009236296,5.801727752,5.690828741,5.750142273,0.04727705,16.97327132,0.51989708,0.711673691
Sdhaf2,2,Q8C6I2;Q8C6I2-3,"Succinate dehydrogenase assembly factor 2, mitochondrial",NA,-0.15263774,0.105193875,0.049218072,0.205214019,-0.1728715,-0.168513676,-0.091936738,-0.028710586,0.202156933,0.018395731,0.024531223,0.045356989,-0.093560176,-0.089226942,0.047562056,0.082377298,16,0.059457129,3.31572382,0.122617079,0.52633742,1452941_at,7.086428522,7.126006833,7.319217766,7.307097779,7.102297386,7.202754688,7.32342082,7.426787914,7.315912358,7.25132754,7.192073231,6.972245032,7.030476315,7.128323242,7.056384414,6.94919236,7.319217766,7.43012349,7.211781636,7.449424059,7.129057793,7.321649616,7.264303472,6.863475289,0.097234126,12.72398225,0.003390407,0.027586283
Mina,2,Q8CD15;D3YTU3;Q8CCK9;D3Z287,Myc-induced nuclear antigen,62.52,-0.174150712,-0.02034218,-0.118758389,-0.239031363,-0.429964044,-0.335025838,-0.36109457,0.139426475,0.135142323,-0.254594043,-0.399006986,-0.285224645,-0.233519979,-0.204015477,-0.460061021,-0.380729449,16,0.096636303,1.066931597,0.125317366,0.52633742,1454066_at,5.668654899,5.572376635,4.902558879,5.412049161,5.072267608,5.017715091,5.484353327,5.301039233,5.541556333,5.589877071,5.43985717,5.474859398,5.312401146,5.289946908,5.117375173,5.228175161,4.86911051,5.020934884,5.378258671,5.064552267,5.497968854,5.819257959,5.228873477,5.422284599,0.153695698,19.66362584,0.002583868,0.022694263
Scpep1,1,Q920A5;Q3U5P4,Retinoid-inducible serine carboxypeptidase,1274.4,0.360749311,0.503384262,0.470728756,0.621355211,0.551225885,0.437642775,0.667148878,0.498076853,0.170134207,0.541849014,0.461362515,0.526119595,0.628809176,0.438150897,0.438365926,0.459060172,16,0.055680605,11.53640958,0.125957859,0.52633742,1455908_a_at,10.21400311,10.25923086,10.11874554,10.29981817,10.21888084,10.30756321,10.54988059,10.30666102,10.30203909,10.01680041,10.09381232,9.901212001,9.861940742,10.27882438,10.20563258,10.00632942,10.44786146,9.681970783,10.29959329,10.0649159,10.42654937,10.080057,10.2474276,10.32572874,0.050853763,11.49124145,0.532970357,0.721358927
Dnajb11,2,Q99KV1,DnaJ homolog subfamily B member 11,97.96,0.380371012,0.431403579,0.2723496,0.264755124,0.010207022,0.282701948,0.203485305,0.275402111,0.28720175,0.24406986,0.243899007,0.333152533,0.005087245,0.149504587,0.09352496,-0.156137698,16,0.075484133,3.756273381,0.125172632,0.52633742,1423151_at,10.69592313,11.01606147,10.83575597,10.30490469,10.39712564,10.13624283,10.23007779,10.60425813,10.83467636,10.93570013,10.89113597,10.40949966,10.81001302,10.69784169,10.28347811,10.39761844,10.14171001,10.3218606,10.2175308,10.54446873,10.53610279,10.87672006,10.83536863,10.59650745,0.191915931,21.11262326,0.000182366,0.003415655
Ehd3,2,Q9QXY6,EH domain-containing protein 3,NA,-0.064469017,-0.01564029,0.010424979,-0.063226802,0.04226366,0.012257121,-0.085152681,-0.030689204,-0.085968454,-0.04851521,-0.031818626,-0.045163352,-0.041383179,-0.168000125,-0.111565545,-0.16117825,16,0.028478945,7.730190649,0.125036257,0.52633742,1417235_at,9.471705095,9.299007488,9.51489337,9.087598113,9.297323452,9.232110509,9.125804835,9.335637803,9.237872031,9.187267749,9.620065015,9.600736871,9.777131459,9.813656215,9.512961783,9.523297117,9.414693815,9.336225216,9.490437421,9.28176227,9.37909485,9.492569557,9.444556514,9.548265148,0.115839996,23.87998316,0.005016125,0.036373928
Myo1c,2,Q9WTI7;Q9WTI7-3;Q9WTI7-2;Q9WTI7-4;F8WIE8;Q5ND45,Unconventional myosin-Ic,40.42,-0.138945498,-0.049909522,-0.012640181,-0.120617361,0.102589172,0.02025266,0.021394322,-0.028144768,-0.040120917,0.000346288,0.00106799,-0.045303168,0.026866335,-0.011924948,0.058593159,-0.039278795,16,0.030078278,14.38969944,0.123329556,0.52633742,1419649_s_at,9.350993754,9.22359381,9.430969269,9.0876092,9.371893821,9.349651542,9.556560515,9.312874291,9.418585912,9.30389984,9.48668807,9.544705016,9.337193896,9.227508871,9.379765024,9.228026884,9.399872667,9.42896011,9.576949541,9.609781779,9.690058739,9.730482164,9.33014404,9.46134431,0.092234237,16.01068155,0.006745587,0.045064838
