mouse_ID	cyanobacteria_ID	orthotype	OMAgroup
Q64133	Q31RB8_SYNE7	n:1	
Q8BW75	Q31RB8_SYNE7	n:1	866002
Q8BLV3	Q31Q26_SYNE7	1:m	
Q8BLV3	Q31NS5_SYNE7	1:m	
P48410	Q31QL5_SYNE7	n:1	
P70404	Q31N34	1:1	
Q99MX0	Q31QU9_SYNE7	n:1	
Q00612	P29686	n:1	881089
Q8VH37	Q31LB5_SYNE7	n:1	
A2AI91_MOUSE	Q31MN9_SYNE7	n:1	
P09411	Q31P73	n:1	
Q9D7G0	Q59988	n:1	897501
B1AVK5_MOUSE	Q31NK2_SYNE7	n:1	
MOUSE55041	Q31PS1_SYNE7	n:1	
Q9CU62	Q31LJ4_SYNE7	n:1	
P48026	Q31QI7_SYNE7	n:1	
B1AZS9_MOUSE	Q7X4K8_SYNE7	n:1	
P35486	Q31LU5_SYNE7	n:1	910226
Q8BWJ3	Q31MN9_SYNE7	n:1	848661
P70303	SYNE702002	n:1	
Q9CS42	Q59988	n:1	
A0A0R4J285_MOUSE	Q31QY8_SYNE7	1:1	704028
MOUSE55730	Q935X4_SYNE7	n:1	

